,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
5,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
17,2020-11-02 16:30:00,CN,China,1.2731286547473777e+18,17-Jun-2020 (05:41:59.000000),NMPA_CRCS,,False,,10,,False,Share our #love with those protecting us! New surveys indicate the public is concerned about contracting the #coronavirus from #healthcare workers. Experts say the situation takes a toll on the mental health of many healthcare workers. 
18,2020-11-02 15:50:39,CN,China,1197643914.0,19-Feb-2013 (15:33:56.000000),mma4231987,,False,,712,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
19,2020-11-02 15:37:25,CN,China,7.475351665500814e+17,27-Jun-2016 (21:00:47.000000),oasis_deshan,,False,,346,,True,"  NEW: The W.H.O. has largely ceded control to China in the investigation into the origin of the coronavirus, internal d…"
22,2020-11-02 15:30:25,CN,China,8.025401145471877e+17,26-Nov-2016 (15:50:48.000000),EricksenCrystal,,False,,292,,True,"  We NEED #FourMoreYears of Pres. Trump!   In just 5 MONTHS, we have recovered 52% of jobs lost due to the coronavirus crisis.   For…"
24,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
29,2020-11-02 15:20:14,CN,China,1.266621233610797e+18,30-May-2020 (06:43:47.000000),oblwnchyu,,False,,169,,True,"  We NEED #FourMoreYears of Pres. Trump!   In just 5 MONTHS, we have recovered 52% of jobs lost due to the coronavirus crisis.   For…"
32,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
40,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
51,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
52,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
55,2020-11-02 15:32:39,CN,China,8.665459492120617e+17,22-May-2017 (06:47:08.000000),NandoMorales8,,False,,386,,True,"  How hypocritical is it to tell black ppl they have to obey the rules, remain calm, and follow directions when a cop has a…"
66,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
79,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
98,2020-11-02 15:49:08,CN,China,3717056476.0,20-Sep-2015 (11:08:43.000000),tBlaq5,,False,,552,,True,  Aggrieved constituents say she:  *used COVID-19 palliatives as birthday souvenir  *has refused to give account of stew…
105,2020-11-02 16:35:54,CN,China,22810235.0,04-Mar-2009 (18:17:29.000000),bassinfusion,,False,,908,,True,  The US Commerce Department in August blacklisted a Russian research institute that helped create the world’s first Covi…
106,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
107,2020-11-02 15:49:08,CN,China,3717056476.0,20-Sep-2015 (11:08:43.000000),tBlaq5,,False,,552,,True,  Aggrieved constituents say she:  *used COVID-19 palliatives as birthday souvenir  *has refused to give account of stew…
108,2020-11-02 15:53:16,CN,China,3717056476.0,20-Sep-2015 (11:08:43.000000),tBlaq5,,False,,552,,True,  Nigerian doctor who treated injured #EndSARS protesters dies from Coronavirus » 
109,2020-11-02 15:53:16,CN,China,3717056476.0,20-Sep-2015 (11:08:43.000000),tBlaq5,,False,,552,,True,  Nigerian doctor who treated injured #EndSARS protesters dies from Coronavirus » 
110,2020-11-02 15:22:48,CN,China,243983947.0,28-Jan-2011 (07:06:57.000000),StephenMcDonell,,True,,70527,,True,  They are still adding flags at the football stadium in D.C. as part of the protest memorial for #COVID19 deaths. Each flag…
113,2020-11-02 15:28:53,CN,China,985771068.0,03-Dec-2012 (02:23:57.000000),Reisspudding,,False,,234,,True,  Targeting of American scientists by the White House is a core piece of their larger anti-science disinformation continuum:…
121,2020-11-02 16:19:44,CN,China,1.14839284208939e+18,09-Jul-2019 (00:46:04.000000),not_naice,,False,,440,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
126,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
129,2020-11-02 16:16:14,CN,China,9.663374468614226e+17,21-Feb-2018 (15:42:55.000000),VernonHouse2005,,False,,62,,False,"   She is helping to torture her people, didn’t you see the following up videos? Her people are living happily, freely and COVID-19 freely in China. What else can you expect for her people?"
138,2020-11-02 15:38:43,CN,China,1.166649631108825e+18,28-Aug-2019 (09:52:16.000000),Genemedi1,,False,,6,,False,GeneMedi's SARS-CoV-2 (2019nCoV) pseudotype virus (PSV) based neutralization assay (PBNA) is a standard evaluation procedure for COVID-19 related vaccines and neutralizing antibodies potency evaluation.  PBNA Protocol Download:  
139,2020-11-02 16:47:48,CN,China,243983947.0,28-Jan-2011 (07:06:57.000000),StephenMcDonell,,True,,70523,,False,#USA today...
140,2020-11-02 16:43:21,CN,China,1.1692165925232763e+18,04-Sep-2019 (11:52:26.000000),BradLimon,,False,,41,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
141,2020-11-02 16:45:25,CN,China,722510281.0,28-Jul-2012 (17:06:52.000000),hotgirlmac,,False,,201,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
142,2020-11-02 17:56:03,CN,China,470648849.0,22-Jan-2012 (00:34:53.000000),EmehDR,,False,,1879,,True,"  Nigeria just goes with every Western trend, except economic development."
143,2020-11-02 17:30:08,CN,China,385716198.0,06-Oct-2011 (00:24:56.000000),thatswhatsup333,,False,,4036,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
145,2020-11-02 17:57:51,CN,China,19140447.0,18-Jan-2009 (09:16:43.000000),shanghaidaily,,True,,410067,,False,"European countries are tightening COVID-19 restrictions this week, starting with a shutdown in Germany, as authorities rush to slow a rapid rise in coronavirus infections. "
166,2020-11-02 17:06:16,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,"  NEW: In Hunt for Virus Source, W.H.O. Let China Take Charge - Nine months and more than 1.1 million deaths later, there is sti…"
167,2020-11-02 16:52:23,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,  My little family made an apparition on the French national TV (France 2 - Le JT de 20h). 😄  The full story can be watched here…
170,2020-11-02 17:06:16,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,"  NEW: In Hunt for Virus Source, W.H.O. Let China Take Charge - Nine months and more than 1.1 million deaths later, there is sti…"
171,2020-11-02 16:52:23,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,  My little family made an apparition on the French national TV (France 2 - Le JT de 20h). 😄  The full story can be watched here…
175,2020-11-02 16:43:34,CN,China,563389816.0,26-Apr-2012 (02:55:08.000000),ElisabethCasal1,,False,,266,,True,  Donald Trump’s COVID-19 response has been the greatest failure of presidential leadership in our nation’s history.
176,2020-11-02 16:43:52,CN,China,9.277629674032988e+17,07-Nov-2017 (05:01:43.000000),lwandomtwa_,,False,,1250,,True,  🚨O.R Tambo Homage Concert 2020🚨  Exciting news!!! The Homage Concert will take place this year as a limited edition due to Cov…
182,2020-11-02 17:06:16,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,"  NEW: In Hunt for Virus Source, W.H.O. Let China Take Charge - Nine months and more than 1.1 million deaths later, there is sti…"
224,2020-11-02 18:03:30,CN,China,9.497375790243348e+17,06-Jan-2018 (20:20:58.000000),Alien_Visitor_2,,False,,638,,True,  . threatening to fire Dr. #Fauci should be alarming to Americans.🚨I know he’s been wanting to do this for…
225,2020-11-02 16:57:58,CN,China,985771068.0,03-Dec-2012 (02:23:57.000000),Reisspudding,,False,,234,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
226,2020-11-02 17:02:08,CN,China,8.486720219784151e+17,02-Apr-2017 (23:02:32.000000),CSonafelt,,False,,2465,,True,"  A vote for Donald Trump tomorrow means more infections, more deaths and COVID-19 will linger on destroying lives, the econom…"
227,2020-11-02 16:56:21,CN,China,1197643914.0,19-Feb-2013 (15:33:56.000000),mma4231987,,False,,711,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
228,2020-11-02 17:58:54,CN,China,1197643914.0,19-Feb-2013 (15:33:56.000000),mma4231987,,False,,711,,True,  Biden leads Trump by 6 points in Florida amid coronavirus increase: Poll 
229,2020-11-02 16:56:21,CN,China,1197643914.0,19-Feb-2013 (15:33:56.000000),mma4231987,,False,,711,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
230,2020-11-02 17:58:54,CN,China,1197643914.0,19-Feb-2013 (15:33:56.000000),mma4231987,,False,,711,,True,  Biden leads Trump by 6 points in Florida amid coronavirus increase: Poll 
231,2020-11-02 17:18:29,CN,China,243082119.0,26-Jan-2011 (07:40:25.000000),pamm301,,False,,65,,True,  I just love me some savage Richard Grenell 😎 
233,2020-11-02 16:52:23,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,  My little family made an apparition on the French national TV (France 2 - Le JT de 20h). 😄  The full story can be watched here…
236,2020-11-02 17:06:16,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,"  NEW: In Hunt for Virus Source, W.H.O. Let China Take Charge - Nine months and more than 1.1 million deaths later, there is sti…"
237,2020-11-02 16:52:23,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,  My little family made an apparition on the French national TV (France 2 - Le JT de 20h). 😄  The full story can be watched here…
239,2020-11-02 16:52:23,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,  My little family made an apparition on the French national TV (France 2 - Le JT de 20h). 😄  The full story can be watched here…
242,2020-11-02 17:06:16,CN,China,2847050373.0,27-Oct-2014 (18:28:35.000000),arnauldmiguet,,False,,10278,,True,"  NEW: In Hunt for Virus Source, W.H.O. Let China Take Charge - Nine months and more than 1.1 million deaths later, there is sti…"
249,2020-11-02 18:55:38,CN,China,2463532530.0,25-Apr-2014 (18:12:26.000000),sarikemalettin,,False,,574,,True,"  All this Not intended as #FearPorn used &amp; utilized by so many social media junkies, BUT to increase awareness- so that th…"
250,2020-11-02 20:12:03,CN,China,2963573765.0,06-Jan-2015 (06:33:23.000000),nogoodgods,,False,,477,,True,"  The link between #coronavirus, #lockdown and suicide makes for very grim reading.  Male suicide is at a 20 year high in Engla…"
251,2020-11-02 19:26:18,CN,China,20820993.0,14-Feb-2009 (00:29:16.000000),Narniaexpert,,False,,1002,,False,American cases of COVID-19 surpass 9.2 million  Please stay home. Please wear a mask. #covid #stayhome #health #hospital #care 
255,2020-11-02 18:51:05,CN,China,1.3081428684318106e+18,21-Sep-2020 (20:36:06.000000),BQB2bugasault1,,False,,107,,False,It’s a good thing that  s family members weren’t involved with  methods of handling #COVID19 patients regarding #NursingHome incidents that will be investigated for #CrimesAgainstHumanity  #Trump #Trump2020LandslideVictory #COVID 
256,2020-11-02 20:08:16,CN,China,19806899.0,31-Jan-2009 (05:52:44.000000),wandawink,,False,,87,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
259,2020-11-02 18:29:49,CN,China,3146684154.0,10-Apr-2015 (00:50:47.000000),1taykenn,,False,,3264,,True,  don’t know who needs to hear this but COVID-19 has an incubation period of 14 days. Symptoms can appear within 2-14 days.   s…
260,2020-11-02 18:52:30,CN,China,8.665459492120617e+17,22-May-2017 (06:47:08.000000),NandoMorales8,,False,,386,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
265,2020-11-02 19:23:32,CN,China,15978297.0,25-Aug-2008 (05:34:41.000000),MiaLis79,,False,,17970,,True,  This photo that Twitter users are falsely claiming shows Joe Biden on a plane flouting COVID-19 mask guidelines was taken…
266,2020-11-02 18:43:36,CN,China,1.0457403226579558e+18,28-Sep-2018 (18:21:36.000000),girly_hippy,,False,,320,,False, I think testing for STD'S would be more beneficial to AMERICA and then do that contact tracing ✌️ Drop this #Covid chit and save yourself from getting an #STD 
267,2020-11-02 23:02:54,CN,China,493761269.0,16-Feb-2012 (04:54:53.000000),Jim_GarnerCO,,False,,643,,False," As of Feb there are 2,400 fewer auto &amp; auto parts jobs in Michigan than when Trump took office in 2017. There are even fewer now as the economy recovers from the coronavirus shutdown. "
268,2020-11-02 23:03:08,CN,China,493761269.0,16-Feb-2012 (04:54:53.000000),Jim_GarnerCO,,False,,643,,False,"  As of Feb there are 2,400 fewer auto &amp; auto parts jobs in Michigan than when Trump took office in 2017. There are even fewer now as the economy recovers from the coronavirus shutdown. "
269,2020-11-02 23:08:40,CN,China,493761269.0,16-Feb-2012 (04:54:53.000000),Jim_GarnerCO,,False,,643,,False,"  As of Feb there are 2,400 fewer auto &amp; auto parts jobs in Michigan than when Trump took office in 2017. There are even fewer now as the economy recovers from the coronavirus shutdown. "
