,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
140,2020-11-02 15:41:56,VE,"Venezuela, Bolivarian Republic of",229047322.0,21-Dec-2010 (11:10:12.000000),stevegreen39,,False,,1801,,False,We need more of the type (tracing) that tracks backwards from that person to identify an outbreak’s source.    
155,2020-11-02 16:37:37,VE,"Venezuela, Bolivarian Republic of",525818419.0,15-Mar-2012 (22:44:10.000000),ISMVALSyR,,False,,6125,,True,  🎥🛑In #Itali Far-right protesters clash with police over #COVID19 restrictions in #Rome. 
179,2020-11-02 15:54:43,VE,"Venezuela, Bolivarian Republic of",912776166.0,29-Oct-2012 (16:34:39.000000),edwin_johann,,False,,435,,False,😒
180,2020-11-02 15:36:26,VE,"Venezuela, Bolivarian Republic of",141390286.0,08-May-2010 (00:04:14.000000),ivanka27,,False,,6397,,True,  Exclusive: Liverpool Hospital 'overhelmed' and unable to maintain standards of care as medical director accuses 
182,2020-11-02 16:30:56,VE,"Venezuela, Bolivarian Republic of",141390286.0,08-May-2010 (00:04:14.000000),ivanka27,,False,,6397,,True,  Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…
195,2020-11-02 16:30:56,VE,"Venezuela, Bolivarian Republic of",141390286.0,08-May-2010 (00:04:14.000000),ivanka27,,False,,6400,,True,  Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…
197,2020-11-02 15:36:26,VE,"Venezuela, Bolivarian Republic of",141390286.0,08-May-2010 (00:04:14.000000),ivanka27,,False,,6400,,True,  Exclusive: Liverpool Hospital 'overhelmed' and unable to maintain standards of care as medical director accuses 
198,2020-11-02 16:30:56,VE,"Venezuela, Bolivarian Republic of",141390286.0,08-May-2010 (00:04:14.000000),ivanka27,,False,,6397,,True,  Argentina is considering joining Mexico and Venezuela in getting Russia's coronavirus vaccine before the end of 2020.…
200,2020-11-02 15:36:26,VE,"Venezuela, Bolivarian Republic of",141390286.0,08-May-2010 (00:04:14.000000),ivanka27,,False,,6397,,True,  Exclusive: Liverpool Hospital 'overhelmed' and unable to maintain standards of care as medical director accuses 
640,2020-11-02 15:06:24,VE,"Venezuela, Bolivarian Republic of",1.260687175877886e+18,13-May-2020 (21:43:54.000000),WosTr1yBnet,,False,,619,,False,NA AMIGO
1048,2020-11-02 16:15:06,VE,"Venezuela, Bolivarian Republic of",3005319460.0,30-Jan-2015 (09:45:57.000000),a5a2a335e2fa44e,,False,,451,,True,"  With the EU controlling any part of our fishing, laws, rules, trade, farming and immigration, Nigel Farage will be the…"
1219,2020-11-02 15:16:42,VE,"Venezuela, Bolivarian Republic of",1666348946.0,13-Aug-2013 (00:24:09.000000),AndresitoSchw22,,False,,1982,,False,Lamentable💔
2916,2020-11-02 17:56:10,VE,"Venezuela, Bolivarian Republic of",28638902.0,03-Apr-2009 (19:56:46.000000),zuleidybgurley,,False,,1483,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
2981,2020-11-02 17:09:54,VE,"Venezuela, Bolivarian Republic of",195037373.0,25-Sep-2010 (16:46:45.000000),lelysbravo,,False,,295,,True,"  Wait  Is this graph wrong?  Cases skyrocketing Deaths flat—for 4-5 months.   Not poking anyone, just asking.   #covid19 "
3219,2020-11-02 17:06:29,VE,"Venezuela, Bolivarian Republic of",372373166.0,12-Sep-2011 (17:11:23.000000),DanaFerr,,False,,365,,True,  Mourners in Montenegro have kissed the body of a bishop in his open casket after he died from the coronavirus. 
3386,2020-11-02 17:40:15,VE,"Venezuela, Bolivarian Republic of",115264939.0,18-Feb-2010 (03:56:39.000000),YAJAIRA59,,False,,2170,,True,  🎥🛑In #Itali Far-right protesters clash with police over #COVID19 restrictions in #Rome. 
3474,2020-11-02 18:15:48,VE,"Venezuela, Bolivarian Republic of",1423723758.0,12-May-2013 (18:24:37.000000),Alejandra_A473,,False,,1197,,False,#quedateencasa
3497,2020-11-02 17:22:37,VE,"Venezuela, Bolivarian Republic of",89322683.0,12-Nov-2009 (00:07:36.000000),AlainPicon93,,False,,412,,True,"  18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  "
3505,2020-11-02 18:17:12,VE,"Venezuela, Bolivarian Republic of",70490230.0,31-Aug-2009 (20:23:07.000000),Roly_dessi,,False,,333,,False,💕💕
3567,2020-11-02 18:15:48,VE,"Venezuela, Bolivarian Republic of",1423723758.0,12-May-2013 (18:24:37.000000),Alejandra_A473,,False,,1197,,False,#quedateencasa
3640,2020-11-02 17:40:15,VE,"Venezuela, Bolivarian Republic of",115264939.0,18-Feb-2010 (03:56:39.000000),YAJAIRA59,,False,,2170,,True,  🎥🛑In #Itali Far-right protesters clash with police over #COVID19 restrictions in #Rome. 
3661,2020-11-02 18:15:48,VE,"Venezuela, Bolivarian Republic of",1423723758.0,12-May-2013 (18:24:37.000000),Alejandra_A473,,False,,1198,,False,#quedateencasa
3678,2020-11-02 18:15:48,VE,"Venezuela, Bolivarian Republic of",1423723758.0,12-May-2013 (18:24:37.000000),Alejandra_A473,,False,,1198,,False,#quedateencasa
3685,2020-11-02 18:15:48,VE,"Venezuela, Bolivarian Republic of",1423723758.0,12-May-2013 (18:24:37.000000),Alejandra_A473,,False,,1198,,False,#quedateencasa
3691,2020-11-02 18:15:48,VE,"Venezuela, Bolivarian Republic of",1423723758.0,12-May-2013 (18:24:37.000000),Alejandra_A473,,False,,1198,,False,#quedateencasa
3713,2020-11-02 17:21:30,VE,"Venezuela, Bolivarian Republic of",68427258.0,24-Aug-2009 (15:04:27.000000),Rafaelita82,,False,,9367,,True,"  18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  "
3722,2020-11-02 16:54:47,VE,"Venezuela, Bolivarian Republic of",64401611.0,10-Aug-2009 (13:23:44.000000),Gerardoh31,,False,,583,,False,The latest Sec-on News!  Thanks to    #seguridad #covid19
3795,2020-11-02 19:07:29,VE,"Venezuela, Bolivarian Republic of",148475261.0,26-May-2010 (20:07:47.000000),FlavioGranadosF,,False,,2980,,True,  I have been identified as a contact of someone who has tested positive for #COVID19. I am well and without symptoms but will…
4020,2020-11-02 19:29:40,VE,"Venezuela, Bolivarian Republic of",3005319460.0,30-Jan-2015 (09:45:57.000000),a5a2a335e2fa44e,,False,,451,,False,NO MATTER HOW MUCH THEY HAVE PAID YOU - You cannot spend it when we put you in jail......
4375,2020-11-02 18:57:35,VE,"Venezuela, Bolivarian Republic of",68427258.0,24-Aug-2009 (15:04:27.000000),Rafaelita82,,False,,9368,,False,😳
4391,2020-11-02 18:57:35,VE,"Venezuela, Bolivarian Republic of",68427258.0,24-Aug-2009 (15:04:27.000000),Rafaelita82,,False,,9368,,False,😳
5024,2020-11-02 19:51:57,VE,"Venezuela, Bolivarian Republic of",52433599.0,30-Jun-2009 (16:02:18.000000),ggil17,,False,,125,,False,New cause of COVID-19 blood clots identified 
5134,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5135,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5145,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5146,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5147,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5148,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5151,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5152,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5162,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5163,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5236,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1113,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5237,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1113,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5248,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1113,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5273,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1113,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5280,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5281,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5291,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5292,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1112,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5308,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1113,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
5309,2020-11-02 18:57:06,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1113,,True,"  I dedicate this beautiful video to the children of Venezuela, invite your parents, grandparents, siblings and the whole fami…"
5320,2020-11-02 18:57:19,VE,"Venezuela, Bolivarian Republic of",166334350.0,13-Jul-2010 (22:22:01.000000),Yosmarycandanga,,False,,1113,,True,"  Brothers and Sisters! This week of flexibilization we're going to take care of ourselves in the streets, buses, subways, at…"
