,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:36:54,DJ,Djibouti,411431110.0,13-Nov-2011 (12:04:30.000000),elsheikh_fatima,,False,,779,,True,"  In the framework of the formulation of the National Development Plan to achieve #Djibouti Vision 2035, the Ministry of Ec…"
1,2020-11-03 00:54:56,DJ,Djibouti,346876652.0,01-Aug-2011 (23:50:41.000000),asdjkdfkhda,,False,,325,,True,"  .  37 y.o. Dr. Chris Firlit from Berkley, Michigan DIED from COVID, 3 months from graduation. He was a sen…"
2,2020-11-03 00:54:56,DJ,Djibouti,346876652.0,01-Aug-2011 (23:50:41.000000),asdjkdfkhda,,False,,325,,True,"  .  37 y.o. Dr. Chris Firlit from Berkley, Michigan DIED from COVID, 3 months from graduation. He was a sen…"
4,2020-11-03 01:04:16,DJ,Djibouti,346876652.0,01-Aug-2011 (23:50:41.000000),asdjkdfkhda,,False,,325,,True,  Nearly a quarter of a million covid-19 deaths and still no pandemic strategy 
5,2020-11-03 00:54:56,DJ,Djibouti,346876652.0,01-Aug-2011 (23:50:41.000000),asdjkdfkhda,,False,,325,,True,"  .  37 y.o. Dr. Chris Firlit from Berkley, Michigan DIED from COVID, 3 months from graduation. He was a sen…"
6,2020-11-03 01:04:16,DJ,Djibouti,346876652.0,01-Aug-2011 (23:50:41.000000),asdjkdfkhda,,False,,325,,True,  Nearly a quarter of a million covid-19 deaths and still no pandemic strategy 
7,2020-11-03 01:04:16,DJ,Djibouti,346876652.0,01-Aug-2011 (23:50:41.000000),asdjkdfkhda,,False,,325,,True,  Nearly a quarter of a million covid-19 deaths and still no pandemic strategy 
8,2020-11-03 00:54:56,DJ,Djibouti,346876652.0,01-Aug-2011 (23:50:41.000000),asdjkdfkhda,,False,,325,,True,"  .  37 y.o. Dr. Chris Firlit from Berkley, Michigan DIED from COVID, 3 months from graduation. He was a sen…"
9,2020-11-03 01:04:16,DJ,Djibouti,346876652.0,01-Aug-2011 (23:50:41.000000),asdjkdfkhda,,False,,325,,True,  Nearly a quarter of a million covid-19 deaths and still no pandemic strategy 
12,2020-12-11 03:59:59,DJ,Djibouti,130564912.0,07-Apr-2010 (17:24:26.000000),deniskassim,,False,,380,,True,"  Nearly 292,000 Americans lost their lives in combat in World War II. As of today, the coronavirus has now killed more Am…"
13,2020-12-11 06:15:00,DJ,Djibouti,1.0412174021957263e+18,16-Sep-2018 (06:49:08.000000),PNUDDjibouti,,False,,2100,,False,"#COVID19 has shown us how interdependent social &amp; ecological systems are, urging us to look at their interactions &amp; ponder how nature can advance #humandev in the Anthropocene – the age of humans. Stay tuned for insights from #HDR2020, coming out 15 Dec.  "
15,2020-12-11 11:06:00,DJ,Djibouti,1.0412174021957263e+18,16-Sep-2018 (06:49:08.000000),PNUDDjibouti,,False,,2100,,False,How do we build futures capabilities to drive policy and strategy for #COVID19 recovery? Take a look at our new  &amp;  study to #BuildForwardBetter:  
