,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
1,2020-11-02 16:02:29,DK,Denmark,337677469.0,18-Jul-2011 (12:12:41.000000),Copenred,,False,,313,,False,Putting the mortgage on FCM
5,2020-11-02 16:16:48,DK,Denmark,1165867028.0,10-Feb-2013 (13:03:55.000000),BjarkeMoeller,,False,,4918,,True,"  German Chancellor Angela Merkel has defended a new partial lockdown that came into force today, saying it is necessary to…"
6,2020-11-02 16:19:39,DK,Denmark,772024424.0,21-Aug-2012 (18:35:49.000000),MartiJim7,,False,,2383,,True,  $REGN building a really good case around the use of seropositivity to Covid-19 as a biomarker to determine who should be tre…
9,2020-11-02 16:30:19,DK,Denmark,29442121.0,07-Apr-2009 (13:01:21.000000),larsrikart,,False,,84,,True,"  We held a summit with physicians from across the country who have treated COVID-19 patients, to provide information direc…"
10,2020-11-02 15:51:07,DK,Denmark,1429740536.0,15-May-2013 (06:53:51.000000),SaraDybris,,False,,947,,True,  🚨🚨🚨 British Irish Council to meet on Friday to discuss #COVID19 and Common Travel Area issues. Important to use these inst…
11,2020-11-02 16:50:08,DK,Denmark,79255216.0,02-Oct-2009 (18:42:29.000000),uffeelbaek,,False,,58120,,False,"I’m a new Danish co-chair in #IPAC together with my MP-colleague  And I will just in a very humble and quiet Scandinavian way say, that the work #IPAC is doing on the Chinese issue is FANTASTIC and DAMN IMPOANT!!! Like this initiative concerning Taiwan. #dkpol"
13,2020-11-02 17:20:56,DK,Denmark,125403342.0,22-Mar-2010 (18:03:22.000000),WHO_Europe,,True,,153043,,True,  Media briefing on #COVID19 with  
14,2020-11-02 18:16:27,DK,Denmark,6031942.0,14-May-2007 (12:42:30.000000),thibautthomas,,False,,4013,,True,"  Bad BBC, bad! You publish this unverified 💩and then one has to spend three days fending off journalists' questions abou…"
19,2020-11-02 16:45:56,DK,Denmark,9.053289356464988e+17,06-Sep-2017 (07:16:53.000000),DMHumanRights,,False,,816,,True,"  Our new blog posting on Public procurement during Covid-19 in Latin America: Challenges, responses and next steps forward is p…"
27,2020-11-03 01:05:58,DK,Denmark,256561425.0,23-Feb-2011 (16:04:13.000000),nibrtv2,,True,,2859,,True,"  In internal report, White House coronavirus adviser Deborah Birx pleads for administration to take pandemic more seriou…"
