,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:28:40,HR,Croatia,20850648.0,14-Feb-2009 (14:53:48.000000),smedj,,False,,1594,,True,  Happy #MaskUpMonday!  The risk of COVID-19 transmission is lower when you wear a cloth mask over your nose and mouth.   Learn m…
1,2020-11-02 16:11:51,HR,Croatia,3131027045.0,01-Apr-2015 (12:47:21.000000),njemacko_vlp,,True,,1554,,True,"  Joint effort is needed if Germany's new coronavirus shutdown is to be lifted in time for Christmas, Chancellor Angela Merkel…"
2,2020-11-02 16:11:51,HR,Croatia,3131027045.0,01-Apr-2015 (12:47:21.000000),njemacko_vlp,,True,,1554,,True,"  Joint effort is needed if Germany's new coronavirus shutdown is to be lifted in time for Christmas, Chancellor Angela Merkel…"
3,2020-11-02 16:08:27,HR,Croatia,3131027045.0,01-Apr-2015 (12:47:21.000000),njemacko_vlp,,True,,1554,,True,"  German Chancellor Angela Merkel has defended a new partial lockdown that came into force today, saying it is necessary to…"
4,2020-11-02 16:08:27,HR,Croatia,3131027045.0,01-Apr-2015 (12:47:21.000000),njemacko_vlp,,True,,1554,,True,"  German Chancellor Angela Merkel has defended a new partial lockdown that came into force today, saying it is necessary to…"
5,2020-11-02 16:54:43,HR,Croatia,96744281.0,14-Dec-2009 (11:32:15.000000),capanigo,,False,,571,,False,🏒🏒🏒
6,2020-11-02 17:26:02,HR,Croatia,2694896014.0,10-Jul-2014 (11:54:54.000000),EPavlic,,False,,1977,,False, Breathe and wear a mask! 😷🙌
11,2020-12-11 08:59:47,HR,Croatia,68980397.0,26-Aug-2009 (13:46:32.000000),anijaZam,,False,,553,,True,  I see that the group with the highest #covid infection rate in the UK is now 11-18 year olds.  Nothing to do with the go…
12,2020-12-11 08:41:55,HR,Croatia,3674906657.0,16-Sep-2015 (12:53:17.000000),Daniel_Hrvatska,,False,,27,,True,  What does the inventor of the PCR method think about Dr. Fauci?  Watch this.  RT    #KaryMullis #COVID19  #PC…
13,2020-12-11 09:02:41,HR,Croatia,7.324813398494618e+17,17-May-2016 (08:02:15.000000),SladovicBiserka,,False,,215,,True,  The EU has a rigorous authorisation process in place to ensure that any vaccine is safe and effective.  How are coronavi…
