,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:26:19,QA,Qatar,324473483.0,26-Jun-2011 (17:46:36.000000),furcoisorin,,False,,2037,,False,Displaced Syrians fear spread of COVID-19 |  via  | #COVID19 #COVID #Syria 
3,2020-11-02 16:07:29,QA,Qatar,8.522729597755475e+17,12-Apr-2017 (21:31:22.000000),flyingboris,,False,,383,,True,  Remarkable that Chinese domestic flights are now running at the same level as before #COVID19    
4,2020-11-02 16:07:29,QA,Qatar,8.522729597755475e+17,12-Apr-2017 (21:31:22.000000),flyingboris,,False,,383,,True,  Remarkable that Chinese domestic flights are now running at the same level as before #COVID19    
5,2020-11-02 17:53:58,QA,Qatar,1.2359743794918072e+18,06-Mar-2020 (17:04:30.000000),DrAhmerOff1,,False,,4258,,True,  NCOC discussed additional measures today to control the rising spread of Covid19. Recommendations will be tabled in the NCC…
7,2020-11-03 13:11:59,QA,Qatar,8.522729597755474e+17,12-Apr-2017 (21:31:22.000000),flyingboris,,False,,386,,True,  Bahrain approves use of experimental Covid-19 vaccine for frontline workers 
8,2020-11-03 12:48:08,QA,Qatar,136386523.0,23-Apr-2010 (20:14:24.000000),fahadbutt,,False,,255,,True,"  #Germany is scouting trade fair halls and airport terminals to use as potential mass vaccination centres, as it draws u…"
9,2020-11-03 13:11:59,QA,Qatar,8.522729597755474e+17,12-Apr-2017 (21:31:22.000000),flyingboris,,False,,386,,True,  Bahrain approves use of experimental Covid-19 vaccine for frontline workers 
11,2020-12-10 23:53:05,QA,Qatar,2232138410.0,05-Dec-2013 (23:12:33.000000),Md_Vall,,False,,567,,False,"Youngest Ethiopian refugee to cross the border into Sudan, solar ovens for refugees, zero prevention, full social non-distancing and no Covid19 outbreak! The latest from Oum Rakouba camp in Sudan "
12,2020-12-11 09:44:32,QA,Qatar,591240904.0,26-May-2012 (20:44:54.000000),companion79,,False,,159,,True,"  Even in the midst of #COVID19, Nigeria’s health budget is ₦25 billion for 200 million people. Yet, General #Buhari budgeted…"
13,2020-12-11 12:05:30,QA,Qatar,119687442.0,04-Mar-2010 (10:25:43.000000),nona_oifat,,False,,501,,True,  Hahahahahaha
16,2020-12-11 12:05:30,QA,Qatar,119687442.0,04-Mar-2010 (10:25:43.000000),nona_oifat,,False,,501,,True,  Hahahahahaha
