,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:17:22,IE,Ireland,1.239644916449456e+18,16-Mar-2020 (20:09:23.000000),johnbirrane,,False,,80,,True,  Oh dear.  Even Mongolia that was the last WTO Country in the world to trade solely on WTO terms (it now has trade deals…
1,2020-11-02 16:25:27,IE,Ireland,3081242565.0,09-Mar-2015 (10:04:03.000000),SLControls,,False,,595,,False,"At SL Controls, we are working together with medical device manufacture  to deliver Covid-19 swab testing kits to the US and global market in addition to PPE. #MedTech  "
2,2020-11-02 16:15:02,IE,Ireland,91334232.0,20-Nov-2009 (12:55:30.000000),Independent_ie,,True,,584891,,False,Coronavirus Northern Ireland: Eight further deaths and 493 new cases reported  
3,2020-11-02 16:27:48,IE,Ireland,168841725.0,20-Jul-2010 (22:52:27.000000),jamesybean,,False,,468,,False,Fergus is mad to be able to fly again  #COVID19 #travelban 
4,2020-11-02 16:16:53,IE,Ireland,1653500072.0,07-Aug-2013 (17:44:24.000000),denisemcbrien,,False,,2804,,True,  Bookings coming in for December. We need to know what to do. We need some type of communication from Government on wha…
5,2020-11-02 16:12:30,IE,Ireland,1.2645978259057336e+18,24-May-2020 (16:43:21.000000),MichaelJackByrn,,False,,280,,False,"On the feast of All Souls Day, we remember all of our patients, family and friends that we have have sadly lost this year. May they all rest in peace. 🙏                     #AllSoulsDay #COVID19 #HSE "
6,2020-11-02 15:55:00,IE,Ireland,273458194.0,28-Mar-2011 (14:46:01.000000),DrinksInd_ie,,False,,3073,,False,False dawns &amp; fanciful words  #pandemic #budget2021 #covid19 #LVA
7,2020-11-02 15:33:53,IE,Ireland,250093677.0,10-Feb-2011 (12:09:26.000000),DublinCityofLit,,False,,8533,,True,  Are your children or students anxious at the moment? This looks like a most interesting and useful talk 
8,2020-11-02 16:02:55,IE,Ireland,91334232.0,20-Nov-2009 (12:55:30.000000),Independent_ie,,True,,584891,,False,"One million pupils and staff return after the mid-term break to another seven weeks of daily, hourly, challenges of trying to keep Covid-19 out or, where it does get in, to stop it in its tracks. "
9,2020-11-02 16:15:51,IE,Ireland,214050223.0,10-Nov-2010 (12:54:57.000000),PaulHayes21,,False,,381,,False,Must watch - the genocide of 2020
10,2020-11-02 16:20:08,IE,Ireland,1.242813568422228e+18,25-Mar-2020 (14:00:59.000000),h24news_ie,,False,,70,,False,Game hunters and gun club members around the country are up in arms over a decision to prevent them from going out shooting in the course of their traditional activities #Coronavirus #Ireland #News 
11,2020-11-02 15:36:33,IE,Ireland,127040659.0,27-Mar-2010 (21:13:03.000000),DavQuinn,,False,,14690,,True,"  In Hunt for Virus Source, W.H.O. Let China Take Charge  (A disturbing, even painful account of o…"
13,2020-11-02 16:15:02,IE,Ireland,91334232.0,20-Nov-2009 (12:55:30.000000),Independent_ie,,True,,584888,,False,Coronavirus Northern Ireland: Eight further deaths and 493 new cases reported  
14,2020-11-02 15:24:55,IE,Ireland,1.3144813771574477e+18,09-Oct-2020 (08:22:44.000000),Jennife22068201,,False,,49,,False,Incredible! We desperately need #maternity restrictions reformed in #Ireland too! Blanket guidelines are causing pain &amp; anxiety for many #pregnant #women &amp; #couples.  time to review all #Irish maternity ward's restrictions to more focused systems. #butnotmaternity
15,2020-11-02 16:02:55,IE,Ireland,91334232.0,20-Nov-2009 (12:55:30.000000),Independent_ie,,True,,584888,,False,"One million pupils and staff return after the mid-term break to another seven weeks of daily, hourly, challenges of trying to keep Covid-19 out or, where it does get in, to stop it in its tracks. "
16,2020-11-02 15:41:12,IE,Ireland,24716250.0,16-Mar-2009 (16:10:03.000000),Nialler67,,False,,1190,,False,GAA allocation seems disproportionate given they don't have any players to pay
17,2020-11-02 16:01:23,IE,Ireland,321480096.0,21-Jun-2011 (16:58:11.000000),claonadh15,,False,,446,,False,It should be compulsory for all students and staff to wear masks. Irresponsible not to wear one. Staff show the way by their example.
19,2020-11-02 15:18:53,IE,Ireland,78614685.0,30-Sep-2009 (14:29:21.000000),aophotos,,False,,3551,,False,#1 in hypocrisy
20,2020-11-02 15:56:33,IE,Ireland,1377105552.0,24-Apr-2013 (14:01:07.000000),JGK1700,,False,,291,,True,"  Are you, personally, afraid of catching Covid-19 &amp; what it might do to you?"
21,2020-11-02 16:27:06,IE,Ireland,33208941.0,19-Apr-2009 (14:20:44.000000),mariabaghramian,,False,,954,,True,  Tracey Brown  shares her disappointment on the media coverage of the #Covid19 political response:  “Why are…
23,2020-11-02 15:47:53,IE,Ireland,1.0475725401373981e+18,03-Oct-2018 (19:42:11.000000),claudnia_,,False,,238,,True,"  More than 300,000 of Belgium's 11 million people have COVID-19 right now.   Hospitals are under so much pressure that as…"
24,2020-11-02 16:35:18,IE,Ireland,752832643.0,12-Aug-2012 (09:50:49.000000),Clarke__Emma,,False,,1502,,True,  We've been busy working behind the scenes on the #ChoosingOurFuture public forum which will be live during #ScienceWeek…
25,2020-11-02 16:04:42,IE,Ireland,376206071.0,19-Sep-2011 (13:57:14.000000),KevGeo2011,,False,,409,,True,  200 trainees and 60 instructors from the Garda college in Templemore are being deployed to frontline duties today to help the…
26,2020-11-02 15:40:35,IE,Ireland,1.0167225281050993e+18,10-Jul-2018 (16:35:15.000000),HammondEamonn,,False,,10,,False," I absolutely idolised you as did many. A lot of people have lost relatives to the pandemic. Nobody is happy about how life is right now. But when you’re out and about, my mask protects you &amp; your mask protects me, don’t be dick. Wear your mask and show some respect. 🙏☘️☘️☘️"
27,2020-11-02 15:28:10,IE,Ireland,15212777.0,23-Jun-2008 (22:34:34.000000),niamhsmith,,False,,3473,,False,The benefits of an early morning walk...full moon!  . . #fullmoon #walking #exercise #covid 
28,2020-11-02 15:15:12,IE,Ireland,1.242813568422228e+18,25-Mar-2020 (14:00:59.000000),h24news_ie,,False,,70,,False,The I'm A Celebrity start date is closer than you'd think - with the celebrities having to comply with strict coronavirus guidelines while Wales is in its two-week 'circuit-breaker' lockdown #VernonKay #ShaneRichie #MoFarah #Itv 
29,2020-11-02 16:24:48,IE,Ireland,412753204.0,15-Nov-2011 (03:01:50.000000),davidhall75,,True,,15951,,False,"#COVID at a glance 👀  📸Snapshot of work my private ambulance firm   has been doing transporting patients, delivering #PPE, testing staff etc.   We'll keep going during #Lockdown2   Check out our services here:   *figures 11March-14June '20 "
30,2020-11-02 15:28:02,IE,Ireland,356831151.0,17-Aug-2011 (12:51:40.000000),ClionaNi,,False,,3052,,True,"  Immune-based therapies for #COVID19 have largely disappointed, especially the targeted (and very expensive) cytokine blocker…"
31,2020-11-02 16:21:44,IE,Ireland,1.1961223873533952e+18,17-Nov-2019 (17:46:30.000000),Paul38594605,,False,,171,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
32,2020-11-02 16:38:23,IE,Ireland,1048273370.0,30-Dec-2012 (16:25:59.000000),fionnualaprunty,,False,,98,,True,  Australian Lawyer Peter Little handing documents to the press from 70 Police Whistleblowers who’ve had enough of the #COVI…
33,2020-11-02 15:08:27,IE,Ireland,526882204.0,16-Mar-2012 (23:06:06.000000),JohnnyKeegan,,False,,573,,False,You'd hope that all this money trickles down to the people who need it most.
34,2020-11-02 16:20:08,IE,Ireland,1.242813568422228e+18,25-Mar-2020 (14:00:59.000000),h24news_ie,,False,,70,,False,Game hunters and gun club members around the country are up in arms over a decision to prevent them from going out shooting in the course of their traditional activities #Coronavirus #Ireland #News 
35,2020-11-02 16:37:45,IE,Ireland,1048273370.0,30-Dec-2012 (16:25:59.000000),fionnualaprunty,,False,,98,,True,"  Are you, personally, afraid of catching Covid-19 &amp; what it might do to you?"
36,2020-11-02 16:07:38,IE,Ireland,3163634422.0,13-Apr-2015 (10:55:51.000000),WaterfordLSP,,False,,195,,False,Movement Minutes are back this week.  Thanks to 
37,2020-11-02 15:15:12,IE,Ireland,1.242813568422228e+18,25-Mar-2020 (14:00:59.000000),h24news_ie,,False,,70,,False,The I'm A Celebrity start date is closer than you'd think - with the celebrities having to comply with strict coronavirus guidelines while Wales is in its two-week 'circuit-breaker' lockdown #VernonKay #ShaneRichie #MoFarah #Itv 
38,2020-11-02 15:11:28,IE,Ireland,115676454.0,19-Feb-2010 (14:28:50.000000),DublinBookFest,,False,,15835,,True,  Are your children or students anxious at the moment? This looks like a most interesting and useful talk 
39,2020-11-02 16:08:46,IE,Ireland,238121914.0,14-Jan-2011 (12:18:41.000000),brianymoran,,False,,552,,False,Always look forward to a brace of pheasants hanging by the door.  Pheasant wrapped in bacon &amp; cider being the favourite.  Damn you #COVID19
40,2020-11-02 15:42:33,IE,Ireland,720342984.0,27-Jul-2012 (15:24:14.000000),LiamRoche4,,False,,531,,False, This seems to indicate that deaths attributed to COVID-19 may be exaggerated?
41,2020-11-02 16:38:23,IE,Ireland,1048273370.0,30-Dec-2012 (16:25:59.000000),fionnualaprunty,,False,,98,,True,  Australian Lawyer Peter Little handing documents to the press from 70 Police Whistleblowers who’ve had enough of the #COVI…
42,2020-11-02 16:37:45,IE,Ireland,1048273370.0,30-Dec-2012 (16:25:59.000000),fionnualaprunty,,False,,98,,True,"  Are you, personally, afraid of catching Covid-19 &amp; what it might do to you?"
43,2020-11-02 16:07:20,IE,Ireland,171917612.0,28-Jul-2010 (13:51:10.000000),VolunteerSligo,,False,,2901,,True,  1⃣ #Volunteering is critical to the nation's coronavirus response as well as the sustainability of many volunteer-involvi…
44,2020-11-02 15:26:11,IE,Ireland,2609428082.0,07-Jul-2014 (11:15:05.000000),CorkETB,,False,,2853,,False,"When we keep our distance, no matter how awkward it feels, we’re keeping our guard up against the spread of #COVID19. Keep your guard up, and help to keep ourselves and our loved ones safe #HoldFirm "
45,2020-11-02 16:13:40,IE,Ireland,55233330.0,09-Jul-2009 (13:23:46.000000),TheUSI,,True,,16689,,True,  NStEP was delighted to be invited by the All Ireland Journal of Higher Education to submit a reflective piece on the impact of…
46,2020-11-02 15:11:50,IE,Ireland,2427264710.0,04-Apr-2014 (13:15:07.000000),ElayneRuane,,False,,400,,False,Really interesting and nice visualizations
47,2020-11-02 15:54:55,IE,Ireland,16534822.0,30-Sep-2008 (21:06:39.000000),holbrookfields,,False,,868,,True,  200 trainees and 60 instructors from the Garda college in Templemore are being deployed to frontline duties today to help the…
48,2020-11-02 15:21:14,IE,Ireland,1.281575511257473e+18,10-Jul-2020 (13:06:53.000000),HealthyWexford,,False,,132,,False,Take some time to reflect on the 4A's from   to help you recharge.    #KeepWell #MindingYourMood        
49,2020-11-02 16:19:44,IE,Ireland,3047786710.0,20-Feb-2015 (19:24:51.000000),SvtigerStephane,,False,,1497,,True,  📍HUGE—Kids spread the virus as much as adults. CDC study of households #COVID19 transmission very common. 53% overall.   BO…
50,2020-11-02 16:01:28,IE,Ireland,79178509.0,02-Oct-2009 (13:19:51.000000),RugbyKino,,False,,2966,,False,World Rugby chief says Covid-19 impact on the game’s finances is ‘devastatating’ - Belfast Telegraph (via  
52,2020-11-02 17:35:48,IE,Ireland,43308254.0,29-May-2009 (10:34:47.000000),BCowanHCI,,False,,857,,True,"  During  25th annual #ScienceWeek, we are inviting you to the #ChoosingOurFuture public forum to discuss how…"
54,2020-11-02 17:46:22,IE,Ireland,2528491601.0,04-May-2014 (16:04:40.000000),duzBme,,False,,4896,,True,     And you obviously haven't seen this video of none other than #LeoTheLeak himself h…
55,2020-11-02 17:50:42,IE,Ireland,2528491601.0,04-May-2014 (16:04:40.000000),duzBme,,False,,4896,,False," I think you will find Gene that many of the 235,189 who died #RIP died with COVID not FROM it. As for the figures #NPHET release everyday for Irish deaths?"
56,2020-11-02 17:43:22,IE,Ireland,2528491601.0,04-May-2014 (16:04:40.000000),duzBme,,False,,4896,,False," Hey Gene can you please confirm or retract  235,180 Americans died FROM #COVID19? "
57,2020-11-02 18:08:43,IE,Ireland,9.631581347296502e+17,12-Feb-2018 (21:09:28.000000),drcsadlier,,False,,3248,,True,  Infectious Diseases doctors in  on the frontline grateful for  support in the research endeavour 
