,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
4,2020-11-03 13:58:07,BW,Botswana,7.285379264774636e+17,06-May-2016 (10:52:32.000000),MsKay_REA,,False,,1163,,False,hee
5,2020-11-03 14:06:50,BW,Botswana,196068599.0,28-Sep-2010 (07:32:44.000000),DennisDee21,,False,,1616,,False,Ah come man WTF?
6,2020-12-10 21:45:13,BW,Botswana,1258954418.0,11-Mar-2013 (08:43:05.000000),wantaem,,False,,4551,,True,"  The U.S. reported more than 3,080 COVID-19 deaths on Wednesday, marking the highest day so far in the pandemic and passing the n…"
7,2020-12-11 04:17:25,BW,Botswana,7.068744061240361e+17,07-Mar-2016 (16:09:26.000000),ymogwere,,False,,8696,,False,I am suggesting we celebrate 2020-2021 crossover on the 16 Dec... to avoid disappointment🍻🍷🍾🤔 #Covid19
8,2020-12-11 07:49:17,BW,Botswana,1328781044.0,05-Apr-2013 (09:21:25.000000),itsboty92,,False,,2077,,False,To think ke statistic 😂
9,2020-12-11 06:21:14,BW,Botswana,1.2288907970823373e+18,16-Feb-2020 (03:56:29.000000),Ziggy_ThyHero,,False,,238,,False,iyaaa!  we and our elephants wish you well Mma Generes..  PUUULA!!! 🇧🇼
10,2020-12-11 10:28:36,BW,Botswana,266608530.0,15-Mar-2011 (14:19:08.000000),AlfredMasokola,,False,,781,,False,"Indeed, it is incredible that COVID-19 vaccine has been found barely a year after the outbreak. Yet it has been 40 years since HIV was discovered but still NO vaccine. Is it because HIV is only an African problem? 😜"
11,2020-12-11 09:54:09,BW,Botswana,2780950167.0,23-Sep-2014 (06:29:19.000000),jay_jagannathan,,False,,859,,False,#COVID19 #vaccination  As it stands.. 
12,2020-12-11 07:13:31,BW,Botswana,2780950167.0,23-Sep-2014 (06:29:19.000000),jay_jagannathan,,False,,859,,False,If travelling would you wear diapers to avoid corona virus risks?????
13,2020-12-11 09:54:09,BW,Botswana,2780950167.0,23-Sep-2014 (06:29:19.000000),jay_jagannathan,,False,,859,,False,#COVID19 #vaccination  As it stands.. 
14,2020-12-11 07:13:31,BW,Botswana,2780950167.0,23-Sep-2014 (06:29:19.000000),jay_jagannathan,,False,,859,,False,If travelling would you wear diapers to avoid corona virus risks?????
17,2020-12-11 10:54:43,BW,Botswana,266556262.0,15-Mar-2011 (12:31:05.000000),rollersfc,,False,,23110,,False,Gallery from Friday morning practice. Have a lovely weekend💙 #Blues #Wearmask #Sanitize 
18,2020-12-11 11:25:31,BW,Botswana,2497702883.0,20-Apr-2014 (17:28:32.000000),patieMmo,,False,,2313,,True,  The Chief Justice Mogoeng Mogoeng said he will not beg for permission to pray &amp; he stands by his prayer that any Covid-1…
