,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:35:18,RO,Romania,967028106.0,23-Nov-2012 (23:44:27.000000),MagdalenaMoreh1,,False,,924,,True,"  A fast genetic coronavirus test, developed and made in Poland, which is 99-percent effective has become available on the marke…"
6,2020-11-02 16:17:05,RO,Romania,1.2243949672898803e+18,03-Feb-2020 (18:12:25.000000),unabgehangte,,False,,266,,True,  Wake the hell up - this is a fcuking concentration camp!! Sounds nice yes? ..until the camps become places of imprisonment for…
12,2020-11-02 15:48:08,RO,Romania,7465062.0,14-Jul-2007 (03:39:17.000000),squillionsblog,,False,,509,,False,"Dear Men, you can now send your Woman grocery shopping. Sainsburys has your back. *I'm not doing every gender, swap with whichever. #covid"
14,2020-11-02 16:00:00,RO,Romania,15922122.0,20-Aug-2008 (19:46:26.000000),diando70,,False,,1161,,False,Join us for EDEN European Online and Distance Learning Week (EODLW) 2-6 (+9) Nov! ##edlw #eodlw #oew Daily online webinars and panel sessions of expert scholars on present changes influenced by #COVID19 in online and distance learning. Be sure to register! 
27,2020-11-02 18:05:02,RO,Romania,79572232.0,03-Oct-2009 (21:43:11.000000),zenaida01,,False,,70,,False,"The Romanian Government has postponed the #DAC 6 reporting deadlines by six months, as a response to the severe #disruption to the activities of many financial institutions, tax advisers and tax authorities because of the #COVID-19 pandemic. "
50,2020-11-02 18:39:19,RO,Romania,1570197499.0,05-Jul-2013 (10:02:54.000000),virhilius,,False,,27,,True,"  “The way you produce sound changes when you have Covid, even if you're asymptomatic.”   An algorithm has correctly identifi…"
56,2020-11-02 18:42:01,RO,Romania,179637585.0,17-Aug-2010 (19:42:49.000000),Celtic_Sean,,False,,78,,True,  Covidiot. We have more cases because more people are getting the virus. SCIENCE. Do you speak it?  
69,2020-11-02 23:38:53,RO,Romania,1.1248061453093315e+18,04-May-2019 (22:40:57.000000),BrexitVulcan,,False,,4666,,True,  Use hospital patients as guinea pigs! This man's a monster. 
70,2020-11-02 23:38:53,RO,Romania,1.1248061453093315e+18,04-May-2019 (22:40:57.000000),BrexitVulcan,,False,,4666,,True,  Use hospital patients as guinea pigs! This man's a monster. 
71,2020-11-02 23:45:36,RO,Romania,1.1248061453093315e+18,04-May-2019 (22:40:57.000000),BrexitVulcan,,False,,4666,,True,"  Good for them , fuck Covid 19 &amp; the media scare tactics!"
