,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:19:48,SG,Singapore,15760735.0,07-Aug-2008 (07:14:56.000000),septian,,False,,4161,,False,"Singapore reported 1 #COVID19 case on Nov 2.  - 0 migrant worker (dorms) case (54,497) - 0 community case (2,269) - 1 imported (1,254)  - 1/0 a/sym  Total: 58,020 Recovered: 57,909 Isolation facilities: 22 (+1) Hospital: 46 ICU: 0 Deaths: 28 + 15*   "
1,2020-11-02 16:33:51,SG,Singapore,37165428.0,02-May-2009 (08:08:56.000000),cheng_yien,,False,,871,,True,  Long-held rituals &amp; symbolism in #elite universities &amp; student mobilities are under pressure during #covid19.  of…
2,2020-11-02 16:33:43,SG,Singapore,37165428.0,02-May-2009 (08:08:56.000000),cheng_yien,,False,,871,,True,  Covid-19 is altering student mobilities and regimes &amp; these study imaginaries are tied to aspirations of future work. 
3,2020-11-02 15:59:27,SG,Singapore,1.312787910085632e+18,04-Oct-2020 (16:13:34.000000),theblueflagsg,,False,,7,,False, in this pandemic era the coronavirus is going to seriously disrupt football
4,2020-11-02 15:10:28,SG,Singapore,15760735.0,07-Aug-2008 (07:14:56.000000),septian,,False,,4161,,True,"  The effect of age on the #COVID19 infection fatality rate. Just published  data from 45 countries, 22 seroprevalence…"
5,2020-11-02 16:31:16,SG,Singapore,1.1031950798149876e+18,06-Mar-2019 (07:26:18.000000),cooljapansoccer,,False,,194,,False,COVID-19 hits Reysol 
7,2020-11-02 16:33:43,SG,Singapore,37165428.0,02-May-2009 (08:08:56.000000),cheng_yien,,False,,871,,True,  Covid-19 is altering student mobilities and regimes &amp; these study imaginaries are tied to aspirations of future work. 
8,2020-11-02 15:19:48,SG,Singapore,15760735.0,07-Aug-2008 (07:14:56.000000),septian,,False,,4161,,False,"Singapore reported 1 #COVID19 case on Nov 2.  - 0 migrant worker (dorms) case (54,497) - 0 community case (2,269) - 1 imported (1,254)  - 1/0 a/sym  Total: 58,020 Recovered: 57,909 Isolation facilities: 22 (+1) Hospital: 46 ICU: 0 Deaths: 28 + 15*   "
9,2020-11-02 15:17:24,SG,Singapore,15760735.0,07-Aug-2008 (07:14:56.000000),septian,,False,,4161,,False,"Singapore reported 1 #COVID19 case on Nov 1.  - 0 migrant worker (dorms) case (54,497) - 0 community case (2,269) - 1 imported (1,254)  - 1/0 a/sym  Total: 58,020 Recovered: 57,909 Isolation facilities: 22 (+1) Hospital: 46 ICU: 0 Deaths: 28 + 15*   "
11,2020-11-02 15:26:12,SG,Singapore,19013879.0,15-Jan-2009 (06:55:41.000000),asiaonecom,,True,,42631,,False,South Korea expands mask requirements as Covid-19 cases grow  
13,2020-11-02 16:33:51,SG,Singapore,37165428.0,02-May-2009 (08:08:56.000000),cheng_yien,,False,,871,,True,  Long-held rituals &amp; symbolism in #elite universities &amp; student mobilities are under pressure during #covid19.  of…
14,2020-11-02 15:09:57,SG,Singapore,40844176.0,18-May-2009 (09:31:15.000000),herworldsg,,False,,58190,,False,Breast cancer: Eileen Kao says Covid-19 led her to discover it | Her World Singapore 
15,2020-11-02 16:00:00,SG,Singapore,518556294.0,08-Mar-2012 (14:42:37.000000),ShamMajid1,,False,,72,,False,How has #COVID-19 altered the #energy trajectory globally for the future? Massimo Schiavo shares his insights via  #pandemic 
16,2020-11-02 15:00:13,SG,Singapore,453710049.0,03-Jan-2012 (06:10:30.000000),IPMA_Singapore,,False,,196,,False,"Leadership During Disruptive Times of COVID-19 Pandemic Marriott International CEO, Arne Sorenson, is an authentic leader and he proved on 19 March 2020, with the release of a 6-minute video.     "
17,2020-11-02 15:46:43,SG,Singapore,3195227502.0,14-May-2015 (12:54:48.000000),xXxRGiology,,False,,1161,,False,I need COVID-19 vax.
