,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
88,2020-11-02 16:35:41,PE,Peru,36785640.0,30-Apr-2009 (21:58:54.000000),juanitapardo,,False,,265,,True,  Just the former U.S. director of national intelligence spreading disinformation on eve of an election. (The photo is from…
228,2020-11-02 15:52:24,PE,Peru,123960008.0,17-Mar-2010 (19:47:02.000000),martinfiera,,False,,627,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
245,2020-11-02 15:39:04,PE,Peru,295723049.0,09-May-2011 (15:15:16.000000),karlof11,,False,,359,,True,"  Almost a year since the coronavirus outbreak began in #Wuhan, its people were able to publicly celebrate #Halloween. "
254,2020-11-02 15:39:04,PE,Peru,295723049.0,09-May-2011 (15:15:16.000000),karlof11,,False,,359,,True,"  Almost a year since the coronavirus outbreak began in #Wuhan, its people were able to publicly celebrate #Halloween. "
391,2020-11-02 16:44:32,PE,Peru,33141298.0,19-Apr-2009 (05:35:58.000000),brunellamaria,,False,,768,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
423,2020-11-02 19:10:10,PE,Peru,1.1999387021113876e+18,28-Nov-2019 (06:31:01.000000),mining_beats,,False,,533,,True,  This is a thread that I will maintain to put the historical and present situation re the #coronavirus operation in perspective.…
447,2020-11-02 19:46:23,PE,Peru,71733639.0,05-Sep-2009 (05:13:36.000000),vshiguiyama,,False,,678,,False,The Future Of Banking Is Digital  There’s no denying it: Covid-19 has changed our landscape. 
466,2020-11-03 00:06:43,PE,Peru,1.308174830156632e+18,21-Sep-2020 (22:42:52.000000),SalazarZender,,False,,10,,False,#NoBajemosLaGuardia
510,2020-11-02 23:15:08,PE,Peru,2190914438.0,12-Nov-2013 (19:28:11.000000),jlmalagachocano,,False,,691,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
511,2020-11-02 22:50:24,PE,Peru,1.3184151128987525e+18,20-Oct-2020 (04:54:34.000000),ForoIncides,,False,,8,,True,"  🏝️📊 Thrilled to be launching the COVID-19 #IslandInsights Series today, an initiative which aims to assist policymakers and is…"
548,2020-11-02 22:40:31,PE,Peru,544633532.0,03-Apr-2012 (22:16:47.000000),viramirez15b2,,False,,756,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
552,2020-11-02 22:40:31,PE,Peru,544633532.0,03-Apr-2012 (22:16:47.000000),viramirez15b2,,False,,755,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
557,2020-11-02 22:40:31,PE,Peru,544633532.0,03-Apr-2012 (22:16:47.000000),viramirez15b2,,False,,755,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
561,2020-11-02 22:40:31,PE,Peru,544633532.0,03-Apr-2012 (22:16:47.000000),viramirez15b2,,False,,755,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
602,2020-11-03 01:48:35,PE,Peru,1.1999387021113876e+18,28-Nov-2019 (06:31:01.000000),mining_beats,,False,,535,,True,  The idea that influenza has disappeared is flawed  Respiratory pathogens haven't gone anywhere  They are the cause of il…
605,2020-11-03 01:39:20,PE,Peru,194467201.0,24-Sep-2010 (05:36:14.000000),italocarpio,,False,,225,,False,💪🏻
611,2020-11-03 01:48:35,PE,Peru,1.1999387021113876e+18,28-Nov-2019 (06:31:01.000000),mining_beats,,False,,535,,True,  The idea that influenza has disappeared is flawed  Respiratory pathogens haven't gone anywhere  They are the cause of il…
617,2020-11-03 01:48:29,PE,Peru,1.1999387021113876e+18,28-Nov-2019 (06:31:01.000000),mining_beats,,False,,535,,True,  V interesting! Thanks.
626,2020-11-03 01:25:40,PE,Peru,378375409.0,23-Sep-2011 (03:00:18.000000),isabeldiceesto,,False,,872,,False,Cc 
628,2020-11-03 01:48:29,PE,Peru,1.1999387021113876e+18,28-Nov-2019 (06:31:01.000000),mining_beats,,False,,535,,True,  V interesting! Thanks.
649,2020-11-03 13:51:45,PE,Peru,1344854149.0,11-Apr-2013 (17:11:43.000000),JanetteNina,,False,,50,,True,"  With new lockdowns, Europe is  closing restaurants, bars and sports events. But keeping schools open.Priorities for te…"
719,2020-12-10 22:55:46,PE,Peru,32513017.0,17-Apr-2009 (18:32:52.000000),franjavi,,False,,688,,True,  BREAKING: The FDA's vaccine advisory panel votes to recommend emergency use authorization for Pfizer vaccine:  17 voted…
745,2020-12-10 22:45:19,PE,Peru,2292812642.0,15-Jan-2014 (14:48:35.000000),Agua_De_Manzana,,False,,315,,True,  🚨Breaking: The  advisory committee has recommended to issue an emergency use authorization for the  
752,2020-12-10 22:38:47,PE,Peru,1.258513522306298e+18,07-May-2020 (21:46:31.000000),observadordlima,,False,,6,,True,"  SE FUE VIZCARRA Y SE DESTAPO LA CAJA DE PANDORA , PROTESTAS SOCIALES EN TODO EL PAIS, AUMENTO DE CONTAGIOS CORONAVIRUS, ....Y L…"
753,2020-12-10 20:53:59,PE,Peru,66888921.0,19-Aug-2009 (02:51:18.000000),loconito,,False,,195,,False,😷🐶
1165,2020-12-10 22:35:10,PE,Peru,2910089873.0,07-Dec-2014 (23:43:49.000000),JCGrundy,,False,,115,,False,Asu...
1166,2020-12-10 21:53:25,PE,Peru,121859258.0,10-Mar-2010 (20:48:25.000000),vladyaraoz,,False,,40,,True,  U.S. FDA advisers wrestle with ethical issues linked to authorizing Pfizer's COVID-19 vaccine  
1169,2020-12-10 21:53:25,PE,Peru,121859258.0,10-Mar-2010 (20:48:25.000000),vladyaraoz,,False,,40,,True,  U.S. FDA advisers wrestle with ethical issues linked to authorizing Pfizer's COVID-19 vaccine  
1172,2020-12-10 21:53:25,PE,Peru,121859258.0,10-Mar-2010 (20:48:25.000000),vladyaraoz,,False,,40,,True,  U.S. FDA advisers wrestle with ethical issues linked to authorizing Pfizer's COVID-19 vaccine  
1181,2020-12-10 20:51:53,PE,Peru,2717693197.0,08-Aug-2014 (18:13:16.000000),FuentesVlad,,False,,191,,True,"  SE FUE VIZCARRA Y SE DESTAPO LA CAJA DE PANDORA , PROTESTAS SOCIALES EN TODO EL PAIS, AUMENTO DE CONTAGIOS CORONAVIRUS, ....Y L…"
1896,2020-12-11 01:11:30,PE,Peru,3191630399.0,21-Apr-2015 (17:21:24.000000),VeroSpringbreak,,False,,896,,True,  Can I stop wearing a mask after getting a COVID-19 vaccine? 
