,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:40:39,IL,Israel,1071901771.0,08-Jan-2013 (20:18:20.000000),GennadySimanovs,,False,,1016,,False,"  IMHO,  WHO employees see it different. As a huge bureaucratic organization they afraid to admit they made from the beginning the wrong admission of covid19 to the class of viruses that do not spread via airborne.  They understand that it could be criminal prosecution."
1,2020-11-02 15:07:05,IL,Israel,9.585748855839334e+17,31-Jan-2018 (05:37:16.000000),JanessaTaylor20,,False,,877,,True,"  Largest peer-reviewed study, 57,335 child care centers:  “No evidence of child care being a significant contributor to COV…"
2,2020-11-02 16:01:28,IL,Israel,173334739.0,01-Aug-2010 (03:35:51.000000),SalemJagee,,False,,175,,False,#ecology
3,2020-11-02 15:36:22,IL,Israel,272405599.0,26-Mar-2011 (12:59:58.000000),Thisistosin,,False,,940,,False, Covid-19 apparently. 💔
7,2020-11-02 15:57:36,IL,Israel,17443609.0,17-Nov-2008 (15:50:14.000000),goeljasper,,False,,625,,True,   makes the case for implementing contact-free #continuousmonitoring technology in healthcare facilities…
9,2020-11-02 15:46:24,IL,Israel,1.3218721283214623e+18,29-Oct-2020 (17:51:19.000000),jackies35240069,,False,,78,,True,"  Trump just pledged to fire Dr. Fauci. Meanwhile, in El Paso: “a backlog of 85 bodies tonight” requiring “a fourth mobile…"
10,2020-11-02 16:41:06,IL,Israel,4166965295.0,11-Nov-2015 (22:40:36.000000),AnihNonso,,False,,105,,True,  Rest in Peace Dr Val COVID19 took you from us but it can't erase your memories.  You were fit as a fiddle. You live on i…
11,2020-11-02 16:17:13,IL,Israel,1.2036901213730693e+18,08-Dec-2019 (14:57:56.000000),LamontC76925238,,False,,403,,False,US HHS and FDA Opt for Arbitrary &amp; Perpetual Diagnosis of COVID19 
12,2020-11-02 16:16:49,IL,Israel,1.2036901213730693e+18,08-Dec-2019 (14:57:56.000000),LamontC76925238,,False,,403,,False,US HHS and FDA Opt for Arbitrary &amp; Perpetual Diagnosis of COVID19 
13,2020-11-02 16:17:13,IL,Israel,1.2036901213730693e+18,08-Dec-2019 (14:57:56.000000),LamontC76925238,,False,,403,,False,US HHS and FDA Opt for Arbitrary &amp; Perpetual Diagnosis of COVID19 
14,2020-11-02 16:16:49,IL,Israel,1.2036901213730693e+18,08-Dec-2019 (14:57:56.000000),LamontC76925238,,False,,403,,False,US HHS and FDA Opt for Arbitrary &amp; Perpetual Diagnosis of COVID19 
15,2020-11-02 14:58:33,IL,Israel,92867252.0,27-Nov-2009 (00:27:04.000000),SherriPizza,,False,,2796,,False,"An excellent 8-tweet thread on Trump, Biden and #COVID response. #VOTE #BidenHarris2020"
16,2020-11-02 16:41:01,IL,Israel,4166965295.0,11-Nov-2015 (22:40:36.000000),AnihNonso,,False,,105,,True,"  The second wave of COVID-19 is here  7 new patients admitted for COVID-19 last week, 5 landed in the ICU and are curre…"
17,2020-11-02 16:41:06,IL,Israel,4166965295.0,11-Nov-2015 (22:40:36.000000),AnihNonso,,False,,105,,True,  Rest in Peace Dr Val COVID19 took you from us but it can't erase your memories.  You were fit as a fiddle. You live on i…
18,2020-11-02 16:41:01,IL,Israel,4166965295.0,11-Nov-2015 (22:40:36.000000),AnihNonso,,False,,105,,True,"  The second wave of COVID-19 is here  7 new patients admitted for COVID-19 last week, 5 landed in the ICU and are curre…"
