,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:30:28,SA,Saudi Arabia,9.311011190524273e+17,16-Nov-2017 (10:06:20.000000),Realsavage394,,False,,2247,,True,  Backstory: Nust opened up with the policy that they would not allow hostelities to leave or go back home once they were…
1,2020-11-02 15:59:17,SA,Saudi Arabia,1.002437966025896e+18,01-Jun-2018 (06:33:30.000000),geept101,,False,,130,,True,  The Effectiveness and Efficacy of Telerehabilitation in Persons with SCI during COVID-19     #COVID…
2,2020-11-02 16:00:19,SA,Saudi Arabia,1.002437966025896e+18,01-Jun-2018 (06:33:30.000000),geept101,,False,,130,,True,  STARTING NOW: Our International Health Lecture with  #IHL2020   It's not too late to register for this free event a…
3,2020-11-02 16:00:19,SA,Saudi Arabia,1.002437966025896e+18,01-Jun-2018 (06:33:30.000000),geept101,,False,,130,,True,  STARTING NOW: Our International Health Lecture with  #IHL2020   It's not too late to register for this free event a…
4,2020-11-02 15:43:13,SA,Saudi Arabia,46101453.0,10-Jun-2009 (12:39:06.000000),AnujChopra,,True,,9302,,True,  Easing #COVID19 restrictions in #SaudiArabia means #Muslim pilgrims can once again travel to #Mecca to perform #Umrah - at…
5,2020-11-02 16:12:26,SA,Saudi Arabia,280609774.0,11-Apr-2011 (17:38:26.000000),Elnino9911,,False,,192,,True,  This is why Petr Cech has been added to the Chelsea squad. Two of 11 ruled out are goalkeepers.
8,2020-11-02 15:59:17,SA,Saudi Arabia,1.002437966025896e+18,01-Jun-2018 (06:33:30.000000),geept101,,False,,130,,True,  The Effectiveness and Efficacy of Telerehabilitation in Persons with SCI during COVID-19     #COVID…
11,2020-11-02 15:31:39,SA,Saudi Arabia,1.0499937272536024e+18,10-Oct-2018 (12:03:07.000000),EkleelBS,,False,,1283,,True,  #SaudiArabia reports 381 new COVID-19  cases as recoveries continue to surge 
12,2020-11-02 16:22:27,SA,Saudi Arabia,322676649.0,23-Jun-2011 (15:27:49.000000),fa18had,,False,,1281,,True,  BREAKING  Eleven Ajax players test positive for coronavirus before Champions League game against FC Midtjylland  
13,2020-11-02 16:09:14,SA,Saudi Arabia,328344304.0,03-Jul-2011 (05:46:27.000000),yazoodalrasheed,,False,,1108,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
14,2020-11-02 17:28:54,SA,Saudi Arabia,1380865496.0,26-Apr-2013 (02:12:15.000000),DtMater,,False,,502,,False,"   Well, that’s great new information for me and this is of course due to covid-19 crisis."
22,2020-11-02 17:11:11,SA,Saudi Arabia,7.369693431127736e+17,29-May-2016 (17:15:58.000000),hanna_alemneh,,False,,45,,True,  Ethiopia has lost more people from ethnic and religious based targeted killings in the last ten months than #Covid19. It’s in…
25,2020-11-02 17:21:31,SA,Saudi Arabia,1.292928718403502e+18,10-Aug-2020 (21:00:14.000000),AbeerAlfaim,,False,,1,,False,"COVID-19 showcased another facet in utilizing technology for education, but I will leave this subject for another day."
26,2020-11-02 17:50:48,SA,Saudi Arabia,9.402287105229088e+17,11-Dec-2017 (14:36:08.000000),w20org,,False,,11890,,True,  Out Now: 9️⃣ point action plan to support women entrepreneurs struggling from #COVID19 launched at #W20Summit2020.  Brief by 
27,2020-11-02 18:07:05,SA,Saudi Arabia,590493855.0,25-May-2012 (23:38:21.000000),Pharmalani,,False,,7053,,True,  Save the date 3-5 Nov  Best Pharmacy Practices: COVID-19 Real Life Experiences and Future Strategies National and Internati…
29,2020-11-02 17:58:35,SA,Saudi Arabia,829210232.0,17-Sep-2012 (14:52:11.000000),AnasHamam,,False,,5146,,False,A quick summary of the CoVID19 therapies! 
31,2020-11-02 17:01:12,SA,Saudi Arabia,2829381408.0,24-Sep-2014 (07:08:10.000000),WiddaAlatta,,False,,220,,True,  BREAKING: #Sudan ex-PM &amp; leader of Umma party al-Sadiq al-Mahdi will be medically evacuated to UAE today in wake of his C…
33,2020-11-02 19:36:13,SA,Saudi Arabia,1.2405339736353833e+18,19-Mar-2020 (07:02:20.000000),Dr1alameer,,False,,64,,True,  What’s our Purpose? Our aim through this campaign is to increase awareness in our society about the importance of a hea…
34,2020-11-02 20:08:25,SA,Saudi Arabia,395793639.0,22-Oct-2011 (07:56:53.000000),Tallo2012,,False,,599,,True,  “None of these vaccines are going to give us complete protection.”  Former prime minister Tony Blair explains that society is…
37,2020-11-02 19:23:01,SA,Saudi Arabia,401360029.0,30-Oct-2011 (12:41:30.000000),unique_arsad,,False,,82,,True,"  UAE confirms 1,234 new #COVID19 cases and one death, as 5 Emirati scientists get 2.5m dirhams grant for #coronavirus research…"
44,2020-11-02 19:36:13,SA,Saudi Arabia,1.2405339736353833e+18,19-Mar-2020 (07:02:20.000000),Dr1alameer,,False,,64,,True,  What’s our Purpose? Our aim through this campaign is to increase awareness in our society about the importance of a hea…
45,2020-11-02 18:44:20,SA,Saudi Arabia,9.626890447140576e+17,11-Feb-2018 (14:05:28.000000),DrOhoudAljuhani,,False,,3233,,True,  Save the date 3-5 Nov  Best Pharmacy Practices: COVID-19 Real Life Experiences and Future Strategies National and Internati…
47,2020-11-02 19:36:13,SA,Saudi Arabia,1.2405339736353833e+18,19-Mar-2020 (07:02:20.000000),Dr1alameer,,False,,64,,True,  What’s our Purpose? Our aim through this campaign is to increase awareness in our society about the importance of a hea…
52,2020-11-02 18:35:37,SA,Saudi Arabia,140083467.0,04-May-2010 (14:35:02.000000),Darreeena,,False,,161,,True,  Mild and Moderate #COVID19 |  A major immunological shift | James Heath    | #2020…
54,2020-11-02 19:36:28,SA,Saudi Arabia,375747678.0,18-Sep-2011 (17:24:19.000000),Omar_Muhaimen,,False,,986,,True,  For those who are worried about losing their jobs due to the Coronavirus &amp; lockdown.  Know that your rizq (provisions) are…
55,2020-11-02 19:03:26,SA,Saudi Arabia,407978545.0,08-Nov-2011 (20:25:18.000000),A_hattan1,,False,,994,,True,  Proud to be part of this great department and thanks for all the support! And hopefully many more to come.
60,2020-11-02 23:34:24,SA,Saudi Arabia,46885773.0,13-Jun-2009 (13:32:53.000000),brhom007,,False,,387,,True,  A is for antisemitism B is for bone saw C is for coronavirus D is for disinfectant E is for 'enemies of the people' F is f…
62,2020-11-03 01:09:32,SA,Saudi Arabia,455005967.0,04-Jan-2012 (16:45:58.000000),Aj_dx2,,False,,56,,True,  Thanks to  AND HER COMMISSIONS ARE OPEN NOW!!!! 
63,2020-11-03 02:47:09,SA,Saudi Arabia,1.0499937272536024e+18,10-Oct-2018 (12:03:07.000000),EkleelBS,,False,,1289,,True,  #Indian scientists recently conducted a research to provide an explanation to the anomaly of despite having a big number…
64,2020-11-03 02:21:22,SA,Saudi Arabia,1.1359148842756381e+18,04-Jun-2019 (14:23:07.000000),Nawafesque,,False,,182,,True,  #Indian scientists recently conducted a research to provide an explanation to the anomaly of despite having a big number…
65,2020-11-03 03:09:58,SA,Saudi Arabia,1.0666718239731752e+18,25-Nov-2018 (12:35:55.000000),sajjid_mohammed,,False,,927,,True,"  India has been deeply affected by coronavirus, denial &amp; lies won't change that.   PM Modi must accept that his govt fail…"
67,2020-11-03 01:17:46,SA,Saudi Arabia,1.0499937272536024e+18,10-Oct-2018 (12:03:07.000000),EkleelBS,,False,,1289,,True,"  #SaudiArabia recorded on Monday 381 new #coronavirus cases over the past 24 hours, up 7 on Sunday’s figure of 435  "
68,2020-11-03 02:47:09,SA,Saudi Arabia,1.0499937272536024e+18,10-Oct-2018 (12:03:07.000000),EkleelBS,,False,,1288,,True,  #Indian scientists recently conducted a research to provide an explanation to the anomaly of despite having a big number…
69,2020-11-03 01:54:00,SA,Saudi Arabia,2363565972.0,27-Feb-2014 (03:37:17.000000),5a6awatalkurah,,False,,2401,,True,  Coronavirus chaos hits Ajax ahead of the Champions League 🇳🇱  #UCL
