,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:51:40,SE,Sweden,2981739731.0,16-Jan-2015 (21:15:52.000000),malmobon,,False,,3062,,True,  Coronavirus: German hospitals brace for 'record number' of intensive care patients   
1,2020-11-02 16:01:33,SE,Sweden,2204243044.0,02-Dec-2013 (07:24:22.000000),HansHermansson_,,False,,22,,True,"  Dear   As anyone can see for themselves, the picture you've posted (nicely edited to crop out the captio…"
2,2020-11-02 15:22:52,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"CORONAVIRUS LATEST: Cases of COVID-19 are climbing in 44 of 50 states, and less than 24 hours from Election Day, health officials are especially concerned about infections in key Midwestern battleground states.    #END"
3,2020-11-02 15:45:19,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  #END"
4,2020-11-02 15:46:12,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"Russia confirmed 18,257 Covid-19 cases Monday, bringing its official number of cases to 1,655,038   #END"
5,2020-11-02 15:23:41,SE,Sweden,19527741.0,26-Jan-2009 (10:25:57.000000),mrurbano,,False,,488,,False,"Intressant långläsning  ”Every single phase of life has been selected to try to avoid parasitism,”  "
6,2020-11-02 16:24:24,SE,Sweden,31792400.0,16-Apr-2009 (13:39:27.000000),sthlmresilience,,False,,26952,,True,"  Event 4-5 Nov #Focali2020 See program,abstracts &amp;sign-up to attend&gt;  During opening session we focus…"
7,2020-11-02 15:46:12,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"Russia confirmed 18,257 Covid-19 cases Monday, bringing its official number of cases to 1,655,038   #END"
8,2020-11-02 16:13:51,SE,Sweden,291719539.0,02-May-2011 (14:18:18.000000),robinsaaski,,False,,162,,True,  BREAKING  Eleven Ajax players test positive for coronavirus before Champions League game against FC Midtjylland  
9,2020-11-02 15:51:31,SE,Sweden,8.298579955216671e+17,10-Feb-2017 (01:02:18.000000),OlophNihlson,,False,,1679,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
10,2020-11-02 15:48:20,SE,Sweden,384275982.0,03-Oct-2011 (11:54:26.000000),AxelHansson1,,False,,226,,True,  With a lot of EU countries entering in the 2nd lockdown phase due to #COVID19 it is once again important to remember the…
12,2020-11-02 16:21:00,SE,Sweden,257792555.0,26-Feb-2011 (05:03:32.000000),cogan52,,False,,691,,True,"  Dear Pennsylvania Dems, independents &amp; moderate Repubs: this election is about ending #Covid19, saving healthcare &amp; the eco…"
13,2020-11-02 15:45:19,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  #END"
14,2020-11-02 16:01:05,SE,Sweden,24666393.0,16-Mar-2009 (08:24:04.000000),dhallback,,False,,56,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
15,2020-11-02 15:22:52,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"CORONAVIRUS LATEST: Cases of COVID-19 are climbing in 44 of 50 states, and less than 24 hours from Election Day, health officials are especially concerned about infections in key Midwestern battleground states.    #END"
16,2020-11-02 15:26:06,SE,Sweden,2204243044.0,02-Dec-2013 (07:24:22.000000),HansHermansson_,,False,,22,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
17,2020-11-02 15:46:12,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"Russia confirmed 18,257 Covid-19 cases Monday, bringing its official number of cases to 1,655,038   #END"
18,2020-11-02 16:01:33,SE,Sweden,2204243044.0,02-Dec-2013 (07:24:22.000000),HansHermansson_,,False,,22,,True,"  Dear   As anyone can see for themselves, the picture you've posted (nicely edited to crop out the captio…"
19,2020-11-02 15:45:19,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  #END"
20,2020-11-02 15:22:52,SE,Sweden,898442239.0,22-Oct-2012 (21:15:33.000000),Barbara96913515,,False,,1044,,False,"CORONAVIRUS LATEST: Cases of COVID-19 are climbing in 44 of 50 states, and less than 24 hours from Election Day, health officials are especially concerned about infections in key Midwestern battleground states.    #END"
22,2020-11-02 16:40:36,SE,Sweden,122763720.0,13-Mar-2010 (20:38:47.000000),perhagwall,,False,,7542,,True,"  Magna Carta absolutely cannot be used to get around COVID-19 restrictions, historians explain "
