,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:38:11,PL,Poland,122281301.0,12-Mar-2010 (05:40:36.000000),rwtbkk,,False,,496,,False,So you think COVID-19 is being handled badly in the United States? Take a look at these numbers.
5,2020-11-02 15:37:07,PL,Poland,143553506.0,13-May-2010 (19:55:19.000000),MichellePodg,,False,,595,,True,"  Singapore has reached 3 days with no new domestic cases of coronavirus, a first since COVID-19 began spreading in February"
10,2020-11-02 15:34:54,PL,Poland,119434441.0,03-Mar-2010 (16:55:23.000000),magdaborowik,,False,,2016,,True,"  In other words, warmer temperatures slow covid spread."
29,2020-11-02 15:24:48,PL,Poland,1037284076.0,26-Dec-2012 (14:39:39.000000),alejasienieznam,,False,,77,,True,  ELEVEN AJAX PLAYERS TEST POSITIVE FOR CORONAVIRUS DAY BEFORE CHAMPIONS LEAGUE MATCH - RTL
31,2020-11-02 15:27:13,PL,Poland,1560207138.0,01-Jul-2013 (10:41:45.000000),rotax73,,False,,2494,,True,  Whoa!
35,2020-11-02 16:21:19,PL,Poland,2443887002.0,14-Apr-2014 (13:27:45.000000),anna_widzyk,,False,,291,,True,"  German Chancellor Angela Merkel has defended a new partial lockdown that came into force today, saying it is necessary to…"
41,2020-11-02 17:44:26,PL,Poland,60981858.0,28-Jul-2009 (18:31:50.000000),hoddles10,,False,,467,,False,Sir Edward Leigh asking a question.  I think I need  to adjust my TV.  #covid statement
42,2020-11-02 16:49:56,PL,Poland,14443838.0,19-Apr-2008 (15:09:57.000000),Gruchalski,,False,,3322,,True,  More disinfo from the Trump campaign (and former acting Director of National Intelligence). The picture on the left is…
45,2020-11-02 16:48:15,PL,Poland,36634949.0,30-Apr-2009 (10:34:04.000000),Toytowner,,False,,1171,,True,  We predict that Glenn Campbell won't reveal that Douglas Ross's Scottish Tory MSPs opposed a motion calling for furlough t…
57,2020-11-02 18:11:18,PL,Poland,122281301.0,12-Mar-2010 (05:40:36.000000),rwtbkk,,False,,496,,False,WHO Struck Deal With China on COVID-19 Probe  #Newsmax via 
74,2020-11-02 18:58:31,PL,Poland,122281301.0,12-Mar-2010 (05:40:36.000000),rwtbkk,,False,,497,,True,"   PCR works by selectively amplifying trace amounts of genetic material, identifying specific parts of DNA. Trace…"
