,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:42:11,LB,Lebanon,235564235.0,08-Jan-2011 (14:32:14.000000),seriousssam,,False,,1617,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
1,2020-11-02 18:08:33,LB,Lebanon,476620212.0,28-Jan-2012 (09:47:23.000000),tamara_saade_,,False,,548,,True,"  Nine people have died from COVID-19 in the past 24 hours, bringing the death toll to 652, while 1,080 people have tested…"
5,2020-11-02 17:37:51,LB,Lebanon,415603597.0,18-Nov-2011 (15:18:00.000000),BoushraTaha,,False,,1012,,True,  Findings from  researchers suggest that older males who were hospitalized and have recovered from #COVID1…
6,2020-11-02 18:06:41,LB,Lebanon,1.3066294820407665e+18,17-Sep-2020 (16:25:46.000000),lorienttoday,,False,,2578,,False,"Nine people have died from COVID-19 in the past 24 hours, bringing the death toll to 652, while 1,080 people have tested positive, raising the number of active cases to 39,160  For more live news, click here: "
7,2020-11-02 17:38:01,LB,Lebanon,1.1833233392443963e+18,13-Oct-2019 (10:07:42.000000),JustAnotherLeb,,False,,630,,True,  This is so sad. All the appreciation to our strong and amazing nurses 🙏❤
8,2020-11-02 19:36:43,LB,Lebanon,70618906.0,01-Sep-2009 (06:53:06.000000),charbelnassar,,False,,435,,False,The Lebanese government is overestimating its population by 50–75%. COVID-19 risks are much higher than currently estimated.  
10,2020-11-02 18:55:26,LB,Lebanon,240380321.0,19-Jan-2011 (20:02:06.000000),jasminldiab,,False,,1996,,True,"  Today,  launched the COVAM Dashboard, an essential tool for raising awareness, increasing transparency, and context…"
11,2020-11-02 18:51:57,LB,Lebanon,240380321.0,19-Jan-2011 (20:02:06.000000),jasminldiab,,False,,1996,,True,"  GHI is pleased to announce the launching of the #COVID19 Arab Monitor (COV-AM) dashboard. Through interactive charts, maps and…"
12,2020-11-02 18:51:57,LB,Lebanon,240380321.0,19-Jan-2011 (20:02:06.000000),jasminldiab,,False,,1996,,True,"  GHI is pleased to announce the launching of the #COVID19 Arab Monitor (COV-AM) dashboard. Through interactive charts, maps and…"
14,2020-11-02 19:02:05,LB,Lebanon,415603597.0,18-Nov-2011 (15:18:00.000000),BoushraTaha,,False,,1012,,True,"  A 13-year-old boy in Missouri has died from complications caused by COVID-19, marking the first coronavirus-related death in the…"
