,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
22,2020-11-02 15:05:03,AR,Argentina,9.344633429446205e+17,25-Nov-2017 (16:46:37.000000),BugariniUlises,,False,,290,,True,  #ISMPMI survey respondent in Transportation Equipment: “The year-to-date (sales) level is still 21% below last year due to the #CO…
96,2020-11-02 15:55:32,AR,Argentina,23184067.0,07-Mar-2009 (10:56:51.000000),Aller_MD,,False,,6585,,False,"The latest Allergy, Asthma &amp; Immunology!  #covid #eczema"
97,2020-11-02 15:51:08,AR,Argentina,23184067.0,07-Mar-2009 (10:56:51.000000),Aller_MD,,False,,6585,,False,The latest Allergists on Social Media!  Thanks to    #covid #diet
120,2020-11-02 15:05:35,AR,Argentina,1383873415.0,27-Apr-2013 (07:58:09.000000),mydeji247,,False,,6852,,True,"  Nigeria just goes with every Western trend, except economic development."
121,2020-11-02 15:51:08,AR,Argentina,23184067.0,07-Mar-2009 (10:56:51.000000),Aller_MD,,False,,6585,,False,The latest Allergists on Social Media!  Thanks to    #covid #diet
122,2020-11-02 15:55:32,AR,Argentina,23184067.0,07-Mar-2009 (10:56:51.000000),Aller_MD,,False,,6585,,False,"The latest Allergy, Asthma &amp; Immunology!  #covid #eczema"
184,2020-11-02 16:26:32,AR,Argentina,186237060.0,02-Sep-2010 (22:50:49.000000),cardido,,False,,47,,False,Y EL GOBIERNO PROVINCIAL? AHHH DANDO PLATA A USURPADORES LISTO......MALA MIA
218,2020-11-02 17:17:22,AR,Argentina,72167593.0,07-Sep-2009 (01:03:43.000000),pollymil,,False,,1029,,False,Lcdll 
280,2020-11-02 17:28:59,AR,Argentina,73033314.0,10-Sep-2009 (03:41:55.000000),skielo,,False,,142,,False,Wear a mask 😷
301,2020-11-02 17:48:17,AR,Argentina,950400432.0,15-Nov-2012 (20:18:56.000000),ecofedei,,False,,165,,True,  Our analysis on age-specific mortality and immunity patterns of SARS-CoV-2 has now been published  We look at COVID…
327,2020-11-02 18:00:50,AR,Argentina,21928784.0,25-Feb-2009 (22:24:46.000000),aletorto,,False,,4079,,False,How the Coronavirus Hacks the Immune System  vía 
329,2020-11-02 17:04:38,AR,Argentina,137020204.0,25-Apr-2010 (15:08:40.000000),leandromorgen,,False,,5932,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
339,2020-11-02 17:10:18,AR,Argentina,106442200.0,19-Jan-2010 (15:37:22.000000),Gauchoboeing,,False,,2555,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
442,2020-11-02 19:29:38,AR,Argentina,2307982014.0,24-Jan-2014 (08:26:59.000000),EngeladT22,,False,,869,,True,  Can someone please answer this for me. And I’m serious. What is Biden going to do to get COVID-19 under control that isn’…
493,2020-11-02 19:39:27,AR,Argentina,109828650.0,30-Jan-2010 (12:09:11.000000),jmguerrera,,False,,221,,False,Ladri.
496,2020-11-02 19:45:12,AR,Argentina,1.1834928915256852e+18,13-Oct-2019 (21:22:24.000000),OlgaM_Rosario,,False,,4914,,False,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼
498,2020-11-02 19:45:12,AR,Argentina,1.1834928915256852e+18,13-Oct-2019 (21:22:24.000000),OlgaM_Rosario,,False,,4914,,False,👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼👏🏼
508,2020-11-02 18:33:55,AR,Argentina,80775508.0,08-Oct-2009 (05:36:35.000000),FindingVeracity,,False,,11077,,False,"-At Least 1,500 Nurses Have Died from #COVID19 -World Deaths 1,207,785 deaths -US Deaths 231,077  IHME at UWmedicine revision expects 399,000 US Covid deaths 2/1'21; Increase assumes restrictions  Under Trump hands-off plan, deaths could hit 514,000  "
509,2020-11-02 18:33:55,AR,Argentina,80775508.0,08-Oct-2009 (05:36:35.000000),FindingVeracity,,False,,11077,,False,"-At Least 1,500 Nurses Have Died from #COVID19 -World Deaths 1,207,785 deaths -US Deaths 231,077  IHME at UWmedicine revision expects 399,000 US Covid deaths 2/1'21; Increase assumes restrictions  Under Trump hands-off plan, deaths could hit 514,000  "
511,2020-11-02 18:38:03,AR,Argentina,1.1487653182208655e+18,10-Jul-2019 (01:26:09.000000),jcsaferosa,,False,,285,,True,"  Trump says 'a vote for Biden is a vote for lockdowns, layoffs, misery'  "
523,2020-11-02 18:44:19,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,813,,True,"  SADTU GS, Mugwena Maluleke to take part in a Phepha uFunde webinar to discuss the possible implications of #COVID19 on p…"
524,2020-11-02 19:45:03,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,813,,True,"  As of today, the total number of confirmed #COVID19 cases is  727 595, the total number of deaths is 19 465 and the tota…"
539,2020-11-02 19:54:42,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,813,,True,"  #COVID19 Statistics in SA as at 02 November.  Use the COVID Alert SA app to protect yourself, your loved ones and your c…"
553,2020-11-02 18:44:19,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,814,,True,"  SADTU GS, Mugwena Maluleke to take part in a Phepha uFunde webinar to discuss the possible implications of #COVID19 on p…"
554,2020-11-02 19:54:42,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,814,,True,"  #COVID19 Statistics in SA as at 02 November.  Use the COVID Alert SA app to protect yourself, your loved ones and your c…"
556,2020-11-02 19:10:10,AR,Argentina,187565891.0,06-Sep-2010 (15:49:36.000000),viviana_campos,,False,,2258,,False,Terrible...
564,2020-11-02 19:13:16,AR,Argentina,766403370.0,18-Aug-2012 (21:24:02.000000),LaliBeht,,False,,2923,,True,  Jodeme? 
567,2020-11-02 19:13:16,AR,Argentina,766403370.0,18-Aug-2012 (21:24:02.000000),LaliBeht,,False,,2923,,True,  Jodeme? 
570,2020-11-02 19:13:16,AR,Argentina,766403370.0,18-Aug-2012 (21:24:02.000000),LaliBeht,,False,,2923,,True,  Jodeme? 
578,2020-11-02 19:05:11,AR,Argentina,75309219.0,18-Sep-2009 (15:37:33.000000),fjueguen,,True,,28769,,True,"  Australia registered no new local Covid-19 cases on Saturday for the first time since June 9, marking a major milestone in the cou…"
580,2020-11-02 18:44:19,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,814,,True,"  SADTU GS, Mugwena Maluleke to take part in a Phepha uFunde webinar to discuss the possible implications of #COVID19 on p…"
581,2020-11-02 19:45:03,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,814,,True,"  As of today, the total number of confirmed #COVID19 cases is  727 595, the total number of deaths is 19 465 and the tota…"
582,2020-11-02 19:54:42,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,814,,True,"  #COVID19 Statistics in SA as at 02 November.  Use the COVID Alert SA app to protect yourself, your loved ones and your c…"
587,2020-11-02 18:51:04,AR,Argentina,16417374.0,23-Sep-2008 (09:58:35.000000),KlauFimiani,,False,,7055,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
590,2020-11-02 19:45:03,AR,Argentina,7.163272702946918e+17,02-Apr-2016 (18:11:44.000000),mkhalafoni10,,False,,814,,True,"  As of today, the total number of confirmed #COVID19 cases is  727 595, the total number of deaths is 19 465 and the tota…"
597,2020-11-02 19:03:14,AR,Argentina,132695095.0,13-Apr-2010 (23:16:03.000000),guillekirsch,,False,,264,,True,  Cristina.
617,2020-11-02 19:53:45,AR,Argentina,1.0793353493174968e+18,30-Dec-2018 (11:16:15.000000),Franrppzz,,False,,575,,False,VIVA PERÓN LA CONCHA DE MI MADRE SANTA
618,2020-11-02 20:10:42,AR,Argentina,10163892.0,11-Nov-2007 (22:23:49.000000),PatoDanna,,False,,580,,False,Habemus..
662,2020-11-02 20:00:20,AR,Argentina,244441855.0,29-Jan-2011 (09:30:54.000000),El_Jello,,False,,344,,True,"  Wait a minute. The CDC just said that if you actively have the coronavirus and are in quarantine, you should still go out…"
675,2020-11-02 20:02:05,AR,Argentina,2390840631.0,07-Mar-2014 (11:35:57.000000),tobiasbaziti1,,False,,584,,True,  PASOOOO 
680,2020-11-02 20:02:05,AR,Argentina,2390840631.0,07-Mar-2014 (11:35:57.000000),tobiasbaziti1,,False,,584,,True,  PASOOOO 
700,2020-11-02 20:15:19,AR,Argentina,57195194.0,16-Jul-2009 (01:00:50.000000),GusLeo,,False,,6522,,False,#Coronavirus #Pandemia
706,2020-11-02 20:16:14,AR,Argentina,3193080226.0,22-Apr-2015 (01:33:55.000000),4riian4,,False,,198,,True,  all_the_things_she_said(1).mp3 
780,2020-11-02 22:31:40,AR,Argentina,3060239417.0,24-Feb-2015 (21:10:32.000000),Belita1986,,False,,83,,False,Horror.
864,2020-11-02 23:38:36,AR,Argentina,182828801.0,25-Aug-2010 (14:04:46.000000),PabloNavas92,,False,,642,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
868,2020-11-03 00:05:49,AR,Argentina,1.130337213944914e+18,20-May-2019 (04:59:27.000000),tinublanco,,False,,88,,False,😱
885,2020-11-02 22:48:25,AR,Argentina,611315143.0,18-Jun-2012 (02:22:37.000000),jazuletaj,,False,,978,,False,  vale la pena ver esto.  Trump &amp; the Coronavirus: Last Week Tonight with John Oliver (HBO)  via 
905,2020-11-02 22:48:25,AR,Argentina,611315143.0,18-Jun-2012 (02:22:37.000000),jazuletaj,,False,,978,,False,  vale la pena ver esto.  Trump &amp; the Coronavirus: Last Week Tonight with John Oliver (HBO)  via 
1018,2020-11-02 23:21:20,AR,Argentina,3298668085.0,27-Jul-2015 (20:46:18.000000),ZaccariDz,,False,,3748,,True,  😥😥😥😥
1028,2020-11-03 00:12:48,AR,Argentina,2503025855.0,23-Apr-2014 (01:55:24.000000),SBVivianaJN,,False,,5746,,True,  Mistrust Grows for Russia’s Coronavirus Vaccine – Poll  The problem of rushing a vaccine is pe…
1035,2020-11-03 00:43:30,AR,Argentina,1725975044.0,03-Sep-2013 (16:16:27.000000),franciscoscarfo,,False,,1075,,True,  Urge.
1037,2020-11-03 00:12:48,AR,Argentina,2503025855.0,23-Apr-2014 (01:55:24.000000),SBVivianaJN,,False,,5746,,True,  Mistrust Grows for Russia’s Coronavirus Vaccine – Poll  The problem of rushing a vaccine is pe…
1040,2020-11-03 00:43:30,AR,Argentina,1725975044.0,03-Sep-2013 (16:16:27.000000),franciscoscarfo,,False,,1075,,True,  Urge.
1044,2020-11-03 00:43:30,AR,Argentina,1725975044.0,03-Sep-2013 (16:16:27.000000),franciscoscarfo,,False,,1075,,True,  Urge.
1050,2020-11-03 00:12:48,AR,Argentina,2503025855.0,23-Apr-2014 (01:55:24.000000),SBVivianaJN,,False,,5747,,True,  Mistrust Grows for Russia’s Coronavirus Vaccine – Poll  The problem of rushing a vaccine is pe…
1055,2020-11-03 00:12:48,AR,Argentina,2503025855.0,23-Apr-2014 (01:55:24.000000),SBVivianaJN,,False,,5747,,True,  Mistrust Grows for Russia’s Coronavirus Vaccine – Poll  The problem of rushing a vaccine is pe…
1066,2020-11-02 23:21:20,AR,Argentina,3298668085.0,27-Jul-2015 (20:46:18.000000),ZaccariDz,,False,,3748,,True,  😥😥😥😥
1083,2020-11-02 23:21:20,AR,Argentina,3298668085.0,27-Jul-2015 (20:46:18.000000),ZaccariDz,,False,,3745,,True,  😥😥😥😥
1093,2020-11-02 23:07:50,AR,Argentina,201680476.0,12-Oct-2010 (11:42:03.000000),carocaruso,,False,,19,,False,GRACIAS
1105,2020-11-02 23:21:20,AR,Argentina,3298668085.0,27-Jul-2015 (20:46:18.000000),ZaccariDz,,False,,3745,,True,  😥😥😥😥
1113,2020-11-02 23:21:20,AR,Argentina,3298668085.0,27-Jul-2015 (20:46:18.000000),ZaccariDz,,False,,3748,,True,  😥😥😥😥
1120,2020-11-02 23:34:03,AR,Argentina,179615335.0,17-Aug-2010 (18:36:09.000000),jgpagliere,,False,,306,,True,"  BREAKING NEWS: 6 more have died as B.C. confirms unprecedented 1,120 new cases of #COVID19 over the weekend | CBC News "
1125,2020-11-02 23:21:20,AR,Argentina,3298668085.0,27-Jul-2015 (20:46:18.000000),ZaccariDz,,False,,3745,,True,  😥😥😥😥
1134,2020-11-02 23:21:20,AR,Argentina,3298668085.0,27-Jul-2015 (20:46:18.000000),ZaccariDz,,False,,3745,,True,  😥😥😥😥
1190,2020-11-02 22:54:06,AR,Argentina,2581185216.0,21-Jun-2014 (23:34:48.000000),Espartanocbes,,False,,296,,False,No.....
1403,2020-11-02 23:25:30,AR,Argentina,2329269355.0,05-Feb-2014 (19:40:16.000000),EleaSan5,,False,,682,,True,"  Share of Russians who would decline COVID-19 vaccine grows, pollster says | Article [AMP] | Reuters "
1468,2020-11-03 00:15:15,AR,Argentina,1887138145.0,20-Sep-2013 (16:44:44.000000),jayboli,,False,,40,,False,😳
1473,2020-11-03 00:14:54,AR,Argentina,169577104.0,22-Jul-2010 (17:37:33.000000),Krinter,,False,,1593,,False,IMF / Financing the COVID-19 Response and... - Krinter 
1477,2020-11-03 00:14:54,AR,Argentina,169577104.0,22-Jul-2010 (17:37:33.000000),Krinter,,False,,1593,,False,IMF / Financing the COVID-19 Response and... - Krinter 
