,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2,2020-11-02 15:38:44,MK,North Macedonia,966937808.0,23-Nov-2012 (22:22:34.000000),baljumbaljum,,False,,4269,,True,"  When I tell someone I'm Slavic and they process it in a broader sense of the word, I just hope they'd associate me with…"
7,2020-11-02 18:50:01,MK,North Macedonia,29570969.0,07-Apr-2009 (22:59:51.000000),herminnah,,False,,747,,True,  Slovakia tested over 3.6 million people for coronavirus — almost its entire teen and adult population.  The result? 1.0…
11,2020-11-02 23:02:27,MK,North Macedonia,73684862.0,12-Sep-2009 (17:03:37.000000),D_Kilotona,,False,,377,,True,"  Sweden registered 2,820 new coronavirus cases on Oct. 28  We're beginning to approach the ceiling for what the healthc…"
16,2020-11-02 23:04:22,MK,North Macedonia,8.554491409517568e+17,21-Apr-2017 (15:52:23.000000),besir_zeneli,,False,,217,,True,  Severe COVID-19 - substantial understanding of mechanism of action in less than one year.  Great article summarizing the immune…
17,2020-11-02 23:50:22,MK,North Macedonia,863246959.0,05-Oct-2012 (15:37:14.000000),ArianitReka,,False,,86,,False,Fire Trump!
21,2020-12-10 21:08:04,MK,North Macedonia,1.285061898321326e+18,20-Jul-2020 (04:00:30.000000),c0_william,,False,,233,,True,"  HCQ protocols against #COVID19 are not magical, but useful and safe at this moment."
29,2020-12-11 07:36:16,MK,North Macedonia,20909151.0,15-Feb-2009 (13:21:38.000000),indog,,False,,2072,,False,#mentalhealthmatters #endthestigma #yourfeelingsarevalid #covidillustration #covid19 #illustration #typography #handlettering #SelfCareMatters #anxietyawareness #MentalHealthAdvocate #ItsOkayToNotBeOkay #EndTheStigmaofMentalHealth #mentalhealth #panicattack #meditation #breathe 
32,2020-12-11 10:00:44,MK,North Macedonia,2215653691.0,26-Nov-2013 (12:36:31.000000),Prizma_BIRN,,False,,3022,,True,  #ICYMI | “The most popular theories attribute responsibility to China…”  Belief in #COVID19 conspiracy theories is very…
33,2020-12-11 08:03:35,MK,North Macedonia,319596100.0,18-Jun-2011 (11:50:27.000000),grof_Zarkoff,,False,,2002,,True,  The latest  brief on conspiracy theories in graphs and numbers: accross the Western Balkans 77.1% believe at least 1 of…
34,2020-12-11 12:47:36,MK,North Macedonia,2783128268.0,31-Aug-2014 (23:59:43.000000),MKDmilanM,,False,,461,,True,  Live from  public stakeholder meeting on #COVID19 pandemic    
35,2020-12-11 12:47:48,MK,North Macedonia,7.712915668162355e+17,01-Sep-2016 (10:20:14.000000),hepar_centar,,False,,811,,True,  Live from  public stakeholder meeting on #COVID19 pandemic    
