,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
18,2020-11-02 19:54:36,VN,Viet Nam,40215629.0,15-May-2009 (10:39:23.000000),korax67,,False,,3679,,True,"  LATEST: France reports record 52,518 new coronavirus cases "
19,2020-11-03 00:12:32,VN,Viet Nam,491817985.0,14-Feb-2012 (01:51:20.000000),OwolabiKehindeK,,False,,37,,False,US Decides...
21,2020-11-03 02:28:12,VN,Viet Nam,1.110127139511132e+18,25-Mar-2019 (10:31:50.000000),HLNV01,,False,,52,,True,"  Just a reminder, the US has mishandled COVID-19, and has been unable to enact any meaningful policy to try to contain the v…"
23,2020-11-03 13:19:59,VN,Viet Nam,3681278592.0,25-Sep-2015 (12:24:14.000000),vuongqh,,False,,123,,True,  This year.
24,2020-11-03 12:48:19,VN,Viet Nam,2726177855.0,27-Jul-2014 (10:07:12.000000),ApsaraMcnaught,,False,,459,,True,  Four online sharing sessions on 🇬🇧 education are now available for free!   Tune in to learn more about studying programmes…
25,2020-12-10 21:23:33,VN,Viet Nam,2237793633.0,22-Dec-2013 (09:09:45.000000),dexkool90,,False,,617,,False,Hamilton to take part in Abu Dhabi GP after negative Covid-19 test  
26,2020-12-10 22:50:20,VN,Viet Nam,1.318632812015018e+18,20-Oct-2020 (19:19:10.000000),SimpsterJ,,False,,5,,False,Before the pandemic niggas was out here eating stranger’s asses in da club and bitches was succing dick in parking lots but now they scared of a vaccine. 🥴 #COVID19
29,2020-12-11 02:31:35,VN,Viet Nam,69520099.0,28-Aug-2009 (06:07:03.000000),EuisAkbana,,False,,1024,,True,  Chris Evans pictured swabbing Covid-19 test himself on Don't Look Up movie set 
30,2020-12-11 02:12:59,VN,Viet Nam,863234834.0,05-Oct-2012 (15:31:41.000000),HoaHanoi,,False,,390,,False,this is really sad!
32,2020-12-11 03:55:26,VN,Viet Nam,1542672504.0,24-Jun-2013 (07:10:23.000000),TCHanoiBE,,False,,2025,,True,"  This year's Human Rights Day is unlike any other, as we contend with the greatest challenge since the creation of the  75 ye…"
33,2020-12-11 08:21:35,VN,Viet Nam,9.973533853042156e+17,18-May-2018 (05:49:11.000000),CaptBLWillard,,False,,3637,,True,  Sacramento reporter pushes Big Government tracking system from the one party that controls politics in the State.   We…
36,2020-12-11 12:28:50,VN,Viet Nam,1.3242892661139333e+18,05-Nov-2020 (09:55:47.000000),nhunhongtran20,,False,,0,,False,Illegal border crossing caused the outbreak of Covid-19 in Southeast Asia 
37,2020-12-11 12:05:13,VN,Viet Nam,1542672504.0,24-Jun-2013 (07:10:23.000000),TCHanoiBE,,False,,2025,,True,"  #VietNam on Friday confirmed six new #COVID19 cases, including three Belarusian nationals, taking patient tally to 1,391…"
