,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:22:53,NL,Netherlands,2410529136.0,25-Mar-2014 (08:46:17.000000),medicaldigitals,,False,,22,,True,"  We were there in the fight against polio. And now, we’re honored and ready to combat the #COVID19 pandemic. #WeAreLilly "
3,2020-11-02 16:16:35,NL,Netherlands,36169683.0,28-Apr-2009 (20:17:01.000000),brinkk,,False,,50,,True,    It is a PCR-pandemic. No doubt.   #coronamaatregelen.    
4,2020-11-02 14:59:25,NL,Netherlands,269293865.0,20-Mar-2011 (13:42:15.000000),NicoleRenou,,False,,396,,True,  Coronavirus infections drop for third day running but hospitals still under strain 
5,2020-11-02 16:12:23,NL,Netherlands,386441561.0,07-Oct-2011 (09:08:57.000000),Featurez,,False,,72,,False,Dutch Coronavirus infections fall for third straight day. 
8,2020-11-02 15:23:19,NL,Netherlands,15287886.0,01-Jul-2008 (13:45:40.000000),zeeger,,False,,4840,,False,😳
11,2020-11-02 16:11:39,NL,Netherlands,386441561.0,07-Oct-2011 (09:08:57.000000),Featurez,,False,,72,,False,More than half of the Dutch population expressed privacy concerns relating to the coronavirus app. 
13,2020-11-02 16:38:36,NL,Netherlands,2183511567.0,16-Nov-2013 (18:05:28.000000),MacKiyimba,,False,,125,,False,#COVID19 #COVID #Covid_19 #WearAMask #STAYSAFEUG #STAYSAFE     
14,2020-11-02 16:38:36,NL,Netherlands,2183511567.0,16-Nov-2013 (18:05:28.000000),MacKiyimba,,False,,125,,False,#COVID19 #COVID #Covid_19 #WearAMask #STAYSAFEUG #STAYSAFE     
16,2020-11-02 16:35:14,NL,Netherlands,2183511567.0,16-Nov-2013 (18:05:28.000000),MacKiyimba,,False,,125,,False,#SecurityUg #SecurityAlert #WearAMask #STAYSAFEUG #STAYSAFE     
19,2020-11-02 16:11:39,NL,Netherlands,386441561.0,07-Oct-2011 (09:08:57.000000),Featurez,,False,,72,,False,More than half of the Dutch population expressed privacy concerns relating to the coronavirus app. 
21,2020-11-02 16:35:14,NL,Netherlands,2183511567.0,16-Nov-2013 (18:05:28.000000),MacKiyimba,,False,,125,,False,#SecurityUg #SecurityAlert #WearAMask #STAYSAFEUG #STAYSAFE     
24,2020-11-02 16:11:40,NL,Netherlands,7.683902449704223e+17,24-Aug-2016 (10:11:25.000000),Dutchie46428586,,False,,487,,True,"  This pandemic is created with frauded epidemiological models, denial of working medications and weaponized PCR testing.…"
