,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
25,2020-11-02 16:34:10,LU,Luxembourg,607889471.0,14-Jun-2012 (06:44:13.000000),DelanoMagazine,,False,,3420,,False,🔴The ministry recorded 320 new #covid-19 infections across the grand-duchy 
26,2020-11-02 15:58:03,LU,Luxembourg,2732828812.0,03-Aug-2014 (22:37:34.000000),starck_patrick,,False,,2871,,True,  Slate: John Oliver Used His Last Show Before Election Day to Make Not One but Two Cases Against Trump. 
29,2020-11-02 15:19:15,LU,Luxembourg,9.868678356778353e+17,19-Apr-2018 (07:23:21.000000),LNS_Lux,,False,,523,,False,"#COVID19 tests were offered exceptionnally yesterday, on All Saints' Day, in the  , which met with an extremely high demand. "
30,2020-11-02 16:04:37,LU,Luxembourg,103102545.0,08-Jan-2010 (22:22:41.000000),mfperezsolla,,False,,1106,,True,"  🌳 Forests house a huge amount of #biodiversity, which is a vital factor in safeguarding against diseases like Covid-19…"
36,2020-11-02 16:31:49,LU,Luxembourg,2913042350.0,28-Nov-2014 (19:41:10.000000),kaaleesi_,,False,,583,,True,  Meet my #COVID duty colleague Dr Arup Senapati an ENT surgeon at Silchar medical college Assam . Dancing infront of COV…
43,2020-11-02 15:25:42,LU,Luxembourg,1.0162525169153475e+18,09-Jul-2018 (09:27:35.000000),lk_june,,False,,360,,False,Insight into children's #COVID online experience from #TeliaChildrenOnline  less #bullying but 1 in 10 contacted by unknown adult
48,2020-11-02 15:39:08,LU,Luxembourg,182526711.0,24-Aug-2010 (20:17:52.000000),lusolux76,,False,,581,,False,ALEE!
49,2020-11-02 15:05:32,LU,Luxembourg,91087039.0,19-Nov-2009 (11:38:43.000000),ClausHoumann,,False,,4548,,True,"  Dr. Amy Acton famously led Ohio thru the early pandemic, then resigned after demonstrators w/guns showed up at her home…"
50,2020-11-02 15:09:12,LU,Luxembourg,46404241.0,11-Jun-2009 (14:58:47.000000),codespoti,,False,,3119,,True,  Exclusive: Liverpool Hospital 'overhelmed' and unable to maintain standards of care as medical director accuses 
51,2020-11-02 15:34:27,LU,Luxembourg,46404241.0,11-Jun-2009 (14:58:47.000000),codespoti,,False,,3119,,True,  Eleven Ajax players test positive for Covid 
52,2020-11-02 15:09:12,LU,Luxembourg,46404241.0,11-Jun-2009 (14:58:47.000000),codespoti,,False,,3119,,True,  Exclusive: Liverpool Hospital 'overhelmed' and unable to maintain standards of care as medical director accuses 
53,2020-11-02 15:34:27,LU,Luxembourg,46404241.0,11-Jun-2009 (14:58:47.000000),codespoti,,False,,3119,,True,  Eleven Ajax players test positive for Covid 
57,2020-11-02 15:01:38,LU,Luxembourg,148734294.0,27-May-2010 (13:28:12.000000),LuxFinance,,False,,8781,,False,"#Covid19 has put the #sustainability of our global economy in sharp focus.  More on why #Luxembourg is recognised as an ideal platform to assist companies, governments and investors around the world to meet their #sustainable development targets:  "
58,2020-11-02 15:11:13,LU,Luxembourg,148734294.0,27-May-2010 (13:28:12.000000),LuxFinance,,False,,8781,,False,"#Covid19 has put the #sustainability of our global economy in sharp focus 🌎  More on why #Luxembourg is recognised as a key platform to assist companies, governments and investors around the world to meet their #sustainable development targets.  ➡️  "
59,2020-11-02 15:13:13,LU,Luxembourg,2268718478.0,30-Dec-2013 (11:17:39.000000),DonatoSettanni,,False,,92,,True,"  By their very design, most cities have become symbols of impersonal utility.We can consciously redesign our cities to make…"
61,2020-11-02 15:11:13,LU,Luxembourg,148734294.0,27-May-2010 (13:28:12.000000),LuxFinance,,False,,8781,,False,"#Covid19 has put the #sustainability of our global economy in sharp focus 🌎  More on why #Luxembourg is recognised as a key platform to assist companies, governments and investors around the world to meet their #sustainable development targets.  ➡️  "
71,2020-11-02 15:01:38,LU,Luxembourg,148734294.0,27-May-2010 (13:28:12.000000),LuxFinance,,False,,8781,,False,"#Covid19 has put the #sustainability of our global economy in sharp focus.  More on why #Luxembourg is recognised as an ideal platform to assist companies, governments and investors around the world to meet their #sustainable development targets:  "
74,2020-11-02 17:26:06,LU,Luxembourg,1500504980.0,11-Jun-2013 (06:21:07.000000),MinFinLux,,True,,6201,,True,"  In this new episode of #ShapingFinance,  discusses how finance should be leveraged to create a better worl…"
77,2020-11-02 17:58:22,LU,Luxembourg,315932093.0,12-Jun-2011 (17:40:33.000000),HaruAkuLux,,False,,47,,False,#skull #beauty #BSD
78,2020-11-02 17:48:26,LU,Luxembourg,2808214794.0,13-Sep-2014 (22:24:51.000000),ErmalHitaj,,False,,90,,False,"A bit surprised Djokovic isn't there, tbh."
79,2020-11-02 17:23:40,LU,Luxembourg,388752728.0,11-Oct-2011 (08:53:40.000000),Die4Gesichter,,False,,133,,False, #WearAMask
81,2020-11-02 17:23:18,LU,Luxembourg,1500504980.0,11-Jun-2013 (06:21:07.000000),MinFinLux,,True,,6201,,True,  #Covid19 has put the #sustainability of our global economy in sharp focus.  More on why #Luxembourg is recognised as an ide…
82,2020-11-02 17:02:45,LU,Luxembourg,9.390577280807608e+17,08-Dec-2017 (09:03:04.000000),paul_polfer,,False,,480,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
84,2020-11-02 18:11:13,LU,Luxembourg,1.290705244771496e+18,04-Aug-2020 (17:45:07.000000),ceesjbansema,,False,,185,,True,"  From 🇳🇱 based  🇪🇺funded project also open for 🇦🇲, another step in the fight against #COVID__19 #TeamEurope Deadli…"
93,2020-11-02 17:09:53,LU,Luxembourg,3405569062.0,06-Aug-2015 (11:35:27.000000),Chronicle_LU,,False,,1621,,False,COVID-19 Update: 320 New Infections on Monday 
95,2020-11-02 17:09:53,LU,Luxembourg,45954730.0,09-Jun-2009 (21:49:47.000000),GeoffWThompson,,False,,948,,False,COVID-19 Update: 320 New Infections on Monday 
98,2020-11-02 17:23:18,LU,Luxembourg,1500504980.0,11-Jun-2013 (06:21:07.000000),MinFinLux,,True,,6201,,True,  #Covid19 has put the #sustainability of our global economy in sharp focus.  More on why #Luxembourg is recognised as an ide…
