,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
3,2020-11-02 16:41:05,DO,Dominican Republic,203679104.0,16-Oct-2010 (21:12:26.000000),_SportsRD,,False,,2454,,False,👀
10,2020-11-02 16:41:05,DO,Dominican Republic,203679104.0,16-Oct-2010 (21:12:26.000000),_SportsRD,,False,,2454,,False,👀
40,2020-11-02 14:59:52,DO,Dominican Republic,19562957.0,26-Jan-2009 (22:34:25.000000),RobertoMoralesC,,False,,246,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
87,2020-11-02 17:05:11,DO,Dominican Republic,271223362.0,24-Mar-2011 (02:54:35.000000),carmiegoose,,False,,136,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
92,2020-11-02 19:15:45,DO,Dominican Republic,131303580.0,09-Apr-2010 (22:02:07.000000),pedroemateo,,False,,3954,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
95,2020-11-02 19:40:53,DO,Dominican Republic,1126828518.0,28-Jan-2013 (02:55:39.000000),chateauswiftie,,False,,748,,True,  💬 | “Let me be the one millionth person to remind you that tomorrow is the last day to make your voice heard and your vote co…
101,2020-11-02 18:51:19,DO,Dominican Republic,247987458.0,06-Feb-2011 (00:52:57.000000),dominicanexpert,,False,,2063,,False,"   Is there a bill from Democrats to make mandatory to wear a mask or to stay at home for 2 weeks? The answer is NO. Why? because they know that is unconstitutional. And the press (CNN, ABC, CBS, NBC and FOX) do not talk about it. Let's be realistic. We all cause our death or health"
102,2020-11-02 18:55:49,DO,Dominican Republic,247987458.0,06-Feb-2011 (00:52:57.000000),dominicanexpert,,False,,2063,,False,"   And BTW, I'm saying this with the upmost respect to the families that lost a relative or a friend. But we mark our own fate when it comes to health. If you think about your family and loved ones, you wear a mask and take all the precautions, you don't need Trump to tell you that."
103,2020-11-02 18:51:19,DO,Dominican Republic,247987458.0,06-Feb-2011 (00:52:57.000000),dominicanexpert,,False,,2063,,False,"   Is there a bill from Democrats to make mandatory to wear a mask or to stay at home for 2 weeks? The answer is NO. Why? because they know that is unconstitutional. And the press (CNN, ABC, CBS, NBC and FOX) do not talk about it. Let's be realistic. We all cause our death or health"
104,2020-11-02 18:55:49,DO,Dominican Republic,247987458.0,06-Feb-2011 (00:52:57.000000),dominicanexpert,,False,,2063,,False,"   And BTW, I'm saying this with the upmost respect to the families that lost a relative or a friend. But we mark our own fate when it comes to health. If you think about your family and loved ones, you wear a mask and take all the precautions, you don't need Trump to tell you that."
110,2020-11-02 19:15:45,DO,Dominican Republic,131303580.0,09-Apr-2010 (22:02:07.000000),pedroemateo,,False,,3954,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
112,2020-11-02 18:51:00,DO,Dominican Republic,9.438710971198874e+17,21-Dec-2017 (15:49:40.000000),SeguraEliud,,False,,183,,True,"  “I miss you” by Zabou in Tottenham, London. #StreetArt #Zabou #COVID19 #London "
115,2020-11-02 19:15:45,DO,Dominican Republic,131303580.0,09-Apr-2010 (22:02:07.000000),pedroemateo,,False,,3954,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
119,2020-11-02 19:15:45,DO,Dominican Republic,131303580.0,09-Apr-2010 (22:02:07.000000),pedroemateo,,False,,3954,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
128,2020-11-03 01:13:37,DO,Dominican Republic,23640315.0,10-Mar-2009 (19:41:45.000000),Laudita,,False,,252,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
135,2020-11-02 22:51:15,DO,Dominican Republic,382603891.0,30-Sep-2011 (11:08:55.000000),sanefox11,,False,,8960,,True,  Hello guys! I share with you this new drawing which I hope you like! To take care of yourself and wear a mask!! 😷  #digital…
136,2020-11-02 22:33:28,DO,Dominican Republic,271223362.0,24-Mar-2011 (02:54:35.000000),carmiegoose,,False,,137,,True,"  If you're voting tomorrow, make sure you wear a mask, bring sanitizer, your own pen, and stay six feet apart from other peo…"
159,2020-11-03 01:38:49,DO,Dominican Republic,365590618.0,31-Aug-2011 (17:57:45.000000),juan_castllo,,False,,10,,True,  A #COVID19 vaccine candidate developed by the Institute of Microbiology under the Chinese Academy of Sciences has shown t…
204,2020-11-03 12:01:13,DO,Dominican Republic,105468806.0,16-Jan-2010 (12:43:59.000000),RafaelAcostaRD,,False,,1358,,True,"  Under Pres. Trump we achieved record economic success, and with #FourMoreYears, the best is yet to come!   🇺🇸11.4 MILLION jobs add…"
220,2020-12-10 22:42:15,DO,Dominican Republic,1138596174.0,01-Feb-2013 (03:33:53.000000),Twittterina,,False,,815,,True,  Coronavirus Australia: UQ COVID vaccine deal cancelled after HIV false positive results in participants… 
228,2020-12-10 21:26:12,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Kansas City Distrusts COVID-19 Vaxx?!?!  
230,2020-12-10 21:04:46,DO,Dominican Republic,40268192.0,15-May-2009 (15:54:30.000000),felipefermin,,False,,735,,True,"  I am not anti-vax. Me and my children are immunized. However, each vaccine needs to be judged on its merits. I hope the Covid-1…"
236,2020-12-10 21:26:12,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Kansas City Distrusts COVID-19 Vaxx?!?!  
239,2020-12-11 00:40:26,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,"Post Edited: Coronavirus today: The death toll mounts and active cases near 20,000 "
242,2020-12-11 00:40:26,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,"Post Edited: Coronavirus today: The death toll mounts and active cases near 20,000 "
245,2020-12-11 00:39:26,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Pfizer COVID-19 vaccine recommended for approval by US government advisory panel 
247,2020-12-11 00:02:56,DO,Dominican Republic,63507022.0,06-Aug-2009 (18:56:30.000000),EstherAMatos,,False,,1715,,False,Wow
249,2020-12-10 23:41:34,DO,Dominican Republic,181376379.0,22-Aug-2010 (01:36:31.000000),IReallyDontGAF,,False,,836,,True,  Have y’all been COVID-19 free this year ?
250,2020-12-10 23:23:08,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Packers rookie A.J. Dillon returns from COVID-19 reserve list  
254,2020-12-10 23:23:15,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,"Post Edited: Steelers LB Vince Williams is out for Buffalo Bills game, placed on COVID-19 list  "
257,2020-12-11 00:40:26,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,"Post Edited: Coronavirus today: The death toll mounts and active cases near 20,000 "
259,2020-12-10 23:23:25,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Steelers place Vince Williams on COVID-19 reserve list  
261,2020-12-10 23:23:08,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Packers rookie A.J. Dillon returns from COVID-19 reserve list  
263,2020-12-10 23:23:08,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Packers rookie A.J. Dillon returns from COVID-19 reserve list  
264,2020-12-11 00:40:26,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,"Post Edited: Coronavirus today: The death toll mounts and active cases near 20,000 "
265,2020-12-11 00:39:26,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Pfizer COVID-19 vaccine recommended for approval by US government advisory panel 
267,2020-12-10 23:23:15,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,"Post Edited: Steelers LB Vince Williams is out for Buffalo Bills game, placed on COVID-19 list  "
268,2020-12-10 23:23:25,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Steelers place Vince Williams on COVID-19 reserve list  
271,2020-12-10 23:23:25,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Steelers place Vince Williams on COVID-19 reserve list  
272,2020-12-10 23:23:15,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,"Post Edited: Steelers LB Vince Williams is out for Buffalo Bills game, placed on COVID-19 list  "
273,2020-12-10 23:23:25,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Steelers place Vince Williams on COVID-19 reserve list  
274,2020-12-11 00:39:26,DO,Dominican Republic,1.12049402665703e+18,23-Apr-2019 (01:06:08.000000),4StateNews,,False,,16,,False,Post Edited: Pfizer COVID-19 vaccine recommended for approval by US government advisory panel 
