,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:39:06,BY,Belarus,17880192.0,04-Dec-2008 (21:38:31.000000),jfarren,,False,,861,,False,LIARS
21,2020-11-03 04:18:09,BY,Belarus,1.2442307810330007e+18,29-Mar-2020 (11:52:17.000000),TheOneHotNews,,False,,114,,False, #news #coronavirus #rear #outside #scott #owner #shunting #car #parked #nearly #motel #two #tow #retrieve #court #ashleigh #metre #stop
22,2020-11-03 12:07:20,BY,Belarus,1.2786531743714875e+18,02-Jul-2020 (11:34:19.000000),VoicesBelarus,,False,,7225,,False,"Hail to the brave regime that always has resources and time to demolish this audacious attempt to disturb the stability in our flourishing country. The war against balloons is on! #COVID19 measures, apparently, can wait... #StandWithBelarus #Belarus source: "
30,2020-12-11 01:51:14,BY,Belarus,1.3135712316150702e+18,06-Oct-2020 (20:06:43.000000),AslinHeere,,False,,20,,True,  Foreign Ministers of the Commonwealth of Independent States (CIS) have approved a draft concept on further developing cooperatio…
31,2020-12-11 05:59:16,BY,Belarus,1.3135712316150702e+18,06-Oct-2020 (20:06:43.000000),AslinHeere,,False,,22,,True,  😥 but proud of the UQ-CSL team. Shows: 1) the quality of research in Australia - marked by integrity and guided by the data;…
34,2020-12-11 05:55:37,BY,Belarus,1365312030.0,19-Apr-2013 (20:27:44.000000),_FilippovaTanya,,False,,2,,True,"  Dogs can be trained to detect Covid-19 by sniffing human sweat, according to a new proof-of-concept study "
35,2020-12-11 07:03:20,BY,Belarus,1.3135712316150702e+18,06-Oct-2020 (20:06:43.000000),AslinHeere,,False,,22,,False,Dr. Charlotte Kent told congressional investigators she believes the deletion order came from  Director Robert Redfield  via  #100DaysOfCode #WomenWhoCode  Pfizer's COVID-19
36,2020-12-11 06:54:11,BY,Belarus,1.3135712316150702e+18,06-Oct-2020 (20:06:43.000000),AslinHeere,,False,,22,,False,"As #Coronavirus panic grips the world, concern over govt overreach is growing given the involvement of US intel agencies in classified meetings for planning the U.S. response.  #100DaysOfCode #WomenWhoCode #ArtificialIntelligence   "
37,2020-12-11 07:03:20,BY,Belarus,1.3135712316150702e+18,06-Oct-2020 (20:06:43.000000),AslinHeere,,False,,22,,False,Dr. Charlotte Kent told congressional investigators she believes the deletion order came from  Director Robert Redfield  via  #100DaysOfCode #WomenWhoCode  Pfizer's COVID-19
38,2020-12-11 06:54:11,BY,Belarus,1.3135712316150702e+18,06-Oct-2020 (20:06:43.000000),AslinHeere,,False,,22,,False,"As #Coronavirus panic grips the world, concern over govt overreach is growing given the involvement of US intel agencies in classified meetings for planning the U.S. response.  #100DaysOfCode #WomenWhoCode #ArtificialIntelligence   "
41,2020-12-11 12:03:27,BY,Belarus,1.3366146038585797e+18,09-Dec-2020 (10:12:16.000000),GalleryDidi,,False,,1,,False,"Almost 2 weeks left till #Christmas2020  Enjoy 20% #discount on all #christmascards in my Etsy Shop! Pay once, print any quantity you need! 3 sets are available, #COVID19 set is my favourite &lt;3 Link in bio! #christmasdecorations #etsy #etsyfinds #gifts"
42,2020-12-11 12:18:13,BY,Belarus,463009568.0,13-Jan-2012 (16:30:16.000000),msenka,,False,,65,,False,Filmmaker Kim Ki-duk dies aged 60 following complications due to Covid-19 😱 
