,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
9,2020-11-02 16:27:45,JO,Jordan,270497479.0,22-Mar-2011 (18:40:57.000000),ummfeisal,,False,,895,,False,Jordanians are calling for a boycott of the  parliamentary elections as Covid-19 cases rose to unprecedented levels. Today 5877 new cases were recorded.
11,2020-11-02 16:27:45,JO,Jordan,270497479.0,22-Mar-2011 (18:40:57.000000),ummfeisal,,False,,895,,False,Jordanians are calling for a boycott of the  parliamentary elections as Covid-19 cases rose to unprecedented levels. Today 5877 new cases were recorded.
12,2020-11-02 15:51:23,JO,Jordan,435235122.0,12-Dec-2011 (20:42:51.000000),Mohammadsamee7,,False,,369,,False,A7a
18,2020-11-02 16:20:20,JO,Jordan,270497479.0,22-Mar-2011 (18:40:57.000000),ummfeisal,,False,,895,,False,"Jordan recorded the highest number of Covid-19 cases in one day while the government insists on holding parliamentary elections next week, regardless on the mounting health concerns."
19,2020-11-02 16:20:20,JO,Jordan,270497479.0,22-Mar-2011 (18:40:57.000000),ummfeisal,,False,,895,,False,"Jordan recorded the highest number of Covid-19 cases in one day while the government insists on holding parliamentary elections next week, regardless on the mounting health concerns."
20,2020-11-02 17:35:20,JO,Jordan,1.050904488201134e+18,13-Oct-2018 (00:22:09.000000),Osama_Rawashdh,,False,,99,,True,  In a strange irony the government of #Jordan is relentlessly insisting on holding parliamentary elections while the public are…
22,2020-11-02 17:15:49,JO,Jordan,1.2541906083081462e+18,25-Apr-2020 (23:28:47.000000),Ruba9345,,False,,136,,False,So the scary part is that now I know people who have COVID-19 and this isn’t a joke anymore. :(
24,2020-11-02 18:59:30,JO,Jordan,100193598.0,29-Dec-2009 (10:31:42.000000),JulietteTouma,,True,,5875,,True,  Thanks to the contributions of donors such as  we are able to provide basic health care to Palestine refugees in Syr…
27,2020-11-02 23:16:57,JO,Jordan,1.2942766013965804e+18,14-Aug-2020 (14:16:17.000000),KhNaf1950,,False,,48,,True,  Donald Trump’s COVID-19 response has been the greatest failure of presidential leadership in our nation’s history.
29,2020-11-03 11:42:51,JO,Jordan,2888945763.0,23-Nov-2014 (09:25:16.000000),AhmadAbuAlruz,,False,,267,,True,  Provide aid to all affected sectors and groups before thinking of full lockdown. It’s not as easy like that. We have poor re…
30,2020-11-03 13:14:10,JO,Jordan,1.028612895498793e+18,12-Aug-2018 (12:03:19.000000),alheiwidi,,False,,25,,True,  Check out this new  video featuring our colleague  demonstrating interactive #qualitative research tools in…
31,2020-11-03 13:30:12,JO,Jordan,100193598.0,29-Dec-2009 (10:31:42.000000),JulietteTouma,,True,,5874,,True,"  Face masks are an effective measure in protecting ourselves from #COVID19. Just as important as wearing them, we need to di…"
32,2020-11-03 13:21:09,JO,Jordan,86735496.0,01-Nov-2009 (14:54:21.000000),4amramr,,False,,8550,,True,  No words needed...  #coronavirus 
40,2020-12-11 06:58:28,JO,Jordan,1.3333955706737254e+18,30-Nov-2020 (13:01:01.000000),MUHAMMA26797577,,False,,21,,True,  An 83-year-old tested positive for Covid-19 on a cruise ship operated by Royal Caribbean after everyone had to test negative befor…
41,2020-12-11 06:40:02,JO,Jordan,16284983.0,14-Sep-2008 (17:29:36.000000),RRoushas,,False,,579,,True,  Check out our NEW COVID-19 Data Futures Platform which provides multidimensional actionable insights to support #data…
46,2020-12-11 12:32:51,JO,Jordan,7.703850636536095e+17,29-Aug-2016 (22:18:07.000000),hananibrahimsai,,False,,827,,True,"  “In July, the Israeli Supreme Court ruled that Palestinian prisoners have no right to social distancing.”  130+ Palestinia…"
48,2020-12-11 12:26:37,JO,Jordan,174512330.0,04-Aug-2010 (03:08:13.000000),Khader_jo,,False,,574,,False, Ergotherapy = Occupational therapy. OTs have been working/researching in mental health for decades. I have conducted several studies on #COVID19 related mental stress and occupational imbalance. One of them got published and many are being reviewed. 
