,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
12,2020-11-02 15:15:12,EC,Ecuador,268814395.0,19-Mar-2011 (14:34:03.000000),BerilioVilla,,False,,1060,,False,Wth!
83,2020-11-02 16:49:46,EC,Ecuador,307033432.0,28-May-2011 (22:13:22.000000),AntoPumpkin,,False,,294,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
91,2020-11-02 18:24:32,EC,Ecuador,215859543.0,15-Nov-2010 (03:19:52.000000),JenBohorquez,,False,,209,,False,🙏
92,2020-11-02 18:30:09,EC,Ecuador,2328895178.0,05-Feb-2014 (14:45:35.000000),christian_16ec,,False,,1274,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
101,2020-11-02 19:34:01,EC,Ecuador,112080819.0,07-Feb-2010 (06:01:04.000000),JuanPrado_26,,False,,339,,True,"  Coronavirus induces strong and long-lasting cellular immunity after infection, new research shows, suggesting people ar…"
102,2020-11-02 19:31:29,EC,Ecuador,456891391.0,06-Jan-2012 (19:52:06.000000),daverodb,,False,,812,,True,"   8 months into #COVID - I am still looking forward to a #ContactTracing app paper from data anywhere in the world,…"
111,2020-11-02 19:08:13,EC,Ecuador,197108561.0,30-Sep-2010 (17:33:26.000000),mendezmariela,,False,,605,,False,OECD/INFE webinar on financial resilience and financial literacy during the Covid-19 crisis 
150,2020-11-02 18:45:11,EC,Ecuador,100782638.0,31-Dec-2009 (15:00:01.000000),juanlmera,,False,,2391,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
156,2020-11-02 18:53:25,EC,Ecuador,202436229.0,14-Oct-2010 (01:25:52.000000),gatocessar,,False,,1696,,True,"  #Syria - Crammed into camps, displaced Syrians fear spread of coronavirus. #AFP  📸 Ahmad al-Atrash  ht…"
158,2020-11-02 19:10:28,EC,Ecuador,197108561.0,30-Sep-2010 (17:33:26.000000),mendezmariela,,False,,605,,False,OECD/INFE Webinar on financial resilience and financial literacy: challenges and lessons beyond the COVID-19 crisis 
159,2020-11-02 19:08:13,EC,Ecuador,197108561.0,30-Sep-2010 (17:33:26.000000),mendezmariela,,False,,605,,False,OECD/INFE webinar on financial resilience and financial literacy during the Covid-19 crisis 
160,2020-11-02 19:10:28,EC,Ecuador,197108561.0,30-Sep-2010 (17:33:26.000000),mendezmariela,,False,,605,,False,OECD/INFE Webinar on financial resilience and financial literacy: challenges and lessons beyond the COVID-19 crisis 
