,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:36:00,AT,Austria,18338051.0,23-Dec-2008 (17:52:08.000000),JSCarroll,,False,,8321,,True,"  since this picture was taken in 2109, it should scare all Americans that someone that can be taken in so easily was runnin…"
8,2020-11-02 15:57:56,AT,Austria,252141965.0,14-Feb-2011 (15:43:29.000000),zuschoen,,False,,2049,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
9,2020-11-02 15:18:31,AT,Austria,89817704.0,13-Nov-2009 (23:11:21.000000),WolfgangFeist,,False,,6360,,False,"Would like to see this kind of responsibility all around the world! Yes, we can!"
22,2020-11-02 16:33:28,AT,Austria,2834374103.0,16-Oct-2014 (17:25:42.000000),NarineNanaros,,False,,48,,True,  ''Turkish President Recep Tayyip Erdoğan   poses more danger to the world than the coronavirus pandemic. Dictatorshi…
40,2020-11-02 16:40:49,AT,Austria,1690809150.0,22-Aug-2013 (11:49:40.000000),DerHofnarr2,,False,,478,,False,😬 👀👀
50,2020-11-02 15:49:38,AT,Austria,401684906.0,30-Oct-2011 (22:48:52.000000),AndihewoH,,False,,3996,,True,"  During POTUS late night rally last night,and his 5th of the day, POTUS was criticizing the fake news for their lack of cov…"
55,2020-11-02 17:47:21,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1166,,False,"#Mortality update (2/2)  #Austria No #COVID19-related excess mortality between week 16 and 42.  #provinces No recent COVID-19-related excess mortality, although slightly higher than expected mortality in Salzburg (week 35) and Styria (week 39).  Monitor ➡️  "
56,2020-11-02 17:47:20,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1166,,False,"#Mortality monitor update for #Vienna, #Austria and provinces by #StatisticsVienna, now including data for week 42 (until 18 Oct):  #Vienna (1/2) No #COVID-19-related excess mortality registered since the outbreak  Vienna Mortality Monitor and #OpenData ▶️  "
58,2020-11-02 17:47:20,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1170,,False,"#Mortality monitor update for #Vienna, #Austria and provinces by #StatisticsVienna, now including data for week 42 (until 18 Oct):  #Vienna (1/2) No #COVID-19-related excess mortality registered since the outbreak  Vienna Mortality Monitor and #OpenData ▶️  "
64,2020-11-02 17:20:40,AT,Austria,222983558.0,05-Dec-2010 (01:34:03.000000),dornerk,,False,,2580,,False, Really troubling .. 
67,2020-11-02 17:20:40,AT,Austria,222983558.0,05-Dec-2010 (01:34:03.000000),dornerk,,False,,2580,,False, Really troubling .. 
75,2020-11-02 17:05:04,AT,Austria,2780470032.0,30-Aug-2014 (12:30:33.000000),Lbarretogomez,,False,,137,,True,"  The carbon price in the ETS market recovered fairly quickly after the initial COVID-19 effects, but dropped back below €…"
77,2020-11-02 17:47:21,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1170,,False,"#Mortality update (2/2)  #Austria No #COVID19-related excess mortality between week 16 and 42.  #provinces No recent COVID-19-related excess mortality, although slightly higher than expected mortality in Salzburg (week 35) and Styria (week 39).  Monitor ➡️  "
83,2020-11-02 17:47:21,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1170,,False,"#Mortality update (2/2)  #Austria No #COVID19-related excess mortality between week 16 and 42.  #provinces No recent COVID-19-related excess mortality, although slightly higher than expected mortality in Salzburg (week 35) and Styria (week 39).  Monitor ➡️  "
84,2020-11-02 17:47:20,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1170,,False,"#Mortality monitor update for #Vienna, #Austria and provinces by #StatisticsVienna, now including data for week 42 (until 18 Oct):  #Vienna (1/2) No #COVID-19-related excess mortality registered since the outbreak  Vienna Mortality Monitor and #OpenData ▶️  "
88,2020-11-02 17:47:21,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1170,,False,"#Mortality update (2/2)  #Austria No #COVID19-related excess mortality between week 16 and 42.  #provinces No recent COVID-19-related excess mortality, although slightly higher than expected mortality in Salzburg (week 35) and Styria (week 39).  Monitor ➡️  "
89,2020-11-02 17:47:20,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1170,,False,"#Mortality monitor update for #Vienna, #Austria and provinces by #StatisticsVienna, now including data for week 42 (until 18 Oct):  #Vienna (1/2) No #COVID-19-related excess mortality registered since the outbreak  Vienna Mortality Monitor and #OpenData ▶️  "
91,2020-11-02 17:15:54,AT,Austria,15244096.0,26-Jun-2008 (13:59:10.000000),benderbot,,False,,475,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
92,2020-11-02 17:47:20,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1166,,False,"#Mortality monitor update for #Vienna, #Austria and provinces by #StatisticsVienna, now including data for week 42 (until 18 Oct):  #Vienna (1/2) No #COVID-19-related excess mortality registered since the outbreak  Vienna Mortality Monitor and #OpenData ▶️  "
112,2020-11-02 17:56:57,AT,Austria,613322688.0,20-Jun-2012 (08:03:59.000000),MiriamPrantl,,False,,334,,True,  Australia reported its first day of no new locally transmitted coronavirus cases in nearly five months. 
113,2020-11-02 17:47:21,AT,Austria,597180455.0,02-Jun-2012 (07:24:03.000000),metropop_eu,,False,,1166,,False,"#Mortality update (2/2)  #Austria No #COVID19-related excess mortality between week 16 and 42.  #provinces No recent COVID-19-related excess mortality, although slightly higher than expected mortality in Salzburg (week 35) and Styria (week 39).  Monitor ➡️  "
115,2020-11-02 17:10:50,AT,Austria,89817704.0,13-Nov-2009 (23:11:21.000000),WolfgangFeist,,False,,6360,,False,"1) If somebody is in another dwelling than his own: wear a mask 2) Make visits, if necessary at all, short ... less than 1 h 3) ventilate (fully open windows) before and after a visit  ( I hope I got all this right  ... I agree with all of these recommendations )"
