,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
1,2020-11-02 15:22:11,PR,Puerto Rico,1.1407135290304472e+18,17-Jun-2019 (20:11:13.000000),MikaDouglas2,,False,,190,,True,"  At China International Import Expo 2020, infection risk management is a priority due to #COVID19.   #VeChain &amp; DNV GL…"
3,2020-11-02 15:30:20,PR,Puerto Rico,1.2408373996782019e+18,20-Mar-2020 (03:07:56.000000),_killa_kayyyy,,False,,10,,False,#Election2020 who should I vote for ? Does my vote really count ? Isn’t this system rigged ? Will #COVID19 disappear after #ElectionDay2020 ?
7,2020-11-02 16:29:17,PR,Puerto Rico,9.247134802335949e+17,29-Oct-2017 (19:04:08.000000),LorenaNicola28,,False,,200,,True,"  On 11/6, 3:30-4:15 ET, #NeillEpperson will present on the Impact of #COVID19 on Mental Health and Wellbeing of #WomenInSTEM.…"
8,2020-11-02 15:45:37,PR,Puerto Rico,153718992.0,09-Jun-2010 (08:09:13.000000),erjusinoa,,False,,1248,,False,👇🏽👇🏽👇🏽
12,2020-11-02 15:57:04,PR,Puerto Rico,288474562.0,26-Apr-2011 (22:37:10.000000),ananotannadiaz,,False,,493,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
40,2020-11-02 15:33:09,PR,Puerto Rico,147342936.0,23-May-2010 (22:07:54.000000),MinxSoiree,,False,,132,,True,"  If Republicans had worked at suppressing COVID-19 as hard as they've worked at suppressing votes,  thousands of Americ…"
43,2020-11-02 14:59:10,PR,Puerto Rico,23422289.0,09-Mar-2009 (10:44:37.000000),lacted,,False,,8226,,True,  How long will lockdown last? 
45,2020-11-02 14:59:10,PR,Puerto Rico,23422289.0,09-Mar-2009 (10:44:37.000000),lacted,,False,,8225,,True,  How long will lockdown last? 
53,2020-11-02 14:59:10,PR,Puerto Rico,23422289.0,09-Mar-2009 (10:44:37.000000),lacted,,False,,8225,,True,  How long will lockdown last? 
55,2020-11-02 16:04:43,PR,Puerto Rico,267649430.0,17-Mar-2011 (09:08:27.000000),MissEarth,,False,,19552,,False,"COVID-19 has drastically changed a lot of things within our society, however I am glad that my community was able to come together to keep this tradition alive for the next generation in COVID friendly manner.  "
