,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 14:58:41,NP,Nepal,318946062.0,17-Jun-2011 (09:34:05.000000),AbAnil11,,False,,3808,,True,  The Himalayan country’s economy has taken a blow from a lack of climbers and a plunge in remittances as infections spread. ht…
1,2020-11-02 15:17:32,NP,Nepal,3658278014.0,23-Sep-2015 (09:47:32.000000),YagarajB,,False,,61,,True,    in December 2014. Talks about preparing for a pandemic. We need more world leaders with vision like him. #C…
2,2020-11-02 15:42:42,NP,Nepal,2452963796.0,19-Apr-2014 (11:11:49.000000),recordnepal,,False,,6576,,False,The economic meltdown caused by Covid-19 has left many of Kathmandu’s landlords without tenants  
3,2020-11-02 18:48:42,NP,Nepal,75835353.0,20-Sep-2009 (17:42:05.000000),chandra729,,False,,1294,,True,"  The question of the coronavirus’s origin remains a critical mystery that, if solved, could help prevent another pandemic and h…"
4,2020-11-03 00:58:23,NP,Nepal,270228792.0,22-Mar-2011 (07:02:48.000000),GhimireNarhari,,False,,1468,,False,“Boost the test” is only alternative!
5,2020-11-03 03:04:08,NP,Nepal,3348257833.0,26-Aug-2015 (12:13:02.000000),binodjourno,,False,,1429,,True,"  Covid-19 may be the excuse for not holding the winter session anytime soon, but analysts say the issue is on the back bu…"
6,2020-11-03 03:00:01,NP,Nepal,625760052.0,03-Jul-2012 (16:21:08.000000),kathmandupost,,True,,492165,,False,"Covid-19 may be the excuse for not holding the winter session anytime soon, but analysts say the issue is on the back burner now given the ongoing conflict in the Nepal Communist Party.   — by "
8,2020-11-03 01:55:43,NP,Nepal,2778253021.0,29-Aug-2014 (10:28:57.000000),kSinghAditya,,False,,94,,True,  What admirable resolve to face adversity &amp; fulfil her aspirations! My salutations to the brave &amp; determined Gopika Gopan…
9,2020-11-03 02:36:51,NP,Nepal,273773205.0,29-Mar-2011 (04:01:49.000000),NaveshChitrakar,,False,,918,,True,  Devotees wearing personal protective equipment carry a chariot of Pachali Bhairab amid the spread of coronavirus in Ka…
10,2020-11-03 02:29:17,NP,Nepal,2417805091.0,29-Mar-2014 (18:13:28.000000),rockcchya,,False,,8257,,True,  Coronavirus survivors who are not public health/medical experts should stop acting like one. Sharing your experience t…
11,2020-11-03 04:05:25,NP,Nepal,1036406701.0,26-Dec-2012 (05:38:45.000000),sarojgauutam,,False,,827,,True,  Our administration literally left this White House a playbook that would have shown them how to respond before COVID-19 re…
12,2020-11-03 12:21:30,NP,Nepal,3832931652.0,09-Oct-2015 (05:19:13.000000),OnlineKhabar_En,,False,,22806,,False,"Nepal Covid-19 tally: Death toll crosses 1,000-mark with 37,000+ active cases   #Covid19Nepal #NepalCovid19Update #Covid19Update"
13,2020-11-03 13:09:59,NP,Nepal,103309946.0,09-Jan-2010 (16:31:15.000000),sigdelsantosh,,False,,3576,,False,Patan Durbar Square #Nepal .. an evening amidst COVID19 
14,2020-11-03 13:22:01,NP,Nepal,3832931652.0,09-Oct-2015 (05:19:13.000000),OnlineKhabar_En,,False,,22806,,False,Forsaken Heroes #Nepal #Covid19 #Covid19Nepal #photojournalism #photojournalist   
15,2020-11-03 13:20:57,NP,Nepal,893305008.0,20-Oct-2012 (14:03:35.000000),devenuprety,,False,,1461,,True,"  via  in infection cases in proportion to the population Nepal, the worst case in South Asia and wider region?  "
16,2020-11-03 13:22:01,NP,Nepal,3832931652.0,09-Oct-2015 (05:19:13.000000),OnlineKhabar_En,,False,,22805,,False,Forsaken Heroes #Nepal #Covid19 #Covid19Nepal #photojournalism #photojournalist   
17,2020-11-03 12:21:30,NP,Nepal,3832931652.0,09-Oct-2015 (05:19:13.000000),OnlineKhabar_En,,False,,22805,,False,"Nepal Covid-19 tally: Death toll crosses 1,000-mark with 37,000+ active cases   #Covid19Nepal #NepalCovid19Update #Covid19Update"
18,2020-11-03 12:10:17,NP,Nepal,625760052.0,03-Jul-2012 (16:21:08.000000),kathmandupost,,True,,492213,,False,"Nepal’s Covid-19 death toll surges past 1,000 with 20 more fatalities in the past 24 hours  The national infection tally has reached 179,614 with 3,114 new confirmed cases, according to the Health Ministry.  "
20,2020-11-03 13:40:00,NP,Nepal,74679662.0,16-Sep-2009 (07:51:47.000000),NepaliTimes,,True,,372370,,False,"The Covid-19 Crisis Management Center (CCMC), along with NepalTelecom and  tracked mobile #geolocation and developed a heat map of #Nepal’s Covid-19 hotspots.  Find out if your district falls under high risk area in this report by  "
21,2020-11-03 13:03:58,NP,Nepal,9.245027201106656e+17,29-Oct-2017 (05:06:39.000000),Nepalkeshu1,,False,,69,,False,Scientists develop a 'nanoparticle' COVID-19 vaccine that could trigger a 10-times stronger immune response than the reaction seen in survivors and protect against future mutated strains.
22,2020-12-11 01:51:57,NP,Nepal,1.331223023303594e+18,24-Nov-2020 (13:08:29.000000),MahaSangJagriti,,False,,29,,False,#SexWorkSouthAsia #HumanRights4Marginalised  #NoMoreMissingRights      
23,2020-12-11 01:24:52,NP,Nepal,29948804.0,09-Apr-2009 (08:41:37.000000),bhogendra,,False,,395,,True,"  Just published on Nature  😃 Our #COVIRA tool provides regional risk of #COVID19 for #Nepal, but the framewo…"
24,2020-12-11 01:14:26,NP,Nepal,1.303141143283024e+18,08-Sep-2020 (01:20:48.000000),GanessPaudel,,False,,1098,,True,  Tourism is dead. Remittances dried up. Hospitals are filling up. Wealthy and the politically connected are monopolizing ho…
25,2020-12-11 05:37:48,NP,Nepal,3832931652.0,09-Oct-2015 (05:19:13.000000),OnlineKhabar_En,,False,,23101,,False,"In the yesteryears, the phone market in Nepal would lose its excitement after Dashain and Tihar festivals. However, the demand for phones is static this year. #Nepal #Smartphones #Covid19 "
26,2020-12-11 03:48:21,NP,Nepal,583489595.0,18-May-2012 (05:22:24.000000),INSEConline,,False,,803,,False,Update of December 10 Regarding COVID-19 Infection – Inseconline 
27,2020-12-11 04:19:25,NP,Nepal,1.2474401386924892e+18,07-Apr-2020 (08:24:54.000000),itssme_babi,,False,,276,,True,  . Meer Foundation has provided 500 Remdesivir injections to help those affected by the novel coronavirus  
