,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
1,2020-11-02 15:59:37,VA,Holy See (Vatican City State),176957287.0,10-Aug-2010 (22:05:09.000000),azd21,,False,,1485,,True,  In a new video  talks with  about the Vatican COVID-19 Commission's response to the #COVID19 crisis.…
10,2020-11-02 18:55:54,VA,Holy See (Vatican City State),1.0050990460029788e+18,08-Jun-2018 (14:47:41.000000),LeotheGreat19,,False,,1064,,False,  You had best prepare 
15,2020-11-02 18:55:54,VA,Holy See (Vatican City State),1.0050990460029788e+18,08-Jun-2018 (14:47:41.000000),LeotheGreat19,,False,,1064,,False,  You had best prepare 
21,2020-11-02 18:55:54,VA,Holy See (Vatican City State),1.0050990460029788e+18,08-Jun-2018 (14:47:41.000000),LeotheGreat19,,False,,1064,,False,  You had best prepare 
23,2020-11-02 19:06:26,VA,Holy See (Vatican City State),1.2120967562776617e+18,31-Dec-2019 (19:42:49.000000),BassettoDi,,False,,1280,,True,"  #PHILADELPHIA'S #CITYTAVERN CLOSES PERMANENTLY. Established in 1773, City Tavern was where the nation's #FoundingFathers dine…"
24,2020-11-02 19:16:15,VA,Holy See (Vatican City State),1.321084508951761e+18,27-Oct-2020 (13:41:22.000000),PopeFrancis604,,False,,11,,False,"Today we pray for all the #FaithfulDeparted and especially for the victims of #Coronavirus: for those who have died alone, without the caress of their loved ones; and for those who have given their lives serving the sick."
33,2020-11-03 13:34:53,VA,Holy See (Vatican City State),1.2120967562776617e+18,31-Dec-2019 (19:42:49.000000),BassettoDi,,False,,1285,,True,"  Morning. A reminder that positive tests (CASES, per  for #Covid have now completely decoupled from deaths. These cha…"
34,2020-11-03 11:43:43,VA,Holy See (Vatican City State),38510509.0,07-May-2009 (20:32:23.000000),Petermozley,,False,,590,,True,  Kick them out.
36,2020-12-10 21:25:02,VA,Holy See (Vatican City State),1.0077496318188216e+18,15-Jun-2018 (22:20:10.000000),fesshole,,False,,97130,,False,Hope COVID-19 continues into summer 2021 so I don't have to go to a wedding. Don't want to buy a gift or socialise with any of the tossers.
38,2020-12-11 03:05:02,VA,Holy See (Vatican City State),121482708.0,09-Mar-2010 (16:52:49.000000),VaticanNews,,True,,335811,,False,The Holy See calls for international cooperation and multilateral efforts to fully respect fundamental human rights and guarantee accessibility to the Covid-19 vaccine for all. 
40,2020-12-11 07:17:28,VA,Holy See (Vatican City State),3159218324.0,16-Apr-2015 (08:15:57.000000),HolySee_FAO,,False,,1423,,True,  The Holy See calls for international cooperation and multilateral efforts to fully respect fundamental human rights and gu…
44,2020-12-11 09:36:45,VA,Holy See (Vatican City State),1261876976.0,12-Mar-2013 (12:34:30.000000),MichelleCaritas,,False,,2071,,False,"1 out of 7 people in Austria are affected by poverty. The effects of the #COVID19 pandemic have impoverished people who weren't poor before, says   Caritas is there to help."
47,2020-12-11 07:17:28,VA,Holy See (Vatican City State),3159218324.0,16-Apr-2015 (08:15:57.000000),HolySee_FAO,,False,,1423,,True,  The Holy See calls for international cooperation and multilateral efforts to fully respect fundamental human rights and gu…
49,2020-12-11 09:21:09,VA,Holy See (Vatican City State),947388787.0,14-Nov-2012 (09:08:48.000000),USinHolySee,,True,,11152,,True,"  FEATURE: Those Hit Worst by #COVID in #Italy — Joint Assistance Provided by #USA’s $900,000 Grant &amp; #Community of #SantEg…"
50,2020-12-11 10:53:46,VA,Holy See (Vatican City State),593857148.0,29-May-2012 (16:49:36.000000),AGisotti,,True,,12781,,False,#Syria: Save the Children highlights disproportionate effect of Covid-19 on children - Vatican News   
