,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:22:14,GI,Gibraltar,58292961.0,19-Jul-2009 (21:01:38.000000),Lefistro,,False,,536,,True,"  Prince William reveals he contracted coronavirus in April, having been informed by test and trace over the weekend."
1,2020-11-02 16:36:20,GI,Gibraltar,9.144482148032184e+17,01-Oct-2017 (11:13:38.000000),Lizzie33how,,False,,354,,True,  COVID-19 Information Update 
2,2020-11-02 16:20:05,GI,Gibraltar,24576083.0,15-Mar-2009 (20:01:32.000000),tonyevans88,,False,,2286,,True,  COVID-19 Information Update 
3,2020-11-02 17:12:23,GI,Gibraltar,8.819726968081244e+17,03-Jul-2017 (20:27:32.000000),BeefNoodleSoups,,False,,29,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
4,2020-11-02 19:56:12,GI,Gibraltar,1346536189.0,12-Apr-2013 (10:40:16.000000),CoPRUllger,,False,,1773,,False,"I know  it’s disheartening to hear, but  officers will continue to Engage with people, Explain to them the new #COVIDー19 Regs, Encourage them to do so and as a last resort Enforce. #TogetherStronger"
5,2020-11-02 19:56:26,GI,Gibraltar,52118189.0,29-Jun-2009 (17:10:38.000000),jusjus7,,False,,388,,True,"  Gibraltar NASUWT recommends the use of face masks for everyone in schools, in line with the expert advice from the #Gibraltar…"
9,2020-11-03 01:14:37,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2342,,True,"  Spain sets record COVID-19 case rise with over 55,000 new infections: health ministry. As figures show a big rise in coro…"
11,2020-11-03 12:21:46,GI,Gibraltar,8.382118517374976e+17,05-Mar-2017 (02:17:33.000000),emmitt_fitzhume,,False,,172,,True,  The COVID-19 death rate is not keeping up with the cases.  We are winning the battle.
12,2020-11-03 12:51:04,GI,Gibraltar,8.233106795621581e+17,22-Jan-2017 (23:25:37.000000),TheCraz83867323,,False,,71,,True,  Vote. Don’t be complacent. Don’t sit at home thinking your vote won’t change anything. Your vote matters! You voice mat…
13,2020-11-03 12:32:18,GI,Gibraltar,48487340.0,18-Jun-2009 (20:58:19.000000),stefanoblanca,,False,,750,,False,barron was also born under a rainbow
15,2020-11-03 12:41:24,GI,Gibraltar,3318698111.0,11-Jun-2015 (10:15:38.000000),CancerReliefGib,,False,,468,,True,  “I felt very safe... the hospital was very quiet and you could see all of the hard work that has gone into making it a s…
16,2020-12-10 22:20:14,GI,Gibraltar,280607064.0,11-Apr-2011 (17:31:35.000000),llanita70,,False,,274,,False,New Andalucia Covid Measures
17,2020-12-10 22:18:44,GI,Gibraltar,280607064.0,11-Apr-2011 (17:31:35.000000),llanita70,,False,,274,,True,  Andalucia #Covid Measures for Christmas
18,2020-12-10 22:18:44,GI,Gibraltar,280607064.0,11-Apr-2011 (17:31:35.000000),llanita70,,False,,274,,True,  Andalucia #Covid Measures for Christmas
20,2020-12-10 22:12:12,GI,Gibraltar,2439291014.0,12-Apr-2014 (01:03:43.000000),KevGibraltar,,False,,2193,,False,Andalucia #Covid Measures for Christmas
21,2020-12-10 22:20:14,GI,Gibraltar,280607064.0,11-Apr-2011 (17:31:35.000000),llanita70,,False,,274,,False,New Andalucia Covid Measures
22,2020-12-10 23:25:33,GI,Gibraltar,7.531414665669181e+17,13-Jul-2016 (08:18:13.000000),GibraltarOPress,,False,,927,,False,Gibraltar businesses get festive boost to help face COVID-19 crisis  
23,2020-12-11 05:03:49,GI,Gibraltar,2974811811.0,12-Jan-2015 (15:35:04.000000),don_Chupacabra,,False,,39,,False," How dare #MarieHarf identify problems that, unquestionably, have afflicted the world?!  should worry more about the bull💩preached on   than ‘feelings’. #SMH #coronavirus #COVID19      "
25,2020-12-11 06:06:27,GI,Gibraltar,7.173390576180961e+17,05-Apr-2016 (13:12:13.000000),debbie_sur,,False,,244,,True,  #Andalucía has announced a two-phase relaxation of its #COVIDー19 measures starting from Saturday when movement between mun…
26,2020-12-11 09:20:55,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,"  A study has found over 25% of people are still unsure about getting a #COVID19 vaccine, particularly women and young people. P…"
28,2020-12-11 09:12:01,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,  Bin Laden's spin doctor is back in UK after being freed early by US because he is too fat to remain in prison as he is at #…
29,2020-12-11 10:34:07,GI,Gibraltar,4122695860.0,05-Nov-2015 (22:53:41.000000),Dickymint216,,False,,843,,True,"  LOL  Austrian MP tries a Govt funded  Corona test on a glass of coke, live, in Parliament.  Comes back positive for Covid1…"
30,2020-12-11 09:18:35,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,"  Latest Covid-19 figures in Spain show the incidence rate per 100,000 inhabitants over 14 days remains over 200 in 8 regions:…"
31,2020-12-11 10:42:17,GI,Gibraltar,8.959641975568056e+17,11-Aug-2017 (11:04:45.000000),ReachExtra,,False,,133,,False,"Junta de #Andalucia announced a 2 phase plan following a decrease in #COVID19 cases. The 1st phase begins this Saturday 12, and means that freedom of movement within each of the 8 provinces in the region will be allowed. However, the 10 PM curfew remains  "
32,2020-12-11 10:42:17,GI,Gibraltar,8.959641975568056e+17,11-Aug-2017 (11:04:45.000000),ReachExtra,,False,,133,,False,"Junta de #Andalucia announced a 2 phase plan following a decrease in #COVID19 cases. The 1st phase begins this Saturday 12, and means that freedom of movement within each of the 8 provinces in the region will be allowed. However, the 10 PM curfew remains  "
34,2020-12-11 09:12:01,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2362,,True,  Bin Laden's spin doctor is back in UK after being freed early by US because he is too fat to remain in prison as he is at #…
35,2020-12-11 09:18:35,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2362,,True,"  Latest Covid-19 figures in Spain show the incidence rate per 100,000 inhabitants over 14 days remains over 200 in 8 regions:…"
36,2020-12-11 09:20:55,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2362,,True,"  A study has found over 25% of people are still unsure about getting a #COVID19 vaccine, particularly women and young people. P…"
37,2020-12-11 06:11:22,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,  #Andalucía has announced a two-phase relaxation of its #COVIDー19 measures starting from Saturday when movement between mun…
38,2020-12-11 09:12:01,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,  Bin Laden's spin doctor is back in UK after being freed early by US because he is too fat to remain in prison as he is at #…
39,2020-12-11 09:18:35,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,"  Latest Covid-19 figures in Spain show the incidence rate per 100,000 inhabitants over 14 days remains over 200 in 8 regions:…"
41,2020-12-11 06:11:22,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2362,,True,  #Andalucía has announced a two-phase relaxation of its #COVIDー19 measures starting from Saturday when movement between mun…
42,2020-12-11 09:18:35,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,"  Latest Covid-19 figures in Spain show the incidence rate per 100,000 inhabitants over 14 days remains over 200 in 8 regions:…"
43,2020-12-11 09:20:55,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,"  A study has found over 25% of people are still unsure about getting a #COVID19 vaccine, particularly women and young people. P…"
44,2020-12-11 09:12:01,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,  Bin Laden's spin doctor is back in UK after being freed early by US because he is too fat to remain in prison as he is at #…
45,2020-12-11 06:11:22,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,  #Andalucía has announced a two-phase relaxation of its #COVIDー19 measures starting from Saturday when movement between mun…
46,2020-12-11 09:20:55,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,"  A study has found over 25% of people are still unsure about getting a #COVID19 vaccine, particularly women and young people. P…"
47,2020-12-11 06:11:22,GI,Gibraltar,3050310257.0,21-Feb-2015 (18:11:25.000000),LlanitoPal,,False,,2363,,True,  #Andalucía has announced a two-phase relaxation of its #COVIDー19 measures starting from Saturday when movement between mun…
