,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:55:08,LK,Sri Lanka,140784400.0,06-May-2010 (10:54:19.000000),AzzamAmeen,,True,,281296,,True,  Epidemiology Unit issues latest Map of high-risk Covid19 areas in Sri Lanka 
1,2020-11-02 16:34:47,LK,Sri Lanka,105020177.0,15-Jan-2010 (03:10:47.000000),lockwoodraina,,False,,171,,True,  Epidemiology Unit issues latest Map of high-risk Covid19 areas in Sri Lanka 
2,2020-11-02 15:07:24,LK,Sri Lanka,301889941.0,20-May-2011 (07:28:16.000000),m_thanush,,False,,515,,False,  😊👌👍☺️ How Mr President and their family ate billions of Covid19 fund.... And you people talk about oposition and discipline 👏👋
6,2020-11-02 15:29:24,LK,Sri Lanka,1.2441728646281667e+18,29-Mar-2020 (08:01:52.000000),CeylonPulse,,False,,46,,False,Health Ministry Revise the Covid-19 Death Toll 
8,2020-11-02 16:12:49,LK,Sri Lanka,308957931.0,01-Jun-2011 (08:48:02.000000),aroarun,,False,,2379,,False,Maps show the difference within a week #COVID19LK #coronavirus #Srilanka #lka 
9,2020-11-02 15:10:17,LK,Sri Lanka,159874646.0,26-Jun-2010 (15:09:53.000000),AshanHettige,,False,,69,,True,  Never thought one day some one would do the maths on this... 😃👏👏🤔 quarantine curfew do incredible things to people #lockdown…
10,2020-11-02 16:34:14,LK,Sri Lanka,1.1216462854029352e+18,26-Apr-2019 (05:24:48.000000),Nazneen68434225,,False,,18,,False,Epidemiology Unit issues latest Map of high-risk Covid19 areas in Sri Lanka 
12,2020-11-02 16:28:52,LK,Sri Lanka,139723173.0,03-May-2010 (13:44:38.000000),CrustyCranker,,False,,335,,True,"  Sounds like  wants to initiate the National Data Center project, for covid management. Appatasiri !  Did you as…"
13,2020-11-02 15:55:08,LK,Sri Lanka,1.240944644093096e+18,20-Mar-2020 (10:14:27.000000),DrSivanandaraj1,,False,,78,,True,  +++ From now on four weeks partial lockdown  ❗ Latest #News from #Germany 👉    #NewsDE #Lockdown #Fl…
14,2020-11-02 16:27:55,LK,Sri Lanka,139723173.0,03-May-2010 (13:44:38.000000),CrustyCranker,,False,,335,,True,"  The complexity alone to do this 🤦🏽‍♂️ and let's not even mention that MOST government records/information is not digitized,…"
16,2020-11-02 15:55:08,LK,Sri Lanka,1.240944644093096e+18,20-Mar-2020 (10:14:27.000000),DrSivanandaraj1,,False,,78,,True,  +++ From now on four weeks partial lockdown  ❗ Latest #News from #Germany 👉    #NewsDE #Lockdown #Fl…
17,2020-11-02 16:28:52,LK,Sri Lanka,139723173.0,03-May-2010 (13:44:38.000000),CrustyCranker,,False,,335,,True,"  Sounds like  wants to initiate the National Data Center project, for covid management. Appatasiri !  Did you as…"
18,2020-11-02 16:27:55,LK,Sri Lanka,139723173.0,03-May-2010 (13:44:38.000000),CrustyCranker,,False,,335,,True,"  The complexity alone to do this 🤦🏽‍♂️ and let's not even mention that MOST government records/information is not digitized,…"
22,2020-11-02 17:01:30,LK,Sri Lanka,387146177.0,08-Oct-2011 (15:06:16.000000),isuru92,,False,,642,,True,  Here the claim is that not enough funds have been given.  Sri Lanka is an anomaly; we have refused to take. Only country ot…
24,2020-11-02 17:15:19,LK,Sri Lanka,8851212.0,13-Sep-2007 (10:39:39.000000),sabeshwaran,,False,,1137,,False,The Epidemiology Unit of the Ministry of Health has issued details of high-risk coronavirus areas in Sri Lanka. 
27,2020-11-02 17:13:43,LK,Sri Lanka,8851212.0,13-Sep-2007 (10:39:39.000000),sabeshwaran,,False,,1137,,False,The Epidemiology Unit of the Ministry of Health has issued details of high-risk coronavirus areas in Sri Lanka.
28,2020-11-02 17:15:19,LK,Sri Lanka,8851212.0,13-Sep-2007 (10:39:39.000000),sabeshwaran,,False,,1137,,False,The Epidemiology Unit of the Ministry of Health has issued details of high-risk coronavirus areas in Sri Lanka. 
29,2020-11-02 18:25:14,LK,Sri Lanka,2278801829.0,13-Jan-2014 (10:05:45.000000),Mahishini,,False,,2646,,True,  A heartfelt thank you to the more than 2.3 million people worldwide who have raised your voice in support of the  a…
31,2020-11-02 18:22:55,LK,Sri Lanka,261300130.0,05-Mar-2011 (17:33:46.000000),hirantha129,,False,,393,,True,  1000s of used #masks &amp; #gloves are showing up on beaches &amp; oceans. It is absolutely crucial that we handle #pandemic-ge…
33,2020-11-02 17:13:43,LK,Sri Lanka,8851212.0,13-Sep-2007 (10:39:39.000000),sabeshwaran,,False,,1137,,False,The Epidemiology Unit of the Ministry of Health has issued details of high-risk coronavirus areas in Sri Lanka.
37,2020-11-02 18:47:16,LK,Sri Lanka,1.2925380155253842e+18,09-Aug-2020 (19:07:47.000000),PereraRanith,,False,,9,,True,"  As the country battle through this critical situation, the battle looks tougher than ever but it is winnable. As citizen…"
38,2020-11-02 18:49:32,LK,Sri Lanka,451208097.0,31-Dec-2011 (05:04:29.000000),mgajanayake,,False,,168,,True,"  #Coronavirus: How the world of work may change forever | Major implications for advocacy &amp; activism, esp. around access to vi…"
44,2020-11-03 01:03:38,LK,Sri Lanka,2278801829.0,13-Jan-2014 (10:05:45.000000),Mahishini,,False,,2646,,True,  #HRCSL issues guidelines to the Ministry of Health and the National Operation Centre for Prevention of #COVID19 Outbreak o…
45,2020-11-03 03:40:01,LK,Sri Lanka,17728899.0,29-Nov-2008 (05:34:25.000000),freetheworld,,False,,546,,False,"Sri Lanka government: Don’t Cremate the Covid19 affected Sri Lankan Muslim Bodies . Instead, please Bury them. - Sign the Petition!  via "
46,2020-11-03 01:41:50,LK,Sri Lanka,728764392.0,31-Jul-2012 (16:42:16.000000),TrajahH,,False,,142,,False,🙊  #Covid19 
47,2020-11-03 03:06:15,LK,Sri Lanka,817820058.0,11-Sep-2012 (17:20:42.000000),sargemubeen,,False,,65,,True,  #covid19lk high risk zones evolution one week apart in #lka #SriLanka. The red is slowly but surely dominating. ☹️ Maps…
48,2020-11-03 02:30:18,LK,Sri Lanka,159806853.0,26-Jun-2010 (11:25:58.000000),sudumallii,,False,,294,,True,  So far Police arrested 1992 quarantine curfew violators and seized 307 vehicles since October 4.  Police strictly reques…
50,2020-11-03 02:00:13,LK,Sri Lanka,139723173.0,03-May-2010 (13:44:38.000000),CrustyCranker,,False,,335,,True,  ☠️I remember how  (back then  failed at all levels during the flooding a few years back. Govs should b…
57,2020-11-03 13:17:44,LK,Sri Lanka,1.1206937581006356e+18,23-Apr-2019 (14:19:48.000000),KumuduBandarage,,False,,23,,True,  Cartoon by    #lka #SriLanka #COVID19 #COVID19SL 
58,2020-11-03 11:53:12,LK,Sri Lanka,945477498.0,13-Nov-2012 (09:39:58.000000),JWeerawardane,,False,,18,,True,  Cartoon by    #lka #SriLanka #COVID19 #COVID19SL 
72,2020-11-03 13:34:37,LK,Sri Lanka,9.905475211800576e+17,29-Apr-2018 (11:05:07.000000),SriLankanBuzz,,False,,351,,True,"  STF camps in Kalubowila, Kelaniya and Rajagiriya isolated following the detection of COVID-19 positive cases. The number o…"
75,2020-11-03 13:59:02,LK,Sri Lanka,9.905475211800576e+17,29-Apr-2018 (11:05:07.000000),SriLankanBuzz,,False,,351,,False,Can we visit Sri Lanka? The Holiday Guru answers coronavirus-related traveller queries #SriLankanBuzz #SriLanka 
76,2020-11-03 13:34:37,LK,Sri Lanka,9.905475211800576e+17,29-Apr-2018 (11:05:07.000000),SriLankanBuzz,,False,,351,,True,"  STF camps in Kalubowila, Kelaniya and Rajagiriya isolated following the detection of COVID-19 positive cases. The number o…"
77,2020-11-03 13:59:02,LK,Sri Lanka,9.905475211800576e+17,29-Apr-2018 (11:05:07.000000),SriLankanBuzz,,False,,351,,False,Can we visit Sri Lanka? The Holiday Guru answers coronavirus-related traveller queries #SriLankanBuzz #SriLanka 
102,2020-11-03 12:18:25,LK,Sri Lanka,96453822.0,13-Dec-2009 (00:55:45.000000),sudharshaw,,False,,506,,True,  Sri Lankan villagers defy #coronavirus curfew to rescue stranded #whales    #SriLanka    
114,2020-11-03 12:08:19,LK,Sri Lanka,1.0561456813441596e+18,27-Oct-2018 (11:28:47.000000),SavanthaDeSaram,,False,,65,,True,  Sri Lankan villagers defied a coronavirus curfew to try to save about 100 pilot whales stranded off the island nation's southw…
134,2020-11-03 12:48:07,LK,Sri Lanka,152676356.0,06-Jun-2010 (15:47:36.000000),mifly01,,False,,127,,True,"  OH! Once upon a time, Lankadeepa had the best news coverage. This is the newspaper we read as children. Now see where it h…"
170,2020-11-03 13:52:56,LK,Sri Lanka,1.258849476556591e+18,08-May-2020 (20:01:46.000000),MkncMb,,False,,11,,False,The janaza/body was buried around 4.30pm today الله يرحمهو but I don't see the point in keeping the body over 24hrs for PCR test. Had one had the #coronavirus wouldn't have it been scientifically best to be buried within a minimal time frame as per #Islam tradition ! #SriLanka
171,2020-11-03 13:53:02,LK,Sri Lanka,185557588.0,01-Sep-2010 (08:12:33.000000),bad_innocent8,,False,,810,,True,"  Kalubowila, Kelaniya and Rajagiriya STF camps isolated due to postive cases. Number of COVID19 tested positive policemen…"
174,2020-11-03 13:45:05,LK,Sri Lanka,1.258849476556591e+18,08-May-2020 (20:01:46.000000),MkncMb,,False,,11,,False,The janaza/body was buried around 4.30pm today الله يرحمهو but I don't see the point in keeping the body over 24hrs for PCR test. Had one had the #coronavirus wouldn't have it been scientifically best to be buried within a minimal time frame as per #Islam tradition ! #SriLanka
175,2020-11-03 13:52:56,LK,Sri Lanka,1.258849476556591e+18,08-May-2020 (20:01:46.000000),MkncMb,,False,,11,,False,The janaza/body was buried around 4.30pm today الله يرحمهو but I don't see the point in keeping the body over 24hrs for PCR test. Had one had the #coronavirus wouldn't have it been scientifically best to be buried within a minimal time frame as per #Islam tradition ! #SriLanka
