,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
94,2020-11-02 16:26:01,IT,Italy,722919613.0,28-Jul-2012 (22:20:11.000000),mariamacina,,False,,2729,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
100,2020-11-02 16:26:01,IT,Italy,722919613.0,28-Jul-2012 (22:20:11.000000),mariamacina,,False,,2729,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
148,2020-11-02 15:00:49,IT,Italy,97172428.0,16-Dec-2009 (09:12:02.000000),FabioMassi,,False,,1353,,True,"  Nearly 28k fans packed into #Tokyo2020 Olympic baseball, softball venue 🏟️ to boost COVID-19 safety response   "
158,2020-11-02 16:29:56,IT,Italy,52075154.0,29-Jun-2009 (14:43:00.000000),tappingdiotima,,False,,749,,True,"  Everyone is facing unprecedented challenges due to #COVID19, but women are bearing the brunt of the pandemic's economic &amp; social fa…"
161,2020-11-02 15:37:07,IT,Italy,69615335.0,28-Aug-2009 (15:30:32.000000),FabriColonna,,False,,275,,False,via  How wrong recent political choices can jeopardize the efforts citizens have made last spring pursuant to right past political choices.... 
164,2020-11-02 15:45:57,IT,Italy,111815773.0,06-Feb-2010 (06:31:52.000000),rojjot,,False,,194,,False,Worst decision by Government. Even PM said that frontline warriors must be respected and helped as when needed. And here we are just throwing them out .
174,2020-11-02 15:36:52,IT,Italy,3094057402.0,18-Mar-2015 (10:06:18.000000),laboescapes,,False,,2778,,True,"  For every journalist who wins the Pulitzer Prize each year, 100 get shot. In nine out of ten cases, the killers go unpunished.…"
175,2020-11-02 15:36:51,IT,Italy,30218060.0,10-Apr-2009 (13:47:25.000000),gvespucci,,False,,490,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
181,2020-11-02 15:20:30,IT,Italy,1.301094929930875e+18,02-Sep-2020 (09:49:50.000000),DrLombardo87,,False,,30,,False,Pneumococcal pneumonia in young patient (&lt; 40 yo) with pre-existing SARS-CoV-2 infection. #COVID19 #radiology 
186,2020-11-02 15:07:51,IT,Italy,1.3113141331036365e+18,30-Sep-2020 (14:37:38.000000),w_aroundItaly,,False,,955,,False,"Procida, picturesque island in the Gulf of Naples 👨🏻‍🎨🎨  #Italy #travel #Campania #lockdownitalia #coronavirus #MondayMood #MondayMotivation #2novembre #Dpcm "
262,2020-11-02 15:43:04,IT,Italy,318276613.0,16-Jun-2011 (06:57:07.000000),LauraHarth,,False,,3063,,True,  BREAKING: #IPAC demands 🇹🇼 Taiwan's participation in the upcoming World Health Assembly and other WHO activities.  As the i…
264,2020-11-02 15:36:05,IT,Italy,2899612829.0,30-Nov-2014 (19:12:37.000000),CuginoPaolo,,False,,579,,True,  💪💪💪👏👏👏 
265,2020-11-02 15:23:04,IT,Italy,2760223685.0,03-Sep-2014 (09:27:45.000000),liamsbeatboxx,,False,,94,,False,"Why are people so fucking dumb, pls stop saying “wear a mask” if you’re gonna spit all over a cake...."
