,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
75,2020-11-02 15:06:53,CU,Cuba,374827540.0,17-Sep-2011 (01:14:00.000000),bloodlineseavey,,False,,3418,,False,nooo ):
1748,2020-11-02 14:59:09,CU,Cuba,118392507.0,28-Feb-2010 (14:53:16.000000),plaverder,,False,,884,,True,  JUST IN: WHO chief to quarantine after contact tests positive for COVID-19  
2177,2020-11-02 15:18:38,CU,Cuba,212257163.0,05-Nov-2010 (15:39:03.000000),ElHijodeLuis,,False,,791,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
2180,2020-11-02 15:18:38,CU,Cuba,212257163.0,05-Nov-2010 (15:39:03.000000),ElHijodeLuis,,False,,791,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
2190,2020-11-02 15:18:38,CU,Cuba,212257163.0,05-Nov-2010 (15:39:03.000000),ElHijodeLuis,,False,,791,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
2199,2020-11-02 15:13:04,CU,Cuba,404891927.0,04-Nov-2011 (15:15:20.000000),joseangelf375,,False,,7,,False,W.H.O. Chief Tedros Forced into Quarantine After Contact Tests Positive for Coronavirus  
2223,2020-11-02 15:02:09,CU,Cuba,140863650.0,06-May-2010 (15:13:54.000000),alcatoli,,False,,397,,False,Saludo
2225,2020-11-02 15:02:09,CU,Cuba,140863650.0,06-May-2010 (15:13:54.000000),alcatoli,,False,,397,,False,Saludo
2468,2020-11-02 15:34:53,CU,Cuba,616081681.0,23-Jun-2012 (12:42:40.000000),D_Kingunza,,False,,575,,False,🙃🙃🙃
2471,2020-11-02 15:34:53,CU,Cuba,616081681.0,23-Jun-2012 (12:42:40.000000),D_Kingunza,,False,,575,,False,🙃🙃🙃
3168,2020-11-02 15:00:37,CU,Cuba,54775107.0,08-Jul-2009 (02:51:13.000000),CARLOSEDV77,,False,,700,,False,'CommonPass': New COVID-19 Security Measures Will Make Health A Prerequisite For Travel | Zero Hedge 
3397,2020-11-02 15:00:48,CU,Cuba,876765198.0,13-Oct-2012 (00:56:30.000000),keyshmaariie,,False,,244,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
5564,2020-11-02 16:33:26,CU,Cuba,2178953540.0,06-Nov-2013 (23:15:55.000000),ColombiaCalling,,False,,4070,,False,Spooked: Halloween Crackdown As Colombia Hits 1 Million Coronavirus Cases 
5775,2020-11-02 16:17:51,CU,Cuba,922039153.0,02-Nov-2012 (23:49:09.000000),Corpoavance,,False,,191,,True,"  The #COVID19 pandemic is wreaking havoc on households, and women are bearing the brunt of it.  Many are now seeing no path ah…"
5777,2020-11-02 16:17:26,CU,Cuba,1.1287665227621252e+18,15-May-2019 (20:58:05.000000),Damiana_Estevz,,False,,14246,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
5779,2020-11-02 16:17:26,CU,Cuba,1.1287665227621252e+18,15-May-2019 (20:58:05.000000),Damiana_Estevz,,False,,14246,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
5913,2020-11-02 16:22:00,CU,Cuba,186543552.0,03-Sep-2010 (18:55:39.000000),andres_v4,,False,,429,,True,"  Quebec is reporting 1,037 new cases and 12 additional deaths attributed to COVID-19 on Monday.  "
5914,2020-11-02 16:21:20,CU,Cuba,186543552.0,03-Sep-2010 (18:55:39.000000),andres_v4,,False,,429,,True,  Report: Prince William had coronavirus in April  
5915,2020-11-02 16:22:00,CU,Cuba,186543552.0,03-Sep-2010 (18:55:39.000000),andres_v4,,False,,429,,True,"  Quebec is reporting 1,037 new cases and 12 additional deaths attributed to COVID-19 on Monday.  "
5916,2020-11-02 16:21:20,CU,Cuba,186543552.0,03-Sep-2010 (18:55:39.000000),andres_v4,,False,,429,,True,  Report: Prince William had coronavirus in April  
5929,2020-11-02 16:35:44,CU,Cuba,1.1797646703806136e+18,03-Oct-2019 (14:27:12.000000),soler_maestre,,False,,260,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
5930,2020-11-02 16:35:44,CU,Cuba,1.1797646703806136e+18,03-Oct-2019 (14:27:12.000000),soler_maestre,,False,,260,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
6632,2020-11-02 16:41:22,CU,Cuba,399059223.0,26-Oct-2011 (22:54:27.000000),juandavidroja17,,False,,1113,,True,  Nikoloz Basilashvili post covid-19 break:   0 wins  8 losses  0 sets won  18 sets lost 
6742,2020-11-02 15:00:08,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,390,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
7244,2020-11-02 15:00:08,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,396,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
7245,2020-11-02 15:33:10,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,396,,True,"   The # COVID19 has put Cuban #Science to the test, the CIGB delivers documentation for the registration of its…"
7250,2020-11-02 15:00:08,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,396,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
7251,2020-11-02 15:33:10,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,396,,True,"   The # COVID19 has put Cuban #Science to the test, the CIGB delivers documentation for the registration of its…"
7256,2020-11-02 15:00:08,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,397,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
7257,2020-11-02 15:33:10,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,397,,True,"   The # COVID19 has put Cuban #Science to the test, the CIGB delivers documentation for the registration of its…"
7261,2020-11-02 15:33:10,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,396,,True,"   The # COVID19 has put Cuban #Science to the test, the CIGB delivers documentation for the registration of its…"
7263,2020-11-02 15:00:08,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,396,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
7265,2020-11-02 15:33:10,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,390,,True,"   The # COVID19 has put Cuban #Science to the test, the CIGB delivers documentation for the registration of its…"
7270,2020-11-02 15:00:08,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,390,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
7271,2020-11-02 15:33:10,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,390,,True,"   The # COVID19 has put Cuban #Science to the test, the CIGB delivers documentation for the registration of its…"
7276,2020-11-02 15:00:08,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,390,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
7277,2020-11-02 15:33:10,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,390,,True,"   The # COVID19 has put Cuban #Science to the test, the CIGB delivers documentation for the registration of its…"
7282,2020-11-02 15:00:08,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,390,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
7283,2020-11-02 15:33:10,CU,Cuba,1.1739908229682708e+18,17-Sep-2019 (16:03:45.000000),AbelOli29927996,,False,,390,,True,"   The # COVID19 has put Cuban #Science to the test, the CIGB delivers documentation for the registration of its…"
7289,2020-11-02 16:37:09,CU,Cuba,18483278.0,30-Dec-2008 (18:02:41.000000),edgar864,,False,,429,,True,"  We NEED #FourMoreYears of Pres. Trump!   In just 5 MONTHS, we have recovered 52% of jobs lost due to the coronavirus crisis.   For…"
7315,2020-11-02 16:36:57,CU,Cuba,18483278.0,30-Dec-2008 (18:02:41.000000),edgar864,,False,,429,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
7317,2020-11-02 16:37:09,CU,Cuba,18483278.0,30-Dec-2008 (18:02:41.000000),edgar864,,False,,429,,True,"  We NEED #FourMoreYears of Pres. Trump!   In just 5 MONTHS, we have recovered 52% of jobs lost due to the coronavirus crisis.   For…"
7318,2020-11-02 16:36:57,CU,Cuba,18483278.0,30-Dec-2008 (18:02:41.000000),edgar864,,False,,429,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
7320,2020-11-02 16:37:09,CU,Cuba,18483278.0,30-Dec-2008 (18:02:41.000000),edgar864,,False,,429,,True,"  We NEED #FourMoreYears of Pres. Trump!   In just 5 MONTHS, we have recovered 52% of jobs lost due to the coronavirus crisis.   For…"
7321,2020-11-02 16:36:57,CU,Cuba,18483278.0,30-Dec-2008 (18:02:41.000000),edgar864,,False,,429,,True,  One of the two candidates in this election has a plan to get COVID-19 under control.  The other just suggested that he'…
7588,2020-11-02 16:00:07,CU,Cuba,349164361.0,05-Aug-2011 (17:21:23.000000),FehrAnnery,,False,,1453,,False,Que bueno
7591,2020-11-02 16:00:07,CU,Cuba,349164361.0,05-Aug-2011 (17:21:23.000000),FehrAnnery,,False,,1453,,False,Que bueno
7594,2020-11-02 16:00:07,CU,Cuba,349164361.0,05-Aug-2011 (17:21:23.000000),FehrAnnery,,False,,1453,,False,Que bueno
7623,2020-11-02 16:09:47,CU,Cuba,826137739.0,15-Sep-2012 (23:34:42.000000),douglasjn79,,False,,736,,True,  ‘Utterly negligent’: #BBC under fire for ‘editing out’ the ‘most important point’ of #SAGE expert interview on Covid-19 
7625,2020-11-02 16:09:47,CU,Cuba,826137739.0,15-Sep-2012 (23:34:42.000000),douglasjn79,,False,,736,,True,  ‘Utterly negligent’: #BBC under fire for ‘editing out’ the ‘most important point’ of #SAGE expert interview on Covid-19 
7869,2020-11-02 16:02:09,CU,Cuba,1.1939812320838656e+18,11-Nov-2019 (19:58:17.000000),GonceCarlos,,False,,16,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
7901,2020-11-02 16:09:52,CU,Cuba,219123466.0,24-Nov-2010 (00:14:42.000000),AlejaNievesV,,False,,282,,True,"  Data gathered worldwide are increasingly suggesting that schools are not hot spots for coronavirus infections. However, researc…"
8012,2020-11-02 15:47:58,CU,Cuba,354364067.0,13-Aug-2011 (15:58:58.000000),Liverpool_Col,,False,,2967,,True,  BREAKING  Eleven Ajax players test positive for coronavirus before Champions League game against FC Midtjylland  
8035,2020-11-02 15:40:41,CU,Cuba,3438557002.0,24-Aug-2015 (21:49:13.000000),HerreraH2O,,False,,6072,,False,Antarctica is Earth's one virus-free continent: science fights to keep it that way 
8132,2020-11-02 15:54:01,CU,Cuba,139383683.0,02-May-2010 (12:45:56.000000),alexanderjpm72,,False,,2319,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
8147,2020-11-02 15:52:58,CU,Cuba,186277347.0,03-Sep-2010 (01:06:42.000000),edflinkinp,,False,,1394,,False,EEK
8153,2020-11-02 15:54:01,CU,Cuba,139383683.0,02-May-2010 (12:45:56.000000),alexanderjpm72,,False,,2319,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
8158,2020-11-02 15:55:25,CU,Cuba,140564412.0,05-May-2010 (20:51:47.000000),gilbercorrales,,False,,1037,,False,The benefits of artificial intelligence👇🏼
8199,2020-11-02 15:54:51,CU,Cuba,332339142.0,09-Jul-2011 (16:39:26.000000),ELNEGRO0505,,False,,1024,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
8755,2020-11-02 16:51:34,CU,Cuba,416378712.0,19-Nov-2011 (16:12:40.000000),SENDEROPRESS,,False,,1501,,False,Fitbit receives Army award to further develop its COVID-19 early detection algorithm #DigitalHealth #digital #health via  
10031,2020-11-02 16:50:55,CU,Cuba,118221843.0,28-Feb-2010 (00:13:58.000000),GillianAdeliz,,False,,1869,,True,"  Protect yourself, your family, and your community from COVID-19 and the flu. Wash your hands, wear a mask, keep your distance…"
10894,2020-11-02 17:02:16,CU,Cuba,1.1034066363062312e+18,06-Mar-2019 (21:26:57.000000),JohnHolmes192,,False,,124,,True,  RETWEET|| EPIC    responded to a “#FireFauci” chant during a late Sunday rally at the Opa-Locka airport i…
11109,2020-11-02 16:59:26,CU,Cuba,471261222.0,22-Jan-2012 (17:33:14.000000),PerezJaramilloA,,False,,5081,,True,  Thank you for the invitation! Urgent and fundamental debate indeed - #COVID19 #ClimateEmergency #Inequality rising and…
11382,2020-11-02 17:38:26,CU,Cuba,1.1153415379850732e+18,08-Apr-2019 (19:51:59.000000),alrdg88,,False,,3126,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
11399,2020-11-02 17:38:26,CU,Cuba,1.1153415379850732e+18,08-Apr-2019 (19:51:59.000000),alrdg88,,False,,3126,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
11405,2020-11-02 17:38:26,CU,Cuba,1.1153415379850732e+18,08-Apr-2019 (19:51:59.000000),alrdg88,,False,,3126,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
11415,2020-11-02 17:38:26,CU,Cuba,1.1153415379850732e+18,08-Apr-2019 (19:51:59.000000),alrdg88,,False,,3126,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
11419,2020-11-02 17:38:26,CU,Cuba,1.1153415379850732e+18,08-Apr-2019 (19:51:59.000000),alrdg88,,False,,3126,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
11441,2020-11-02 17:21:14,CU,Cuba,1.3233061193312543e+18,02-Nov-2020 (16:49:20.000000),CryptoGonzalo,,False,,0,,True,  COVID-19 and airplanes: is it safe to fly? 
11512,2020-11-02 17:41:20,CU,Cuba,9.079815444128644e+17,13-Sep-2017 (14:57:24.000000),EdgarBlanco_VE,,False,,3119,,True,"  #HEBarkindo also added that with the resurgence in #Covid19 infections across regions of the world, there is need to r…"
11513,2020-11-02 17:41:12,CU,Cuba,9.079815444128644e+17,13-Sep-2017 (14:57:24.000000),EdgarBlanco_VE,,False,,3119,,True,"  In a podcast session with Mr. Joseph McMonigle  , OPEC SG #HEBarkindo discussed the positive contributions of t…"
11516,2020-11-02 17:41:20,CU,Cuba,9.079815444128644e+17,13-Sep-2017 (14:57:24.000000),EdgarBlanco_VE,,False,,3119,,True,"  #HEBarkindo also added that with the resurgence in #Covid19 infections across regions of the world, there is need to r…"
11517,2020-11-02 17:41:12,CU,Cuba,9.079815444128644e+17,13-Sep-2017 (14:57:24.000000),EdgarBlanco_VE,,False,,3119,,True,"  In a podcast session with Mr. Joseph McMonigle  , OPEC SG #HEBarkindo discussed the positive contributions of t…"
11527,2020-11-02 17:41:12,CU,Cuba,9.079815444128644e+17,13-Sep-2017 (14:57:24.000000),EdgarBlanco_VE,,False,,3119,,True,"  In a podcast session with Mr. Joseph McMonigle  , OPEC SG #HEBarkindo discussed the positive contributions of t…"
11528,2020-11-02 17:41:20,CU,Cuba,9.079815444128644e+17,13-Sep-2017 (14:57:24.000000),EdgarBlanco_VE,,False,,3119,,True,"  #HEBarkindo also added that with the resurgence in #Covid19 infections across regions of the world, there is need to r…"
11546,2020-11-02 17:41:20,CU,Cuba,9.079815444128644e+17,13-Sep-2017 (14:57:24.000000),EdgarBlanco_VE,,False,,3119,,True,"  #HEBarkindo also added that with the resurgence in #Covid19 infections across regions of the world, there is need to r…"
11547,2020-11-02 17:41:12,CU,Cuba,9.079815444128644e+17,13-Sep-2017 (14:57:24.000000),EdgarBlanco_VE,,False,,3119,,True,"  In a podcast session with Mr. Joseph McMonigle  , OPEC SG #HEBarkindo discussed the positive contributions of t…"
11559,2020-11-02 17:12:40,CU,Cuba,626150157.0,04-Jul-2012 (02:04:38.000000),Ysilugo,,False,,26030,,True,  Mourners in Montenegro have kissed the body of a bishop in his open casket after he died from the coronavirus. 
11577,2020-11-02 17:10:34,CU,Cuba,1.1786447607367516e+18,30-Sep-2019 (12:16:50.000000),yila88,,False,,30,,False,#Covid19enCuba
11591,2020-11-02 17:12:54,CU,Cuba,1.222172279381119e+18,28-Jan-2020 (15:00:43.000000),cdr_cuba,,False,,894,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
13162,2020-11-02 16:55:43,CU,Cuba,546028007.0,05-Apr-2012 (14:47:09.000000),carolinatweets_,,False,,152,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
13229,2020-11-02 18:15:25,CU,Cuba,928558782.0,05-Nov-2012 (22:56:31.000000),Moises7471470C,,False,,32,,True,  Alert:  renewed its travel advisory for Venezuela - Level 4: Do Not Travel  Do not travel to Venezuela due to cr…
13230,2020-11-02 17:43:33,CU,Cuba,928558782.0,05-Nov-2012 (22:56:31.000000),Moises7471470C,,False,,32,,True,  #Travisscott   had the roach brown outfit on 😭😭😭#Texas #HipHopAwards #Travis #COVID19 #shaderoom #LilUzi #adid…
13231,2020-11-02 18:15:25,CU,Cuba,928558782.0,05-Nov-2012 (22:56:31.000000),Moises7471470C,,False,,32,,True,  Alert:  renewed its travel advisory for Venezuela - Level 4: Do Not Travel  Do not travel to Venezuela due to cr…
13232,2020-11-02 17:43:33,CU,Cuba,928558782.0,05-Nov-2012 (22:56:31.000000),Moises7471470C,,False,,32,,True,  #Travisscott   had the roach brown outfit on 😭😭😭#Texas #HipHopAwards #Travis #COVID19 #shaderoom #LilUzi #adid…
13239,2020-11-02 17:33:55,CU,Cuba,478830505.0,30-Jan-2012 (18:20:09.000000),lasopadeizzy,,False,,611,,True,  second wave has happened bc we put the clocks back so 9pm is the old 10pm and everybody forgot to tell coronavirus so…
13394,2020-11-02 17:28:42,CU,Cuba,9.548557606174638e+17,20-Jan-2018 (23:18:48.000000),99millas89,,False,,252,,True,  Improving #ARDS trials design (including #COVID19 related) to enhance likelihood of benefit? Better understanding of pathophys…
13395,2020-11-02 17:28:37,CU,Cuba,235338843.0,07-Jan-2011 (23:17:11.000000),alexis5623,,False,,559,,True,  Donald Trump’s COVID-19 response has been the greatest failure of presidential leadership in our nation’s history.
13401,2020-11-02 17:26:49,CU,Cuba,208200858.0,26-Oct-2010 (20:57:09.000000),UNAMerida,,False,,3309,,True,  Two advantages—high availability and low price—have made #PrivateLabel products considerably more appealing to consumers duri…
13496,2020-11-02 18:24:05,CU,Cuba,250952167.0,12-Feb-2011 (04:07:47.000000),militarvzlano,,False,,8510,,True,  Europe's new daily deaths from the coronavirus have surpassed those of the US.  The current situation stands in sharp contr…
13559,2020-11-02 18:18:37,CU,Cuba,1.1537343619231826e+18,23-Jul-2019 (18:31:22.000000),BeatrzMendozaR1,,False,,3326,,False,#CubaPorLaSalud #ViviremosYVenceremos
13566,2020-11-02 18:18:37,CU,Cuba,1.1537343619231826e+18,23-Jul-2019 (18:31:22.000000),BeatrzMendozaR1,,False,,3326,,False,#CubaPorLaSalud #ViviremosYVenceremos
13579,2020-11-02 18:18:37,CU,Cuba,1.1537343619231826e+18,23-Jul-2019 (18:31:22.000000),BeatrzMendozaR1,,False,,3326,,False,#CubaPorLaSalud #ViviremosYVenceremos
13601,2020-11-02 18:17:47,CU,Cuba,73171471.0,10-Sep-2009 (17:34:22.000000),j3ys0n,,False,,226,,True,"  We NEED #FourMoreYears of Pres. Trump!   In just 5 MONTHS, we have recovered 52% of jobs lost due to the coronavirus crisis.   For…"
13606,2020-11-02 17:55:25,CU,Cuba,93898405.0,01-Dec-2009 (17:06:44.000000),henryraul,,False,,3377,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
13615,2020-11-02 17:55:25,CU,Cuba,93898405.0,01-Dec-2009 (17:06:44.000000),henryraul,,False,,3377,,True,  CIGB submits documents for the registration of its first vaccine candidate against the novel coronavirus.  #CubaPorLaVida #…
13622,2020-11-02 17:54:19,CU,Cuba,1240011222.0,03-Mar-2013 (22:56:09.000000),jackierch,,False,,342,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
13658,2020-11-02 17:52:29,CU,Cuba,47038772.0,14-Jun-2009 (05:14:09.000000),LaCruzVenezuela,,False,,1348,,True,"  As we recover from #COVID19, we must build back better and greener. #UKaid is supporting the  #LandForLife appeals…"
