,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:26:56,MN,Mongolia,1053933038.0,02-Jan-2013 (01:43:01.000000),Tom_jaak,,False,,3409,,False,So Proud of my country MONGOLIA🇲🇳
2,2020-11-02 16:31:24,MN,Mongolia,307618483.0,30-May-2011 (00:08:08.000000),DDSaran,,False,,1397,,True,"  Congratulations 🇲🇳 on a successful response to #COVID19, with 0 deaths so far &amp; no local transmission. Thank you to the peopl…"
4,2020-11-02 18:20:53,MN,Mongolia,2751772735.0,21-Aug-2014 (09:29:25.000000),hurganbantan,,False,,21668,,True,  COVID toes: the disturbing new coronavirus symptom 
5,2020-11-02 18:45:18,MN,Mongolia,1.1373317708971786e+18,08-Jun-2019 (12:13:19.000000),V8_S0UND,,False,,103,,False,Look at this dirty liar.
6,2020-11-02 18:51:36,MN,Mongolia,7.976733432939315e+17,13-Nov-2016 (05:31:59.000000),BataaJalsrai,,False,,412,,True,  COVID-19 hit commodities hard - these 8 charts show what we can expect  #commodities #covid19 
7,2020-11-02 19:15:00,MN,Mongolia,403181776.0,02-Nov-2011 (04:06:27.000000),ANDRO1711,,False,,81,,False,Prince William is facing backlash after reports emerged Sunday that he had tested positive for the coronavirus in April and kept his diagnosis secret.  a través de 
19,2020-11-03 03:05:32,MN,Mongolia,1727930592.0,04-Sep-2013 (07:47:58.000000),temuujin71,,False,,4943,,True,"  People of Mongolia, be proud of what you have achieved so far 🇲🇳🤞  0 local transmissions 0 deaths 300+ cases all imported…"
22,2020-11-03 02:41:39,MN,Mongolia,3145561568.0,09-Apr-2015 (03:08:34.000000),welcome2mongoli,,False,,26594,,True,"  People of Mongolia, be proud of what you have achieved so far 🇲🇳🤞  0 local transmissions 0 deaths 300+ cases all imported…"
24,2020-11-03 02:39:14,MN,Mongolia,92429469.0,25-Nov-2009 (02:36:46.000000),Burenee,,False,,553,,True,  A country we never talk about. #Mongolia acted swiftly and decisively to contain #covid and it worked. Nobody has died.   M…
25,2020-11-03 13:50:20,MN,Mongolia,3145561568.0,09-Apr-2015 (03:08:34.000000),welcome2mongoli,,False,,26597,,True,  Congratulations 🇲🇳 Mongolia!    
26,2020-11-03 14:06:39,MN,Mongolia,427312571.0,03-Dec-2011 (11:15:08.000000),dayanbilguun,,False,,5927,,False,Frozen Food Packages in China Keep Testing Positive For Coronavirus. Here's Why Health Experts Aren't Worried 
27,2020-11-03 14:07:57,MN,Mongolia,3566409558.0,15-Sep-2015 (01:59:31.000000),purevkhuuuu1,,False,,7283,,True,  COVID toes: the disturbing new coronavirus symptom 
29,2020-12-10 21:10:46,MN,Mongolia,603943554.0,09-Jun-2012 (19:36:22.000000),I0I0IOO0,,False,,457,,True,"  DUP councillor John Carson, who previously faced criticism for claiming the Covid-19 pandemic was God's judgement for…"
31,2020-12-10 22:32:41,MN,Mongolia,1727930592.0,04-Sep-2013 (07:47:58.000000),temuujin71,,False,,5334,,True,"  A Covid-fighting robot is set to patrol Key West’s airport in Florida, and it uses ultraviolet UVC light to kill germs in the air…"
32,2020-12-10 22:32:41,MN,Mongolia,1727930592.0,04-Sep-2013 (07:47:58.000000),temuujin71,,False,,5334,,True,"  A Covid-fighting robot is set to patrol Key West’s airport in Florida, and it uses ultraviolet UVC light to kill germs in the air…"
36,2020-12-10 22:43:24,MN,Mongolia,1727930592.0,04-Sep-2013 (07:47:58.000000),temuujin71,,False,,5334,,True,  BREAKING: FDA panel has recommended the approval of Pfizer coronavirus vaccine
38,2020-12-10 22:32:41,MN,Mongolia,1727930592.0,04-Sep-2013 (07:47:58.000000),temuujin71,,False,,5334,,True,"  A Covid-fighting robot is set to patrol Key West’s airport in Florida, and it uses ultraviolet UVC light to kill germs in the air…"
39,2020-12-10 22:43:24,MN,Mongolia,1727930592.0,04-Sep-2013 (07:47:58.000000),temuujin71,,False,,5334,,True,  BREAKING: FDA panel has recommended the approval of Pfizer coronavirus vaccine
41,2020-12-10 22:43:24,MN,Mongolia,1727930592.0,04-Sep-2013 (07:47:58.000000),temuujin71,,False,,5334,,True,  BREAKING: FDA panel has recommended the approval of Pfizer coronavirus vaccine
43,2020-12-11 01:21:38,MN,Mongolia,1.2798382409509478e+18,05-Jul-2020 (18:03:41.000000),JitterJ2,,False,,6,,False,We the people #hucksarmy #wethefury #clapper #joinclapper #opinion #freespeech #community #maskoff  #covid19  #trump2020 #biden2020 #election2020  via 
46,2020-12-11 01:21:35,MN,Mongolia,1.2798382409509478e+18,05-Jul-2020 (18:03:41.000000),JitterJ2,,False,,6,,False,We the people #hucksarmy #wethefury #clapper #joinclapper #opinion #freespeech #community #maskoff  #covid19  #trump2020 #biden2020 #election2020  via 
48,2020-12-11 01:21:38,MN,Mongolia,1.2798382409509478e+18,05-Jul-2020 (18:03:41.000000),JitterJ2,,False,,6,,False,We the people #hucksarmy #wethefury #clapper #joinclapper #opinion #freespeech #community #maskoff  #covid19  #trump2020 #biden2020 #election2020  via 
49,2020-12-11 01:21:35,MN,Mongolia,1.2798382409509478e+18,05-Jul-2020 (18:03:41.000000),JitterJ2,,False,,6,,False,We the people #hucksarmy #wethefury #clapper #joinclapper #opinion #freespeech #community #maskoff  #covid19  #trump2020 #biden2020 #election2020  via 
51,2020-12-11 05:08:22,MN,Mongolia,1.0977642776271462e+18,19-Feb-2019 (07:46:14.000000),WHOMongolia,,True,,1189,,False,"#HumanRights are critical to #COVID-19 response and recovery. To recover from the crisis, we must also address the #inequality pandemic. For that, we need to promote and protect economic, social, and cultural rights."
54,2020-12-11 05:08:22,MN,Mongolia,1.0977642776271462e+18,19-Feb-2019 (07:46:14.000000),WHOMongolia,,True,,1190,,False,"#HumanRights are critical to #COVID-19 response and recovery. To recover from the crisis, we must also address the #inequality pandemic. For that, we need to promote and protect economic, social, and cultural rights."
55,2020-12-11 05:08:22,MN,Mongolia,1.0977642776271462e+18,19-Feb-2019 (07:46:14.000000),WHOMongolia,,True,,1190,,False,"#HumanRights are critical to #COVID-19 response and recovery. To recover from the crisis, we must also address the #inequality pandemic. For that, we need to promote and protect economic, social, and cultural rights."
63,2020-12-11 10:37:59,MN,Mongolia,135790656.0,22-Apr-2010 (07:22:09.000000),dorjsuren,,False,,1442,,False,AstraZeneca to work on Covid vaccine combinations with Russia's Sputnik V developers  
64,2020-12-11 07:55:52,MN,Mongolia,1.0977642776271462e+18,19-Feb-2019 (07:46:14.000000),WHOMongolia,,True,,1190,,True,  #COVID19 confirmed cases and deaths reported by countries and areas in the  Western Pacific Region over the past 24 hours.…
