,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2,2020-11-02 15:47:35,PK,Pakistan,497131531.0,19-Feb-2012 (17:13:12.000000),RealNaumankhan,,False,,1115,,False,His saturation now dropped to 80 due to covid19. Kindly help him as patients with 80 or below saturation need ventilator support.           
11,2020-11-02 15:40:16,PK,Pakistan,1674977646.0,16-Aug-2013 (06:44:52.000000),Zeebutt786,,False,,180,,True,  Wear a mask.. 
17,2020-11-02 16:11:54,PK,Pakistan,145441638.0,19-May-2010 (00:26:07.000000),MuhammadZafar,,False,,4633,,True,  Please wear a mask for your and others safety. 
20,2020-11-02 15:23:32,PK,Pakistan,1.2597082570205427e+18,11-May-2020 (04:54:01.000000),Shahid11828,,False,,10,,False,A quick look at Covid-19 in each US election battleground state 
33,2020-11-02 16:08:41,PK,Pakistan,1.2597082570205427e+18,11-May-2020 (04:54:01.000000),Shahid11828,,False,,10,,False,Why wasn't the UK public told about Prince William's Covid diagnosis? Sunday night's news that Prince William tested positive for coronavirus earlier this year has raised questions as to why the British public was not told that the second-in-line to the throne had been ill d… 
34,2020-11-02 15:09:54,PK,Pakistan,1.1463291767204986e+18,03-Jul-2019 (08:05:48.000000),SalmanS98696496,,False,,326,,True,  Innocent children are at our mercy when it comes to observing preventive measures against #COVID19. Lets observe the SO…
35,2020-11-02 15:14:23,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,"  Iran closes mosques, schools in deadly ‘third wave’ of coronavirus. #VoiceOfNations "
36,2020-11-02 15:14:17,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,  Month-long COVID-19 lockdown announced in England. #VoiceOfNations 
37,2020-11-02 15:14:57,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,"  Thousands of setters in Israel have protested in Jerusalem in the latest weekly demonstration against PM Netanyahu, hi…"
38,2020-11-02 15:14:23,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,"  Iran closes mosques, schools in deadly ‘third wave’ of coronavirus. #VoiceOfNations "
39,2020-11-02 15:14:17,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,  Month-long COVID-19 lockdown announced in England. #VoiceOfNations 
40,2020-11-02 15:23:32,PK,Pakistan,1.2597082570205427e+18,11-May-2020 (04:54:01.000000),Shahid11828,,False,,10,,False,A quick look at Covid-19 in each US election battleground state 
41,2020-11-02 15:00:08,PK,Pakistan,831479743.0,18-Sep-2012 (17:09:26.000000),ZeeshanAwan_PTI,,False,,4992,,True,  Innocent children are at our mercy when it comes to observing preventive measures against #COVID19. Lets observe the SO…
42,2020-11-02 15:14:57,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,"  Thousands of setters in Israel have protested in Jerusalem in the latest weekly demonstration against PM Netanyahu, hi…"
43,2020-11-02 15:14:23,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,"  Iran closes mosques, schools in deadly ‘third wave’ of coronavirus. #VoiceOfNations "
44,2020-11-02 15:14:17,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,  Month-long COVID-19 lockdown announced in England. #VoiceOfNations 
45,2020-11-02 16:08:41,PK,Pakistan,1.2597082570205427e+18,11-May-2020 (04:54:01.000000),Shahid11828,,False,,10,,False,Why wasn't the UK public told about Prince William's Covid diagnosis? Sunday night's news that Prince William tested positive for coronavirus earlier this year has raised questions as to why the British public was not told that the second-in-line to the throne had been ill d… 
46,2020-11-02 15:14:57,PK,Pakistan,202041740.0,13-Oct-2010 (05:05:16.000000),Meri_Jan_Pak,,False,,154,,True,"  Thousands of setters in Israel have protested in Jerusalem in the latest weekly demonstration against PM Netanyahu, hi…"
47,2020-11-02 15:20:40,PK,Pakistan,1.301120524748296e+18,02-Sep-2020 (11:31:35.000000),Doctor5688,,False,,51,,True,"  1,123 cases were reported in the last 24 hours KPK alone has 39, 649 covid-19 positive patients! Going to hostel will…"
