,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:10:09,ML,Mali,9.79317138564567e+17,29-Mar-2018 (11:19:35.000000),MysteriosoX,,False,,2972,,False,Twits
1,2020-11-02 16:46:33,ML,Mali,595608640.0,31-May-2012 (16:09:59.000000),Rayme_Michaels,,False,,1136,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
2,2020-11-02 18:40:59,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1350,,False," Jeff I totally agree w/your guest about gyms should be open, help people’s stress levels, help cope.   By this argument #churches #synagogues #mosques should be open as well  #fitswoop   #COVID19"
3,2020-11-02 18:42:38,ML,Mali,1.2409849020378972e+18,20-Mar-2020 (12:54:00.000000),JeanetteSieber2,,False,,58,,True,"  An eighth grade Missouri boy died over the weekend of Covid-19 complications, becoming the state's, and one of the nation's, y…"
4,2020-11-02 19:58:00,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1350,,True,"  BS, if a protest can safely occur in #yyc people can show up for an hour to express their thanks to those who paid the ul…"
5,2020-11-02 18:40:59,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1351,,False," Jeff I totally agree w/your guest about gyms should be open, help people’s stress levels, help cope.   By this argument #churches #synagogues #mosques should be open as well  #fitswoop   #COVID19"
6,2020-11-02 19:58:00,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1351,,True,"  BS, if a protest can safely occur in #yyc people can show up for an hour to express their thanks to those who paid the ul…"
7,2020-11-02 18:48:42,ML,Mali,126015028.0,24-Mar-2010 (15:32:38.000000),CnutForkbeard,,False,,637,,False,You know what to do
8,2020-11-02 22:30:22,ML,Mali,1.2409849020378972e+18,20-Mar-2020 (12:54:00.000000),JeanetteSieber2,,False,,58,,True,  Long lines and Covid-19 worries aren't stopping parents from voting with their kids.  - 
9,2020-11-02 22:55:55,ML,Mali,126015028.0,24-Mar-2010 (15:32:38.000000),CnutForkbeard,,False,,641,,False,Just a conspiracy theory
10,2020-11-02 23:41:30,ML,Mali,1.2343953022803187e+18,02-Mar-2020 (08:29:36.000000),w_out,,False,,118,,False,Fcuk off 🐖
11,2020-11-03 00:32:12,ML,Mali,64969990.0,12-Aug-2009 (07:22:53.000000),dollofasia,,False,,184,,True,  Philippines gets $100-M loan from South Korea for COVID-19 response 
12,2020-11-03 02:01:39,ML,Mali,1.2343953022803187e+18,02-Mar-2020 (08:29:36.000000),w_out,,False,,119,,False,Piss off
14,2020-11-03 02:54:57,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Great interview with  former President of  about what's wrong with our #COVID19 policies. I…
15,2020-11-03 02:54:57,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Great interview with  former President of  about what's wrong with our #COVID19 policies. I…
16,2020-11-03 02:55:15,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Here is my censored interview with  former President of  about what’s wrong with Ontario’s…
17,2020-11-03 02:44:43,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Ottawa’s top doctor says it is time to learn to live with Covid-19 
18,2020-11-03 02:44:43,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Ottawa’s top doctor says it is time to learn to live with Covid-19 
19,2020-11-03 02:55:15,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Here is my censored interview with  former President of  about what’s wrong with Ontario’s…
20,2020-11-03 02:54:57,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Great interview with  former President of  about what's wrong with our #COVID19 policies. I…
21,2020-11-03 02:55:15,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Here is my censored interview with  former President of  about what’s wrong with Ontario’s…
22,2020-11-03 03:39:27,ML,Mali,2452177789.0,19-Apr-2014 (01:22:41.000000),MrWBond,,False,,827,,False,"Inverse?  Kale, according to the state of California, prevents COVID.   "
23,2020-11-03 02:44:43,ML,Mali,1.2570307789631488e+18,03-May-2020 (19:34:53.000000),NBridges71,,False,,1354,,True,  Ottawa’s top doctor says it is time to learn to live with Covid-19 
24,2020-11-03 13:59:08,ML,Mali,7.191980269092905e+17,10-Apr-2016 (16:19:06.000000),MoMeetsAisha,,False,,1512,,False," So the guy (Fauci) who approved funding $3.5 research in Wuhan Institute if Virology into... wait for it... gain of function research into bat Coronavirus - he’s the lefts hero?   I remember when the left used to be against Big Pharma, authoritarian state powers, and pro Rights"
26,2020-11-03 12:09:28,ML,Mali,16059156.0,30-Aug-2008 (22:12:15.000000),scrabblemalibu,,False,,184,,True,"   Trump claims hundreds of thousands of ballots are being mailed out to dead people in an attempt at voter fraud, bu…"
