,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2,2020-11-02 16:25:00,EG,Egypt,1644576966.0,04-Aug-2013 (07:14:28.000000),AfnanHammad10,,False,,548,,True,  This is why Petr Cech has been added to the Chelsea squad. Two of 11 ruled out are goalkeepers.
3,2020-11-02 15:11:22,EG,Egypt,211848704.0,04-Nov-2010 (12:46:28.000000),ahramonline,,True,,179095,,False,#Egypt gov't says anti-coronavirus measures could be reinstated; violators face fines   
4,2020-11-02 15:18:43,EG,Egypt,20395577.0,08-Feb-2009 (21:49:13.000000),MarkSomers,,True,,8558,,True,  An algorithm developed in the US has correctly identified people with #COVID19 only by the sound of their coughs.  In…
5,2020-11-02 16:45:53,EG,Egypt,252476116.0,15-Feb-2011 (08:13:20.000000),hany25jan,,False,,138,,True,"  You can't go inside the layers of a face mask, but this will get close to explaining to you how they contain the spread of c…"
6,2020-11-02 17:52:19,EG,Egypt,249905315.0,10-Feb-2011 (01:04:12.000000),Ahm0os,,False,,227,,True,  ICYMI:  Director Tedros Adhanom Ghebreyesus said he has gone into self-quarantine after contact with someone who tested…
8,2020-11-02 17:59:58,EG,Egypt,249905315.0,10-Feb-2011 (01:04:12.000000),Ahm0os,,False,,227,,True,  The third wave of COVID-19 in the U.S. is officially worse than the first two  
9,2020-11-02 17:59:58,EG,Egypt,249905315.0,10-Feb-2011 (01:04:12.000000),Ahm0os,,False,,227,,True,  The third wave of COVID-19 in the U.S. is officially worse than the first two  
10,2020-11-02 17:52:19,EG,Egypt,249905315.0,10-Feb-2011 (01:04:12.000000),Ahm0os,,False,,227,,True,  ICYMI:  Director Tedros Adhanom Ghebreyesus said he has gone into self-quarantine after contact with someone who tested…
12,2020-11-02 19:00:39,EG,Egypt,4699254091.0,02-Jan-2016 (23:28:13.000000),SalehGh28,,False,,86,,False,Waiting for the 53542738 #WAVE   #COVID #lockdown 
14,2020-11-02 19:32:45,EG,Egypt,211848704.0,04-Nov-2010 (12:46:28.000000),ahramonline,,True,,179097,,False,#Egypt gov't says anti-#coronavirus measures could be reinstated; violators face fines 
15,2020-11-02 18:43:20,EG,Egypt,1571699462.0,06-Jul-2013 (01:13:29.000000),___Sinuhe___,,False,,1313,,True,  Eighth grader dies from COVID-19 in Missouri  
16,2020-11-02 20:14:17,EG,Egypt,304865803.0,25-May-2011 (07:25:10.000000),A_shebl1878,,False,,1367,,True,"  France reports record new daily COVID-19 cases at more 52,000  "
17,2020-11-02 19:22:25,EG,Egypt,37768788.0,04-May-2009 (21:45:42.000000),jazh18,,False,,1509,,False,Artificial intelligence model detects asymptomatic Covid-19 infections through cellphone-recorded coughs | MIT News | Massachusetts Institute of Technology 
18,2020-11-03 00:46:17,EG,Egypt,353863837.0,12-Aug-2011 (19:15:15.000000),yenefana,,False,,37,,True,  #GullibleWhiteMaleTrumpVoters   NOTHING Donald Trump could ever do or say can convince me that he has put the interest o…
20,2020-11-03 00:01:18,EG,Egypt,20395577.0,08-Feb-2009 (21:49:13.000000),MarkSomers,,True,,8558,,False,"Since they're doing testing and y'know it's Liverpool, it would probably be prudent to check for chlamydia and herpes for good measure 👍"
25,2020-11-03 11:50:23,EG,Egypt,249905315.0,10-Feb-2011 (01:04:12.000000),Ahm0os,,False,,227,,True,  France returns to national lockdown amid new surge in coronavirus cases 
26,2020-11-03 11:50:23,EG,Egypt,249905315.0,10-Feb-2011 (01:04:12.000000),Ahm0os,,False,,227,,True,  France returns to national lockdown amid new surge in coronavirus cases 
27,2020-11-03 11:44:35,EG,Egypt,113353203.0,11-Feb-2010 (13:54:01.000000),inzerocent,,False,,1694,,True,"  52 STUDENTS, 6 teachers and 2 support staff from Kolanya Boys High School in Busia County test positive for Covid-19 h…"
29,2020-11-03 13:41:31,EG,Egypt,247499661.0,04-Feb-2011 (22:54:14.000000),sasosall,,False,,31527,,True,  Europe : Terrorism and Coronavirus  America : US elections  The rest of the world : Coronavirus  Egypt/Tunisia : Ya Dorra ya…
