,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
3,2020-11-02 15:18:04,SI,Slovenia,2388816265.0,14-Mar-2014 (10:01:46.000000),solskimuzej,,False,,368,,True,  1. Updated thread on children &amp; #COVID19 summarising the most recent research.  Summary: further evidence children &amp; adults…
4,2020-11-02 15:02:57,SI,Slovenia,219750467.0,25-Nov-2010 (19:28:52.000000),HZlatko,,False,,1083,,False,Good
10,2020-11-02 18:18:01,SI,Slovenia,448886479.0,28-Dec-2011 (13:50:36.000000),Chuppacadabra,,False,,1612,,True,"  When you go vote 🗳, remember these:  📌Kids locked in cages  📌Kids forcibly separated from parents  📌9.5 mil #COVID19 cases…"
14,2020-11-02 18:45:16,SI,Slovenia,407594189.0,08-Nov-2011 (08:32:54.000000),Rok_Novak,,False,,2416,,False,"Ok, with election and COVID-19 response debates raging... lets not forget the important questions in life. What is the optimal cocoa content in chocolate?"
16,2020-11-02 23:18:53,SI,Slovenia,1228195640.0,28-Feb-2013 (19:10:48.000000),mochereel,,False,,183,,False,Trump hints at firing Dr Fauci as US sets new COVID-19 case record  via 
17,2020-11-03 14:01:53,SI,Slovenia,275259787.0,31-Mar-2011 (23:10:37.000000),JanLievJ,,False,,599,,True,  People in England are being told to avoid all non-essential travel in the UK and abroad from Thursday.  Here's all you need to…
19,2020-11-03 14:03:22,SI,Slovenia,316089203.0,12-Jun-2011 (22:48:56.000000),novinarSI,,True,,3115,,True,  This urgent request by the  Ireland has been unanimously adopted by the  Annual meeting just now. Supp…
31,2020-12-11 00:01:17,SI,Slovenia,258856900.0,28-Feb-2011 (17:10:49.000000),JJansaSDS,,True,,77253,,False,"Live blog: EU leaders talk coronavirus, climate and budget – POLITICO "
32,2020-12-11 00:01:40,SI,Slovenia,1.275167416604033e+18,22-Jun-2020 (20:43:12.000000),informer_si,,False,,142,,True,"  Live blog: EU leaders talk coronavirus, climate and budget – POLITICO "
34,2020-12-10 23:40:10,SI,Slovenia,258856900.0,28-Feb-2011 (17:10:49.000000),JJansaSDS,,True,,77253,,True,  A vaccine for COVID-19 is on its way. Let’s talk about the science behind it.  Experts from  will explain the a…
36,2020-12-11 00:01:17,SI,Slovenia,258856900.0,28-Feb-2011 (17:10:49.000000),JJansaSDS,,True,,77254,,False,"Live blog: EU leaders talk coronavirus, climate and budget – POLITICO "
38,2020-12-10 23:40:10,SI,Slovenia,258856900.0,28-Feb-2011 (17:10:49.000000),JJansaSDS,,True,,77254,,True,  A vaccine for COVID-19 is on its way. Let’s talk about the science behind it.  Experts from  will explain the a…
48,2020-12-11 09:48:05,SI,Slovenia,398749234.0,26-Oct-2011 (13:59:40.000000),STA_English,,False,,3625,,False,"1,813 new coronavirus cases confirmed on Thursday, 49 die"
52,2020-12-11 08:30:16,SI,Slovenia,7197752.0,02-Jul-2007 (05:30:53.000000),Bulc_EU,,True,,37728,,False,"One simply can not overlook the power of: include everyone, be authentic, tell the truth, be decisive, embrace technology.  #leadership #women #covid19"
54,2020-12-11 06:18:07,SI,Slovenia,258856900.0,28-Feb-2011 (17:10:49.000000),JJansaSDS,,True,,77258,,True,  EU leaders meetong in Brussels have unblocked the €1.8 trillion budget and Covid-19 recovery fund after they reached a compromis…
56,2020-12-11 09:48:05,SI,Slovenia,398749234.0,26-Oct-2011 (13:59:40.000000),STA_English,,False,,3625,,False,"1,813 new coronavirus cases confirmed on Thursday, 49 die"
58,2020-12-11 06:18:07,SI,Slovenia,258856900.0,28-Feb-2011 (17:10:49.000000),JJansaSDS,,True,,77260,,True,  EU leaders meetong in Brussels have unblocked the €1.8 trillion budget and Covid-19 recovery fund after they reached a compromis…
64,2020-12-11 11:49:38,SI,Slovenia,316089203.0,12-Jun-2011 (22:48:56.000000),novinarSI,,True,,3199,,True,  📁 Earlier today IPI launched our new report 'Media Freedom in Europe in the Shadow of COVID19'  It brings together data…
