,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2,2020-11-02 15:32:33,KR,"Korea, Republic of",1.303644643511292e+18,09-Sep-2020 (10:42:11.000000),ridiculusumm,,False,,1,,False,Date in covid be like 🤣 #COVID19
6,2020-11-02 18:26:41,KR,"Korea, Republic of",9.280710184842609e+17,08-Nov-2017 (01:25:48.000000),StrongFaRtS___1,,False,,3052,,True,  ICYMI - EXCLUSIVE: Bill Gates Negotiated $100 Billion Contact Tracing Deal With Democratic Congressman Sponsor of Bill…
7,2020-11-02 18:48:15,KR,"Korea, Republic of",1593372115.0,14-Jul-2013 (13:07:41.000000),igoemojyo,,False,,115,,True,"  The question of the coronavirus’s origin remains a critical mystery that, if solved, could help prevent another pandemic and h…"
8,2020-11-02 19:59:52,KR,"Korea, Republic of",7.134609269978563e+17,25-Mar-2016 (20:21:55.000000),Youngah15,,False,,57,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
10,2020-11-02 23:41:55,KR,"Korea, Republic of",109053588.0,27-Jan-2010 (20:50:46.000000),dogilsaram,,False,,28,,False,  That maskless picture is from November 2019... So the #BidenScandal is now that Biden did not wear a mask in 2019 before the pandemic in the US?
11,2020-11-02 23:18:42,KR,"Korea, Republic of",104670449.0,14-Jan-2010 (01:27:07.000000),ehiziggy,,False,,1102,,True,  One thing you should know about COVID-19  It's still out there taking lives The numbers you are seeing are actually underre…
12,2020-11-02 23:12:29,KR,"Korea, Republic of",2674816380.0,23-Jul-2014 (19:02:10.000000),StephenDepuydt,,False,,274,,False,Don't Ignore the Good News On Covid-19 From Asia 
13,2020-11-02 23:52:46,KR,"Korea, Republic of",124776542.0,20-Mar-2010 (14:36:57.000000),deuxguy,,False,,620,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
21,2020-11-03 03:22:40,KR,"Korea, Republic of",1.1451216635345632e+18,30-Jun-2019 (00:07:34.000000),mariejhlee,,False,,174,,False,👇🏻
22,2020-11-03 03:09:47,KR,"Korea, Republic of",40364952.0,15-May-2009 (23:54:03.000000),Andirang,,False,,71,,True,  Hey USA! This is how voting was done in South Korea during the COVID-19 outbreak here. Record turnout and not a single ca…
25,2020-11-03 01:19:37,KR,"Korea, Republic of",339504061.0,21-Jul-2011 (06:18:36.000000),adullamgull,,False,,439,,True,  Domestic COVID-19 Status Update November 3: Total: +75 (46 acquired locally)  22 in Seoul (21 acquired locally) 27 in Gye…
30,2020-11-03 02:27:52,KR,"Korea, Republic of",930566035.0,06-Nov-2012 (21:22:03.000000),sarobards,,False,,35494,,True,  Catching COVID-19 does not mean you are sick or dying.  A COVID-19 case as reported by the media might be a case without…
31,2020-11-03 03:57:19,KR,"Korea, Republic of",138018593.0,28-Apr-2010 (12:00:24.000000),sunny_yi,,False,,184,,False,S. Korea provides emergency coronavirus aid to Ethiopia 
37,2020-12-10 21:19:10,KR,"Korea, Republic of",153634512.0,09-Jun-2010 (02:11:08.000000),blastedgums,,False,,108,,True,  A South Korean study raises concerns that six feet of social distance may not be far enough to keep people safe from the coron…
38,2020-12-10 21:31:51,KR,"Korea, Republic of",1.330681446789419e+18,23-Nov-2020 (01:17:22.000000),jarsofstars,,False,,16,,True,  The #Atlanta #BTSGrammyBillboard is up and it is MASSIVE AND BEAUTIFUL 😭💜😱😭💜  Please remember to wear a mask and be res…
39,2020-12-10 22:03:41,KR,"Korea, Republic of",1885268436.0,20-Sep-2013 (04:07:15.000000),Squallstrike,,False,,1283,,False,Pennsylvania goes into extreme lockdown through the holidays (as predicted).  Emperor Tom Wolf has spoken!  
40,2020-12-10 21:21:07,KR,"Korea, Republic of",598441818.0,03-Jun-2012 (14:06:31.000000),Ella_Reverti,,False,,64,,True,  There is no doubt  has revolutionized entertainment. They've taken it from a means of keeping us buoyant to helping us…
41,2020-12-10 21:37:03,KR,"Korea, Republic of",1.168003348626174e+18,01-Sep-2019 (03:31:32.000000),performer_arts,,False,,248,,True,  The #Atlanta #BTSGrammyBillboard is up and it is MASSIVE AND BEAUTIFUL 😭💜😱😭💜  Please remember to wear a mask and be res…
42,2020-12-10 21:34:57,KR,"Korea, Republic of",70332645.0,31-Aug-2009 (06:54:24.000000),aegyoed,,False,,490,,True,"  Republicans will take their shoes off at the airport for the rest of their lives for the 3,000 people who died on one day…"
43,2020-12-10 21:19:10,KR,"Korea, Republic of",153634512.0,09-Jun-2010 (02:11:08.000000),blastedgums,,False,,108,,True,  A South Korean study raises concerns that six feet of social distance may not be far enough to keep people safe from the coron…
45,2020-12-10 21:15:40,KR,"Korea, Republic of",81293985.0,10-Oct-2009 (06:08:47.000000),chadmath,,False,,1074,,False,...during an ultra-cold-Russian winter?... oh $#^+...
46,2020-12-11 00:41:12,KR,"Korea, Republic of",62290311.0,02-Aug-2009 (16:21:22.000000),Jasebechervaise,,False,,1378,,False,"Korea’s covid numbers remain stubbornly high but no exponential increases yet. With each wave comes a higher plateau. First it was 50, then 100 and now it’s 600+ or so."
47,2020-12-11 00:59:14,KR,"Korea, Republic of",1.0778586384572704e+18,26-Dec-2018 (09:28:19.000000),nrftin_,,False,,633,,True,  Me and my best friend reuniting once coronavirus has disappeared
48,2020-12-10 23:16:29,KR,"Korea, Republic of",116114156.0,21-Feb-2010 (06:17:20.000000),myaldo,,False,,14999,,True,  Ellen DeGeneres tests positive for Covid-19 
