,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
1,2020-11-02 16:22:09,NO,Norway,57959715.0,18-Jul-2009 (15:43:04.000000),elise4ever,,False,,478,,True,"  Corona hits Ajax: Tadic, Onana, Klaassen, Gravenberch, Labyad and Stekelenburg have tested positive for COVID-19 and will…"
3,2020-11-02 15:57:39,NO,Norway,384000335.0,02-Oct-2011 (22:01:23.000000),torekro,,False,,1186,,True,  Thread 
4,2020-11-02 15:55:05,NO,Norway,252595859.0,15-Feb-2011 (14:28:37.000000),RunarNordvik,,False,,2670,,False,Dušan Tadić joins Filip Đuričić on list of covid19-infected players ten days before Serbia’s decisive play off vs Scotland in Belgrade.
5,2020-11-02 15:02:30,NO,Norway,34600895.0,23-Apr-2009 (12:41:50.000000),bassetassen,,False,,300,,False,"   Sergio Santos is out with covid-19 I believe, so it's not him."
6,2020-11-02 16:35:22,NO,Norway,28361527.0,02-Apr-2009 (15:51:01.000000),PerHelgeM,,False,,6173,,False,Slik bare  kan.
7,2020-11-02 15:16:45,NO,Norway,1.239816438011048e+18,17-Mar-2020 (07:30:55.000000),FliegelDaniel,,False,,44,,True,  Thank you  for visiting our lab-in-a-lab facility in Valencia. This location will run our full sample-to-answe…
8,2020-11-02 17:36:59,NO,Norway,17113249.0,02-Nov-2008 (11:54:23.000000),svaar,,True,,9920,,False,«The prospect of an apolitical inquiry into the virus’s origins is dwindling.» interessant om hvordan WHO har lagt Kina legge premissene for granskingen av virusets opphav.  
9,2020-11-02 17:36:59,NO,Norway,17113249.0,02-Nov-2008 (11:54:23.000000),svaar,,True,,9919,,False,«The prospect of an apolitical inquiry into the virus’s origins is dwindling.» interessant om hvordan WHO har lagt Kina legge premissene for granskingen av virusets opphav.  
11,2020-11-02 18:27:24,NO,Norway,17113249.0,02-Nov-2008 (11:54:23.000000),svaar,,True,,9919,,True,"  Again:  NO COUNTRY HAS STOPPED THE VIRUS WITHOUT CONTROLLING ITS BORDERS  On June 25th, I alerted the EU that their interna…"
14,2020-11-02 17:33:54,NO,Norway,217119115.0,18-Nov-2010 (16:50:17.000000),monicacsango,,False,,2076,,True,  Stop the clocks: How coronavirus stopped the treadmill of life 
16,2020-11-02 18:27:24,NO,Norway,17113249.0,02-Nov-2008 (11:54:23.000000),svaar,,True,,9920,,True,"  Again:  NO COUNTRY HAS STOPPED THE VIRUS WITHOUT CONTROLLING ITS BORDERS  On June 25th, I alerted the EU that their interna…"
17,2020-11-02 17:07:02,NO,Norway,87722913.0,05-Nov-2009 (16:19:39.000000),shamziman,,False,,46,,True,"  Dear   As anyone can see for themselves, the picture you've posted (nicely edited to crop out the captio…"
19,2020-11-02 18:44:26,NO,Norway,45626323.0,08-Jun-2009 (18:02:43.000000),Minibiti,,False,,175,,True,"  EU coronavirus crisis right now is way, way worse than US. Helps explain those France, Germany (and UK) lockdowns.   Here’s…"
20,2020-11-02 18:44:46,NO,Norway,45626323.0,08-Jun-2009 (18:02:43.000000),Minibiti,,False,,175,,True,  US v EU on coronavirus deaths.  EU now also looking signficantly worse. Overall and per capita. 
22,2020-11-02 18:44:26,NO,Norway,45626323.0,08-Jun-2009 (18:02:43.000000),Minibiti,,False,,175,,True,"  EU coronavirus crisis right now is way, way worse than US. Helps explain those France, Germany (and UK) lockdowns.   Here’s…"
23,2020-11-02 18:28:01,NO,Norway,7027112.0,23-Jun-2007 (00:37:27.000000),morten,,True,,38655,,False,"  The WHO had developed COVID-19 tests, but Trump rejected them because he wanted the U.S. to develop it’s own tests, which wasted weeks of early testing and tracing."
24,2020-11-02 18:44:46,NO,Norway,45626323.0,08-Jun-2009 (18:02:43.000000),Minibiti,,False,,175,,True,  US v EU on coronavirus deaths.  EU now also looking signficantly worse. Overall and per capita. 
32,2020-11-02 23:38:10,NO,Norway,7027112.0,23-Jun-2007 (00:37:27.000000),morten,,True,,38654,,False,This is Bob. He grabbed Sally by the p***y and said he didn't like her war hero dad because he was captured.  Bob didn't wear a mask and infected Sally with COVID-19. Now Sally is bankrupt because she didn't have health insurance. That's OK with Bob. 
33,2020-11-02 23:36:44,NO,Norway,341013257.0,23-Jul-2011 (17:20:50.000000),lesliefrom784,,False,,502,,True,  JUST IN - Trinidad &amp; Tobago records no new COVID-19 cases for the first time in months.  Nov 2nd T&amp;T COVID by the Numbers…
34,2020-11-03 00:22:58,NO,Norway,7027112.0,23-Jun-2007 (00:37:27.000000),morten,,True,,38654,,False,   The 33% increase doesn't offset the prior quarter's decline. Roughly half of the Americans who lost their jobs in the pandemic remain unemployed. The recovery also faces risks from increasing COVID-19 case counts.
35,2020-11-02 23:38:10,NO,Norway,7027112.0,23-Jun-2007 (00:37:27.000000),morten,,True,,38654,,False,This is Bob. He grabbed Sally by the p***y and said he didn't like her war hero dad because he was captured.  Bob didn't wear a mask and infected Sally with COVID-19. Now Sally is bankrupt because she didn't have health insurance. That's OK with Bob. 
36,2020-11-03 00:22:58,NO,Norway,7027112.0,23-Jun-2007 (00:37:27.000000),morten,,True,,38654,,False,   The 33% increase doesn't offset the prior quarter's decline. Roughly half of the Americans who lost their jobs in the pandemic remain unemployed. The recovery also faces risks from increasing COVID-19 case counts.
37,2020-11-02 23:34:43,NO,Norway,53876028.0,05-Jul-2009 (09:24:45.000000),olavtorvund,,False,,7748,,True,  John Oliver Slams Trump's Coronavirus Response Ahead of Election 
38,2020-11-03 02:58:09,NO,Norway,945776192.0,13-Nov-2012 (13:17:22.000000),norwaytodaynews,,False,,3599,,False,Norwegian health official: Many people will receive coronavirus vaccine in April 
