,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
22,2020-11-02 15:26:56,PT,Portugal,849834380.0,27-Sep-2012 (19:35:48.000000),clarisselibano,,False,,295,,True,  QUARANTINE is slightly different from ISOLATION. Follow this thread for explanation ⬇️  #COVID19
25,2020-11-02 16:23:31,PT,Portugal,2203204031.0,01-Dec-2013 (14:21:26.000000),Eff4_Farah,,False,,2102,,True,"  Anyone who works with youth projects tackling knife crime, please see research participation opportunity below!"
27,2020-11-02 16:23:21,PT,Portugal,2203204031.0,01-Dec-2013 (14:21:26.000000),Eff4_Farah,,False,,2102,,True,  We are conducting short interviews to examine the impact of COVID-19 on youth knife crime. If you work with young people…
28,2020-11-02 16:42:48,PT,Portugal,125094426.0,21-Mar-2010 (17:26:45.000000),fmmdias,,False,,16,,False,Fast. Powerful. Scalable. Three reasons high-performance computing is well-suited to take on the search for a COVID-19 treatment. Get the details from  #HPC #healthcare  
30,2020-11-02 15:49:54,PT,Portugal,1868864634.0,15-Sep-2013 (19:20:31.000000),esquiladas,,False,,856,,True,  BREAKING: 11 Ajax players have tested positive for COVID-19 ahead of their Champions League match against Midtjylland…
33,2020-11-02 15:49:54,PT,Portugal,1868864634.0,15-Sep-2013 (19:20:31.000000),esquiladas,,False,,856,,True,  BREAKING: 11 Ajax players have tested positive for COVID-19 ahead of their Champions League match against Midtjylland…
54,2020-11-02 15:54:38,PT,Portugal,25842391.0,22-Mar-2009 (16:56:58.000000),goncalocvale,,False,,3314,,False,Pumba!
76,2020-11-02 15:38:58,PT,Portugal,81806580.0,12-Oct-2009 (09:53:11.000000),joceldeguzman,,False,,579,,False,When people suddenly felt the absurdity but unable to understand our heightened Sisyphean condition in time of #COVID19
83,2020-11-02 15:54:38,PT,Portugal,25842391.0,22-Mar-2009 (16:56:58.000000),goncalocvale,,False,,3314,,False,Pumba!
86,2020-11-02 16:23:21,PT,Portugal,2203204031.0,01-Dec-2013 (14:21:26.000000),Eff4_Farah,,False,,2102,,True,  We are conducting short interviews to examine the impact of COVID-19 on youth knife crime. If you work with young people…
91,2020-11-02 16:23:31,PT,Portugal,2203204031.0,01-Dec-2013 (14:21:26.000000),Eff4_Farah,,False,,2102,,True,"  Anyone who works with youth projects tackling knife crime, please see research participation opportunity below!"
96,2020-11-02 17:00:11,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,False,Why the Swedish Model for Fighting COVID-19 Is a Disaster | Time 
101,2020-11-02 17:00:11,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,False,Why the Swedish Model for Fighting COVID-19 Is a Disaster | Time 
102,2020-11-02 17:12:53,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,True,  Coronavirus: Daily UK deaths and new cases fall slightly 
108,2020-11-02 17:12:53,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,True,  Coronavirus: Daily UK deaths and new cases fall slightly 
109,2020-11-02 17:12:53,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,True,  Coronavirus: Daily UK deaths and new cases fall slightly 
111,2020-11-02 16:46:49,PT,Portugal,511302445.0,02-Mar-2012 (03:37:16.000000),MatOutside,,False,,619,,True,  More disinfo from the Trump campaign (and former acting Director of National Intelligence). The picture on the left is…
124,2020-11-02 16:46:49,PT,Portugal,511302445.0,02-Mar-2012 (03:37:16.000000),MatOutside,,False,,619,,True,  More disinfo from the Trump campaign (and former acting Director of National Intelligence). The picture on the left is…
127,2020-11-02 17:00:11,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,False,Why the Swedish Model for Fighting COVID-19 Is a Disaster | Time 
136,2020-11-02 17:12:53,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,True,  Coronavirus: Daily UK deaths and new cases fall slightly 
137,2020-11-02 17:00:11,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,False,Why the Swedish Model for Fighting COVID-19 Is a Disaster | Time 
140,2020-11-02 17:12:53,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,True,  Coronavirus: Daily UK deaths and new cases fall slightly 
141,2020-11-02 17:00:11,PT,Portugal,1.107805038175494e+18,19-Mar-2019 (00:44:37.000000),Antonio58961851,,False,,1686,,False,Why the Swedish Model for Fighting COVID-19 Is a Disaster | Time 
153,2020-11-02 17:23:04,PT,Portugal,55614136.0,10-Jul-2009 (17:17:23.000000),FluteAndDrum,,False,,106,,True,"  18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  "
161,2020-11-02 16:59:42,PT,Portugal,339782638.0,21-Jul-2011 (17:07:04.000000),tmac10s,,False,,882,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
164,2020-11-02 17:47:29,PT,Portugal,55614136.0,10-Jul-2009 (17:17:23.000000),FluteAndDrum,,False,,106,,True,"  More than a dozen caregivers in Pennsylvania, one of the country’s most important battleground states, described how their…"
165,2020-11-02 17:23:04,PT,Portugal,55614136.0,10-Jul-2009 (17:17:23.000000),FluteAndDrum,,False,,107,,True,"  18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  "
177,2020-11-02 17:47:29,PT,Portugal,55614136.0,10-Jul-2009 (17:17:23.000000),FluteAndDrum,,False,,107,,True,"  More than a dozen caregivers in Pennsylvania, one of the country’s most important battleground states, described how their…"
180,2020-11-02 17:23:04,PT,Portugal,55614136.0,10-Jul-2009 (17:17:23.000000),FluteAndDrum,,False,,107,,True,"  18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  "
181,2020-11-02 17:47:29,PT,Portugal,55614136.0,10-Jul-2009 (17:17:23.000000),FluteAndDrum,,False,,107,,True,"  More than a dozen caregivers in Pennsylvania, one of the country’s most important battleground states, described how their…"
195,2020-11-02 18:08:18,PT,Portugal,9.692646058003948e+17,01-Mar-2018 (17:34:24.000000),handy_Many_,,False,,226,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
199,2020-11-02 18:41:13,PT,Portugal,23684186.0,10-Mar-2009 (23:48:12.000000),carlos_martinho,,False,,1010,,True,  Slovakia tested over 3.6 million people for coronavirus — almost its entire teen and adult population.  The result? 1.0…
207,2020-11-02 19:55:37,PT,Portugal,19806917.0,31-Jan-2009 (05:53:21.000000),freitasferraz,,False,,135,,True,  A heartfelt thank you to the more than 2.3 million people worldwide who have raised your voice in support of the  a…
212,2020-11-02 19:51:00,PT,Portugal,619399904.0,26-Jun-2012 (20:34:22.000000),NMSRVR,,False,,91,,True,"  The effect of coronavirus on Liverpool's hospitals, the city with more Covid patients than anywhere in the UK.  My onli…"
214,2020-11-02 19:54:12,PT,Portugal,9.692646058003948e+17,01-Mar-2018 (17:34:24.000000),handy_Many_,,False,,226,,True,  Coronavirus Riskiest Activities 🎯 Information is beautiful indeed ❤️ 
215,2020-11-02 19:50:14,PT,Portugal,494814362.0,17-Feb-2012 (08:55:52.000000),GaianLight,,False,,1390,,False,"In Czechia, COVID-19 is killing many.  #earth #pandemic #covid19 #coronavirus  #virus #sarscov2 #czechia #didYouKnow   #stayhome #wearmasks  "
217,2020-11-02 19:24:15,PT,Portugal,1.241183153571664e+18,21-Mar-2020 (02:01:52.000000),aura_angelic,,False,,605,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
218,2020-11-02 19:40:21,PT,Portugal,1.241183153571664e+18,21-Mar-2020 (02:01:52.000000),aura_angelic,,False,,605,,False,This governor is a rino and an asshole controlled by China and not for the american people. I back the police to do their jobs and it is time to arrest this idiotic jerk.
219,2020-11-02 19:24:15,PT,Portugal,1.241183153571664e+18,21-Mar-2020 (02:01:52.000000),aura_angelic,,False,,606,,True,"  As of today, 33,772,999 of the diagnosed COVID-19 cases have recovered.  This number doesn’t include all the people who…"
220,2020-11-02 20:00:02,PT,Portugal,1.250488155930874e+18,15-Apr-2020 (18:16:36.000000),exitthematrixxx,,False,,1748,,True,  Can someone please answer this for me. And I’m serious. What is Biden going to do to get COVID-19 under control that isn’…
221,2020-11-02 19:40:21,PT,Portugal,1.241183153571664e+18,21-Mar-2020 (02:01:52.000000),aura_angelic,,False,,606,,False,This governor is a rino and an asshole controlled by China and not for the american people. I back the police to do their jobs and it is time to arrest this idiotic jerk.
278,2020-11-02 23:45:08,PT,Portugal,127173268.0,28-Mar-2010 (09:12:19.000000),LotusB10,,False,,7763,,False," Imagine suppressing information on COVID-19 at inception and now, lying about it?!! The evil 🤡 should be removed from the WH but.. it’s bordered up with the non-scalable wall in D.C. What a Joke &amp; coward?!!"
281,2020-11-03 00:55:20,PT,Portugal,493462736.0,15-Feb-2012 (20:40:36.000000),Mr_Dike,,False,,136,,True,  During the middle ages they celebrated the end of the plague with wine and orgies.  Does anyone know if there is anything p…
282,2020-11-02 23:52:37,PT,Portugal,27233610.0,28-Mar-2009 (14:11:20.000000),l13d,,False,,466,,True,  what’s phony here is  misrepresenting a photo of Biden from 2019
285,2020-11-03 00:15:53,PT,Portugal,461339527.0,11-Jan-2012 (18:05:08.000000),MInesSilva,,False,,144,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
288,2020-11-03 00:33:13,PT,Portugal,281530726.0,13-Apr-2011 (13:23:37.000000),roky_ab,,False,,534,,True,  COVID-19 needs to be over so I can go back to doing this again 😔 
296,2020-11-02 23:27:06,PT,Portugal,20849083.0,14-Feb-2009 (14:21:49.000000),spomba,,False,,1916,,True,  Museums and galleries to close across England as second Covid-19 lockdown announced    
297,2020-11-03 02:47:58,PT,Portugal,762082530.0,16-Aug-2012 (18:34:14.000000),ArturBotelho1,,False,,76,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
301,2020-11-03 03:37:34,PT,Portugal,3007815702.0,02-Feb-2015 (11:09:46.000000),MorpheusBeing,,False,,4970,,True,  ADF member fined thousands of dollars over alleged breach of coronavirus quarantine in Darwin 
302,2020-11-03 01:25:34,PT,Portugal,7.369646566701015e+17,29-May-2016 (16:57:21.000000),DanielaCarina15,,False,,804,,True,  COVID-19 needs to be over so I can go back to doing this again 😔 
304,2020-11-03 03:26:56,PT,Portugal,49035289.0,20-Jun-2009 (15:42:18.000000),LabrishJamaica,,False,,916,,True,  Our administration literally left this White House a playbook that would have shown them how to respond before COVID-19 re…
319,2020-11-03 14:01:17,PT,Portugal,389149189.0,11-Oct-2011 (23:09:31.000000),PFerreira71,,False,,98,,False,COVID19 PCR Tests are Scientifically Meaningless  
320,2020-11-03 13:43:42,PT,Portugal,1.2880907057521336e+18,28-Jul-2020 (12:35:37.000000),teleopecabrona,,False,,24,,False,#employeeexperience
321,2020-11-03 13:38:04,PT,Portugal,121880453.0,10-Mar-2010 (22:27:49.000000),steadybedi,,False,,201,,False,  I don't care about Opinions. I care about facts. These conspiracy theorists or dissenting folk who probably are out for fame or a quick buck aren't looking at the data objectively 
324,2020-11-03 12:41:28,PT,Portugal,53466923.0,03-Jul-2009 (18:56:41.000000),terc34,,False,,549,,False,Bem
333,2020-11-03 14:01:17,PT,Portugal,389149189.0,11-Oct-2011 (23:09:31.000000),PFerreira71,,False,,98,,False,COVID19 PCR Tests are Scientifically Meaningless  
