,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
8,2020-11-02 15:12:09,HN,Honduras,261320586.0,05-Mar-2011 (18:25:02.000000),RevDrDrPhill,,False,,749,,True,  I was also asleep at 10:30 PM last night since I have to get my kids ready for school early this morning and work today from h…
24,2020-11-02 18:40:13,HN,Honduras,9.005486379016765e+17,24-Aug-2017 (02:41:41.000000),sandykpalmar,,False,,439,,True,  Opportunists are trying to profit from people’s concern over #COVID19.  Cyber criminals will try to trick you into clic…
34,2020-11-03 03:30:43,HN,Honduras,562527892.0,25-Apr-2012 (02:31:01.000000),julio_anidem,,False,,3,,False,Panem et Circenses... indeed Mother Nature is showing us mercy with Covid19.
41,2020-11-03 04:07:46,HN,Honduras,3899406259.0,15-Oct-2015 (05:17:26.000000),cbustillo1983,,False,,29,,True,  Our administration literally left this White House a playbook that would have shown them how to respond before COVID-19 re…
50,2020-11-03 12:39:40,HN,Honduras,9.005486379016765e+17,24-Aug-2017 (02:41:41.000000),sandykpalmar,,False,,438,,True,"  Participate live at #IGF2020: Pre-Event #90 COVID-19 as a flywheel for the digital transformation of the economy, public a…"
53,2020-12-11 01:43:27,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,  📣 BREAKING: INTERPOL has issued a global alert to law enforcement across its 194 member countries warning them to prepare…
54,2020-12-11 01:43:27,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,  📣 BREAKING: INTERPOL has issued a global alert to law enforcement across its 194 member countries warning them to prepare…
55,2020-12-11 01:20:40,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,  Wait this is a stunning admission. AP reporting that Biden’s pick for AG will now be vetted for personal loyalty in light…
57,2020-12-11 01:22:07,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,"  We could see 50,000 Americans dying from Covid-19 between now and Christmas Day."
58,2020-12-11 01:20:40,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,  Wait this is a stunning admission. AP reporting that Biden’s pick for AG will now be vetted for personal loyalty in light…
59,2020-12-11 01:22:07,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,"  We could see 50,000 Americans dying from Covid-19 between now and Christmas Day."
62,2020-12-11 01:43:27,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,  📣 BREAKING: INTERPOL has issued a global alert to law enforcement across its 194 member countries warning them to prepare…
63,2020-12-11 01:20:40,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,  Wait this is a stunning admission. AP reporting that Biden’s pick for AG will now be vetted for personal loyalty in light…
64,2020-12-11 01:22:07,HN,Honduras,299538347.0,16-May-2011 (08:16:13.000000),ThaKingOfNY,,False,,738,,True,"  We could see 50,000 Americans dying from Covid-19 between now and Christmas Day."
