,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
1,2020-11-02 15:56:22,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,"  &gt;&gt;&gt;But if they were tested before death and they are corona-positive, then they fit into the category of those who died from th…"
2,2020-11-02 16:05:55,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,  If you vote for Biden he said he will make it mandatory NATIONWIDE to wear a mask! A mask for the next 4 years. Is that what…
8,2020-11-02 16:12:17,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,"  This pandemic is created with frauded epidemiological models, denial of working medications and weaponized PCR testing.…"
12,2020-11-02 16:05:55,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,  If you vote for Biden he said he will make it mandatory NATIONWIDE to wear a mask! A mask for the next 4 years. Is that what…
13,2020-11-02 15:56:22,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,"  &gt;&gt;&gt;But if they were tested before death and they are corona-positive, then they fit into the category of those who died from th…"
15,2020-11-02 16:12:17,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,"  This pandemic is created with frauded epidemiological models, denial of working medications and weaponized PCR testing.…"
16,2020-11-02 16:05:55,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,  If you vote for Biden he said he will make it mandatory NATIONWIDE to wear a mask! A mask for the next 4 years. Is that what…
18,2020-11-02 16:00:25,GR,Greece,2412706597.0,26-Mar-2014 (14:34:18.000000),prof_bhc,,False,,105,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
24,2020-11-02 16:12:17,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,"  This pandemic is created with frauded epidemiological models, denial of working medications and weaponized PCR testing.…"
26,2020-11-02 15:56:22,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,"  &gt;&gt;&gt;But if they were tested before death and they are corona-positive, then they fit into the category of those who died from th…"
31,2020-11-02 15:51:10,GR,Greece,59450828.0,23-Jul-2009 (12:51:24.000000),muskyfan,,False,,4526,,True,  You cannot govern a country without science. You cannot govern a country without empathy. You cannot govern a country wit…
67,2020-11-02 16:22:32,GR,Greece,2190404310.0,12-Nov-2013 (14:00:10.000000),mynefeli,,False,,579,,False,"Betsy DeVos is not tracking COVID-19 at schools. Luckily, Biden would replace her immediately. #care2 "
75,2020-11-02 15:43:34,GR,Greece,9378802.0,11-Oct-2007 (14:22:26.000000),asteris,,True,,17363,,True,"  SMS restriction system going back into effect in Thessaloniki, Serres. Starting tomorrow, for following categories.   #Gre…"
81,2020-11-02 17:53:52,GR,Greece,1.2762026975831818e+18,25-Jun-2020 (17:17:04.000000),Marflo66036248,,False,,2430,,False,🇮🇹⚠️Back to March: the Army builds field sanitary structures to help the fight vs Coronavirus. 
82,2020-11-02 18:03:24,GR,Greece,67277206.0,20-Aug-2009 (09:59:01.000000),aroumeli,,False,,194,,True,  The former acting Director of National Intelligence is personally spreading disinformation via bogus photographs on election…
83,2020-11-02 16:47:11,GR,Greece,77731013.0,27-Sep-2009 (13:04:23.000000),gnomeslair,,True,,9612,,True,"  The global response to the coronavirus really shows that our governments are willing to do anything, ANYTHING except inv…"
90,2020-11-02 16:55:19,GR,Greece,1563592711.0,02-Jul-2013 (16:27:38.000000),UBKFrantisek,,False,,790,,True,"  😷 He spent 19 days in isolation after contracting #COVID19   💪 Yesterday he scored twice on his comeback, finding the net just…"
103,2020-11-02 18:20:41,GR,Greece,1.0967978805836676e+18,16-Feb-2019 (15:46:07.000000),HanianEmpress,,False,,29778,,True,"  This photo was taken in 2019, well BEFORE anyone was wearing masks. This is a blatant manipulation of media- they cropped out…"
108,2020-11-02 17:16:56,GR,Greece,9378802.0,11-Oct-2007 (14:22:26.000000),asteris,,True,,17364,,True,"  Slight dip in new #coronavirus cases in #Greece, but still in four figures. 1,152 new #COVID19 cases, 13 more intubations, 7…"
