,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
8,2020-11-02 17:00:00,UA,Ukraine,3390749657.0,24-Jul-2015 (09:57:31.000000),112NewsFeed,,False,,2412,,False,507 employees of Interior Ministry infected with #Covid19 in 24 hours -  
9,2020-11-02 18:24:21,UA,Ukraine,2239897892.0,10-Dec-2013 (23:27:52.000000),Ukrainolution,,False,,15424,,True,  Anger in Europe after top ⁦ official makes cough-filled tour and then tests positive 
10,2020-11-02 19:16:16,UA,Ukraine,1.1120603590770606e+18,30-Mar-2019 (18:33:45.000000),UkrainianAK,,False,,1396,,False,I wonder who’s job that is? 
17,2020-11-02 22:41:24,UA,Ukraine,7.19199284827177e+17,10-Apr-2016 (16:24:06.000000),Other_ti_pidor,,False,,3086,,False, Say hi to #COVID19
19,2020-11-03 14:03:21,UA,Ukraine,9.953116077262028e+17,12-May-2018 (14:35:54.000000),PaperBurners444,,False,,130,,True,  Judicial Watch announced a fed judge ordered the HHS to begin producing communications &amp; other records of NIAID Director…
20,2020-11-03 13:32:46,UA,Ukraine,1.0511292751039612e+18,0,DarrellShermann,,False,,23,,False,      I mean who in the hell does drive thru voting? Lmao never heard of any such non sense in my life so why even start it now? Cause of coronavirus &amp; ya wanna stay safe? Chances are the poll workers you talk to have already dealt with an infected person because they’re still....
28,2020-11-03 12:09:24,UA,Ukraine,351276846.0,09-Aug-2011 (01:14:44.000000),keepingitKyle,,False,,40403,,False,Unexpected tribulations re. coronavirus and borders have led me to Istanbul.   If you're a pal and a local let me know as I'll be here for an undetermined length of time 🙃
35,2020-12-10 22:47:14,UA,Ukraine,110534221.0,01-Feb-2010 (22:04:58.000000),RomanKoloyanov,,False,,30,,True,  Fifty ventilators from 🇩🇰 for use in the hospital treatment of COVID-19 patients have now arrived in 🇺🇦delivered throug…
36,2020-12-10 21:44:54,UA,Ukraine,2239897892.0,10-Dec-2013 (23:27:52.000000),Ukrainolution,,False,,15402,,True,  Important video call with Assistant Administrator for USAID Bureau for Europe ⁦ Discussed 🇺🇸 technical ass…
37,2020-12-10 23:36:55,UA,Ukraine,1.1481931681286513e+18,08-Jul-2019 (11:32:38.000000),Andre47018234,,False,,46,,True,  Urban dwellers have been fantasizing about escaping to the suburbs and countryside since the COVID-19 pandemic hit. But…
39,2020-12-10 23:36:55,UA,Ukraine,1.1481931681286513e+18,08-Jul-2019 (11:32:38.000000),Andre47018234,,False,,47,,True,  Urban dwellers have been fantasizing about escaping to the suburbs and countryside since the COVID-19 pandemic hit. But…
43,2020-12-10 23:36:55,UA,Ukraine,1.1481931681286513e+18,08-Jul-2019 (11:32:38.000000),Andre47018234,,False,,46,,True,  Urban dwellers have been fantasizing about escaping to the suburbs and countryside since the COVID-19 pandemic hit. But…
48,2020-12-11 02:52:38,UA,Ukraine,1.1481931681286513e+18,08-Jul-2019 (11:32:38.000000),Andre47018234,,False,,48,,True,"  7 Best Home Treadmills for Running in 2021 – Reviews Rain, crowded trails, and ways, and COVID-19 are largely genuine obstacle…"
49,2020-12-11 02:22:01,UA,Ukraine,1.1481931681286513e+18,08-Jul-2019 (11:32:38.000000),Andre47018234,,False,,48,,True,  Urban dwellers have been fantasizing about escaping to the suburbs and countryside since the COVID-19 pandemic hit. But…
50,2020-12-11 05:49:50,UA,Ukraine,1536008954.0,21-Jun-2013 (07:56:28.000000),Zirzla,,False,,10,,True,"  Pfizer's coronavirus vaccine was approved by an F.D.A. advisory panel on Thursday, paving the way for agency approval within d…"
51,2020-12-11 02:52:38,UA,Ukraine,1.1481931681286513e+18,08-Jul-2019 (11:32:38.000000),Andre47018234,,False,,48,,True,"  7 Best Home Treadmills for Running in 2021 – Reviews Rain, crowded trails, and ways, and COVID-19 are largely genuine obstacle…"
52,2020-12-11 02:22:01,UA,Ukraine,1.1481931681286513e+18,08-Jul-2019 (11:32:38.000000),Andre47018234,,False,,48,,True,  Urban dwellers have been fantasizing about escaping to the suburbs and countryside since the COVID-19 pandemic hit. But…
75,2020-12-11 06:16:09,UA,Ukraine,1612252508.0,22-Jul-2013 (07:18:54.000000),yabchenko1,,False,,42,,True,"  Today,  launches its new COVID-19 Data Futures Platform - a one-stop shop for evidence-based policy making towards 2030…"
76,2020-12-11 11:03:27,UA,Ukraine,163162641.0,05-Jul-2010 (18:16:27.000000),katiewelsford,,False,,205,,True,  The outbreak of COVID-19 at #BrookHouse detention centre was completely predictable - and utterly preventable.  Nobody…
78,2020-12-11 12:52:43,UA,Ukraine,87182135.0,03-Nov-2009 (12:49:18.000000),Niki344,,False,,0,,True,  Gap closing three-story flagship on Chicago’s Magnificent Mile➡  ⬅ CLICK HERE to view article. #chic…
79,2020-12-11 13:46:51,UA,Ukraine,3390749657.0,24-Jul-2015 (09:57:31.000000),112NewsFeed,,False,,2410,,False,"Famous director #KimKiDuk dies from #Covid19, - media   "
82,2020-12-11 12:47:02,UA,Ukraine,7.899474579878339e+17,22-Oct-2016 (21:52:05.000000),NicolashAgueroh,,False,,2,,True,  Gap closing three-story flagship on Chicago’s Magnificent Mile➡  ⬅ CLICK HERE to view article. #chic…
