,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:21:51,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,#NoImpunity PEC update: an unprecedented heavy toll: at least 447 #journalists died from #Covid-19 in 52 countries since March more on:  #JournoSafe #PressFreedom #TruthNeverDies 
1,2020-11-02 15:21:51,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,#NoImpunity PEC update: an unprecedented heavy toll: at least 447 #journalists died from #Covid-19 in 52 countries since March more on:  #JournoSafe #PressFreedom #TruthNeverDies 
2,2020-11-02 16:02:16,CH,Switzerland,107346436.0,22-Jan-2010 (07:54:26.000000),ESCMID,,False,,22330,,False,"Producing results and therapeutics quickly has been a major issue surrounding the #SARSCoV2 outbreak.  sponsored an #ECCVID session on the issue of accelerating viral research workflows, vaccine and drug development.  See it here:  #COVID19 "
3,2020-11-02 15:24:45,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,#NoImpunity PEC update #Peru #India #Ecuador #Bangladesh #Mexico with the heaviest toll among #journalists #COVID19  #JournoSafe
5,2020-11-02 15:26:26,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,PEC update: #India the second deadliest country for #journalists dying from #Covid19 according to PEC  
6,2020-11-02 15:30:17,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,"After 8 months 442 #journalists have died from #Covid19 in 52 countries. Latin America leads by far with more than half of the victims, or 251 deaths #AmericaLatina #Peru #Brasil #Ecuador #Mexico "
7,2020-11-02 15:30:17,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,"After 8 months 442 #journalists have died from #Covid19 in 52 countries. Latin America leads by far with more than half of the victims, or 251 deaths #AmericaLatina #Peru #Brasil #Ecuador #Mexico "
8,2020-11-02 15:26:26,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,PEC update: #India the second deadliest country for #journalists dying from #Covid19 according to PEC  
9,2020-11-02 15:24:45,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,#NoImpunity PEC update #Peru #India #Ecuador #Bangladesh #Mexico with the heaviest toll among #journalists #COVID19  #JournoSafe
12,2020-11-02 15:21:51,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,#NoImpunity PEC update: an unprecedented heavy toll: at least 447 #journalists died from #Covid-19 in 52 countries since March more on:  #JournoSafe #PressFreedom #TruthNeverDies 
16,2020-11-02 15:30:17,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,"After 8 months 442 #journalists have died from #Covid19 in 52 countries. Latin America leads by far with more than half of the victims, or 251 deaths #AmericaLatina #Peru #Brasil #Ecuador #Mexico "
17,2020-11-02 15:26:26,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,PEC update: #India the second deadliest country for #journalists dying from #Covid19 according to PEC  
18,2020-11-02 15:24:45,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,#NoImpunity PEC update #Peru #India #Ecuador #Bangladesh #Mexico with the heaviest toll among #journalists #COVID19  #JournoSafe
19,2020-11-02 15:33:06,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,#Brazil one of the deadliest country for #journalists with #Covid19 with at least 36 fatalities according to PEC  #JournoSafe #PressFreedom
21,2020-11-02 15:33:06,CH,Switzerland,867983612.0,08-Oct-2012 (13:22:46.000000),Blaisepec,,False,,295,,False,#Brazil one of the deadliest country for #journalists with #Covid19 with at least 36 fatalities according to PEC  #JournoSafe #PressFreedom
22,2020-11-02 16:41:02,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,"Coronavirus: 21,926 cases in Switzerland over 72 hours - Le News "
23,2020-11-02 16:22:32,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,Here's a quick look at Covid-19 in each US election battleground state 
24,2020-11-02 16:07:04,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,Analysis: How the politicization of coronavirus could shape Arizona's most important county 
25,2020-11-02 16:22:32,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,Here's a quick look at Covid-19 in each US election battleground state 
26,2020-11-02 16:27:03,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,Swiss city of Geneva locks down as Covid-19 surges -  
27,2020-11-02 16:23:02,CH,Switzerland,128222457.0,31-Mar-2010 (13:44:12.000000),SwissNetInc,,False,,34667,,True,  Here's a quick look at Covid-19 in each US election battleground state 
28,2020-11-02 16:41:02,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,"Coronavirus: 21,926 cases in Switzerland over 72 hours - Le News "
29,2020-11-02 16:07:04,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,Analysis: How the politicization of coronavirus could shape Arizona's most important county 
30,2020-11-02 16:22:32,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,Here's a quick look at Covid-19 in each US election battleground state 
31,2020-11-02 16:27:03,CH,Switzerland,14770715.0,14-May-2008 (08:12:16.000000),swissbusiness,,False,,91028,,False,Swiss city of Geneva locks down as Covid-19 surges -  
