,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
7,2020-11-02 16:11:20,NI,Nicaragua,1.289743083588944e+18,02-Aug-2020 (02:01:43.000000),sevaynovolvera,,False,,221,,False,L.O.L..... 
24,2020-11-02 16:41:37,NI,Nicaragua,274153355.0,29-Mar-2011 (20:49:06.000000),rla2703,,False,,712,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
27,2020-11-02 16:15:59,NI,Nicaragua,1656751254.0,09-Aug-2013 (03:21:53.000000),Cscflores,,False,,228,,False,Sad
30,2020-11-02 16:25:30,NI,Nicaragua,438767402.0,17-Dec-2011 (00:30:03.000000),Noxoli_,,False,,787,,False,😂😂😂😂😂😂😂😂😂😂😂
37,2020-11-02 15:23:23,NI,Nicaragua,1.251523794906341e+18,18-Apr-2020 (14:51:57.000000),Nayelischvez2,,False,,285,,False,🙏🏽
52,2020-11-02 16:20:56,NI,Nicaragua,1063910401.0,05-Jan-2013 (20:15:57.000000),castillomelb,,False,,4043,,True,  Today we pray for all the #FaithfulDeparted and especially for the victims of the #Coronavirus: for those who have died alone…
72,2020-11-02 15:37:32,NI,Nicaragua,7.881963444354702e+17,18-Oct-2016 (01:53:47.000000),Mygypsytoes,,False,,10215,,True,  The full name of RT is “Russia Today.”  Trump’s favored coronavirus advisor claims he was unaware that “Russia Today”…
150,2020-11-02 17:06:42,NI,Nicaragua,1656751254.0,09-Aug-2013 (03:21:53.000000),Cscflores,,False,,228,,True,  #WearAMask #coveryourface #MasksSaveLives 
217,2020-11-02 20:08:29,NI,Nicaragua,277725264.0,05-Apr-2011 (22:22:37.000000),Byralaal,,False,,576,,True,  Here are the latest headlines from  +   • More than 93M Americans have already voted • Italy announces…
226,2020-11-02 19:32:01,NI,Nicaragua,1.102402654284718e+18,04-Mar-2019 (02:57:29.000000),MarvinBustama20,,False,,341,,True,  Celebrate #DíadelosMuertos while keeping your community safe from #COVID19. Prepare &amp; drop off traditional family dishes for fa…
273,2020-11-03 01:08:27,NI,Nicaragua,1.3132867688553226e+18,06-Oct-2020 (01:16:11.000000),kevinjimenez_27,,False,,3,,True,  Starting off #November with exciting news!   The first #Covid vaccine developed by the Israel Institute of Biological Research…
278,2020-11-02 23:07:17,NI,Nicaragua,118534104.0,01-Mar-2010 (00:23:14.000000),GemaRobelo,,False,,49,,False,🙏🙏
483,2020-11-03 01:39:01,NI,Nicaragua,1.204109249179259e+18,09-Dec-2019 (18:43:27.000000),nroxtheone,,False,,338,,False,"   H1N1 mortality rate was lower than COVID-19,  but the infection rate was big... coronavirus infection rate is big as well, but its mortality rate is bigger than H1N1. They can't even be compared. Do your research."
677,2020-11-03 01:33:59,NI,Nicaragua,2776467389.0,19-Sep-2014 (17:58:57.000000),manjy56,,False,,137,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
734,2020-12-10 21:27:55,NI,Nicaragua,1539515707.0,22-Jun-2013 (20:56:36.000000),gjesic,,False,,23005,,True,  When your Covid19 numbers are bad and all you get is a Covid19 hospital cake. 
738,2020-12-10 21:27:55,NI,Nicaragua,1539515707.0,22-Jun-2013 (20:56:36.000000),gjesic,,False,,23005,,True,  When your Covid19 numbers are bad and all you get is a Covid19 hospital cake. 
739,2020-12-10 21:23:05,NI,Nicaragua,1539515707.0,22-Jun-2013 (20:56:36.000000),gjesic,,False,,23005,,False,:)
742,2020-12-10 22:46:18,NI,Nicaragua,795180986.0,01-Sep-2012 (02:53:41.000000),punisherodiseo,,False,,274,,True,  🚨Breaking: The  advisory committee has recommended to issue an emergency use authorization for the  
745,2020-12-10 21:23:05,NI,Nicaragua,1539515707.0,22-Jun-2013 (20:56:36.000000),gjesic,,False,,23005,,False,:)
756,2020-12-10 22:50:15,NI,Nicaragua,41425770.0,20-May-2009 (19:12:09.000000),ecruzbonilla,,False,,33,,True,"  BREAKING: An FDA panel of experts votes that the benefits of Pfizer's Covid-19 vaccine outweigh the risks, bringing it closer…"
759,2020-12-10 21:50:38,NI,Nicaragua,29821112.0,08-Apr-2009 (21:08:18.000000),NestorArce,,True,,8746,,False,Por invivible.
760,2020-12-10 21:47:44,NI,Nicaragua,1.119256320908112e+18,19-Apr-2019 (15:07:56.000000),MariaMa07773407,,False,,146,,False,so very simple. WEAR A MASK!
783,2020-12-10 22:07:06,NI,Nicaragua,1106443297.0,20-Jan-2013 (14:50:46.000000),SamuleSIGA,,False,,60,,True,  lady gaga’s 2020: - $128M raised for covid-19 relief - billboard #1 song and #1 album - first ever tricon award - most v…
807,2020-12-11 01:23:58,NI,Nicaragua,7.881963444354703e+17,18-Oct-2016 (01:53:47.000000),Mygypsytoes,,False,,10166,,True,"  America just went over 16 million diagnosed COVID-19 cases.  We are, of course, ranked #1 globally in that measure.  The…"
816,2020-12-11 01:39:34,NI,Nicaragua,61814115.0,31-Jul-2009 (16:48:03.000000),anamarsella,,False,,36,,False,Vaccine isn’t the end 😷!
817,2020-12-10 23:39:22,NI,Nicaragua,1482588703.0,04-Jun-2013 (15:34:45.000000),AlexoZd,,False,,224,,True,  BREAKING: Lewis Hamilton will race in Abu Dhabi after returning a number of negative COVID-19 tests and completing a 10-day quarant…
829,2020-12-11 03:16:38,NI,Nicaragua,7.881963444354703e+17,18-Oct-2016 (01:53:47.000000),Mygypsytoes,,False,,10165,,True,  He fought efforts to make New Hampshire lawmakers wear masks on the floor of the State capitol. He posed with maskless colleag…
834,2020-12-11 02:59:56,NI,Nicaragua,7.881963444354703e+17,18-Oct-2016 (01:53:47.000000),Mygypsytoes,,False,,10165,,True,  Really important. Comparison of Pfizer's COVID-19 vaccine side effects to those of other vaccines.
835,2020-12-11 03:13:55,NI,Nicaragua,7.881963444354703e+17,18-Oct-2016 (01:53:47.000000),Mygypsytoes,,False,,10165,,True,  The US has now surpassed more deaths from COVID-19 than combat fatalities in World War II 
838,2020-12-11 03:16:13,NI,Nicaragua,7.881963444354703e+17,18-Oct-2016 (01:53:47.000000),Mygypsytoes,,False,,10165,,True,"  Don't care. People like this idiot caused the death of my brother in law, widowed my sister. I hope his family enjoys t…"
840,2020-12-11 03:13:55,NI,Nicaragua,7.881963444354703e+17,18-Oct-2016 (01:53:47.000000),Mygypsytoes,,False,,10165,,True,  The US has now surpassed more deaths from COVID-19 than combat fatalities in World War II 
842,2020-12-11 03:16:38,NI,Nicaragua,7.881963444354703e+17,18-Oct-2016 (01:53:47.000000),Mygypsytoes,,False,,10165,,True,  He fought efforts to make New Hampshire lawmakers wear masks on the floor of the State capitol. He posed with maskless colleag…
