,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:56:32,MG,Madagascar,60775954.0,28-Jul-2009 (01:46:44.000000),sipOfsassy,,False,,606,,True,  It still blows my mind that something like “wear a mask bc pandemic” was made into a political thing
1,2020-11-02 16:04:25,MG,Madagascar,21323705.0,19-Feb-2009 (18:19:26.000000),PegT,,False,,1875,,True,"  Hey, President Pandemic ( where do I go to get that Coronavirus vaccine you said would be ready by this w…"
2,2020-11-02 15:55:22,MG,Madagascar,8.228685766002113e+17,21-Jan-2017 (18:08:51.000000),danamarena,,False,,2099,,False,The picture on the left is from 2019.   But you know that.
3,2020-11-02 15:56:49,MG,Madagascar,395593022.0,21-Oct-2011 (22:34:25.000000),BLWHinRVA,,False,,18,,False,"   Please read for yourself   He wants to try something. Better than no plan.  And no one can STOP a virus, but common sense and listening to latest science WILL prevent unnecessary deaths."
4,2020-11-02 15:27:17,MG,Madagascar,82226752.0,13-Oct-2009 (23:55:44.000000),Jaaavis,,False,,4796,,True,"  This is what it looks like when more than 200,000 rapid #COVID19 tests begin arriving in Virginia!  The Commonwealth purcha…"
5,2020-11-02 15:51:30,MG,Madagascar,202598365.0,14-Oct-2010 (12:04:54.000000),djmentosdotcom,,False,,1422,,True,  THREAD 👇  The US is the world's largest producer of chickens.    went undercover to reveal how chicken companie…
6,2020-11-02 18:25:40,MG,Madagascar,2317160072.0,29-Jan-2014 (13:33:50.000000),_BEJH_,,False,,1069,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
7,2020-11-02 17:37:42,MG,Madagascar,72402974.0,07-Sep-2009 (22:44:44.000000),TM__7,,False,,525,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
8,2020-11-02 17:33:18,MG,Madagascar,72402974.0,07-Sep-2009 (22:44:44.000000),TM__7,,False,,525,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
9,2020-11-02 17:37:42,MG,Madagascar,72402974.0,07-Sep-2009 (22:44:44.000000),TM__7,,False,,525,,True,  This is my commitment to you: We will make sure every American has access to a free and safe COVID-19 vaccine.
10,2020-11-02 17:33:18,MG,Madagascar,72402974.0,07-Sep-2009 (22:44:44.000000),TM__7,,False,,525,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
11,2020-11-02 16:59:07,MG,Madagascar,344244030.0,28-Jul-2011 (19:21:31.000000),TheBookOfKing,,False,,572,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
13,2020-11-02 17:54:32,MG,Madagascar,8.228685766002115e+17,21-Jan-2017 (18:08:51.000000),danamarena,,False,,2099,,True,  . threatening to fire Dr. #Fauci should be alarming to Americans.🚨I know he’s been wanting to do this for…
14,2020-11-02 17:26:47,MG,Madagascar,2867236818.0,20-Oct-2014 (14:01:38.000000),Lipsle2,,False,,1293,,True,"  18 Trump rallies have lead to 30,000 COVID-19 cases, 700 deaths: study  "
15,2020-11-02 17:12:09,MG,Madagascar,92271390.0,24-Nov-2009 (13:24:39.000000),zacollins,,False,,205,,True,  Covid-19 is a pro-life issue.
16,2020-11-02 18:00:53,MG,Madagascar,1532358360.0,20-Jun-2013 (00:27:46.000000),JtNelsonRVA,,False,,305,,True,  I was told this is okay because he didn’t die
17,2020-11-02 17:12:12,MG,Madagascar,92271390.0,24-Nov-2009 (13:24:39.000000),zacollins,,False,,205,,True,"  Covid-19 is real, it’s deadly, and it’s not a partisan hoax. Wear a mask. Practice social distancing. Thank our health…"
18,2020-11-02 17:39:18,MG,Madagascar,21323705.0,19-Feb-2009 (18:19:26.000000),PegT,,False,,1874,,False,Follow the latest news on President Trump after he tested positive for Covid-19 more than a week ago  via 
19,2020-11-02 17:12:09,MG,Madagascar,92271390.0,24-Nov-2009 (13:24:39.000000),zacollins,,False,,205,,True,  Covid-19 is a pro-life issue.
20,2020-11-02 17:11:10,MG,Madagascar,872838084.0,11-Oct-2012 (02:10:35.000000),gabby_pollock,,False,,819,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
21,2020-11-02 18:05:54,MG,Madagascar,403668975.0,02-Nov-2011 (20:42:33.000000),hayley_olson,,False,,453,,True,  What America leads in:   #1: Covid-19 cases #1: Medical debt #1: Prescription drug prices #1: Deaths from lack of insura…
22,2020-11-02 18:11:41,MG,Madagascar,2752024350.0,21-Aug-2014 (12:42:29.000000),TheRVASportsNet,,False,,9993,,True,  The City of Hopewell will be conducting a free COVID-19 testing event at 327 Cavalier Square on Wednesday November 4 f…
23,2020-11-02 17:53:51,MG,Madagascar,277170191.0,04-Apr-2011 (20:55:21.000000),RoyDaRappah,,False,,1334,,True,  Fire Trump. Keep Fauci. Wear a mask. End the war on science. VOTE! VOTE! VOTE!
24,2020-11-02 17:12:12,MG,Madagascar,92271390.0,24-Nov-2009 (13:24:39.000000),zacollins,,False,,205,,True,"  Covid-19 is real, it’s deadly, and it’s not a partisan hoax. Wear a mask. Practice social distancing. Thank our health…"
25,2020-11-02 19:32:05,MG,Madagascar,86004579.0,29-Oct-2009 (06:01:19.000000),cmoorehokie,,False,,133,,False,I’m crying. Please for the love of god vote and wear a mask!
