,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:02:09,RW,Rwanda,3387359644.0,22-Jul-2015 (13:36:46.000000),fabienuwa,,False,,1757,,True,  🙏🏿🙏🏿🙏🏿🙏🏿
2,2020-11-02 15:07:06,RW,Rwanda,1.1446177981880648e+18,28-Jun-2019 (14:45:23.000000),denisishimwe1,,False,,96,,False, Add a comment on the covid-19 case of kiev
4,2020-11-02 16:13:49,RW,Rwanda,398555825.0,26-Oct-2011 (07:05:06.000000),JEANMAURICE4,,False,,512,,False,👀
5,2020-11-02 17:33:14,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2663,,True,"  Due to the current pandemic, we have adapted our #FirstSteps Project's radio materials by integrating new messages on #COVID…"
6,2020-11-02 17:32:48,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2663,,True,"  Are you a young entrepreneur? Did #COVID19 affect your business? MYCULTURE,  and  are ready to…"
8,2020-11-02 17:32:48,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2663,,True,"  Are you a young entrepreneur? Did #COVID19 affect your business? MYCULTURE,  and  are ready to…"
9,2020-11-02 18:14:08,RW,Rwanda,1.10825183645943e+18,20-Mar-2019 (06:20:02.000000),iimenagitero,,False,,1155,,True,"  With ITETERO Series, I've learned to protect children's rights, to pay attention to their future aspirations and motiv…"
10,2020-11-02 17:33:14,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2663,,True,"  Due to the current pandemic, we have adapted our #FirstSteps Project's radio materials by integrating new messages on #COVID…"
15,2020-11-02 18:56:31,RW,Rwanda,377300711.0,21-Sep-2011 (10:53:22.000000),PMudakikwa,,False,,12880,,True,"  With ITETERO Series, I've learned to protect children's rights, to pay attention to their future aspirations and motiv…"
23,2020-11-02 19:22:36,RW,Rwanda,1428258008.0,14-May-2013 (16:25:33.000000),RwandaTV,,False,,33148,,True,  #COVID19 UPDATE:   Rwanda today registered nine new cases while one person recovered from Coronavirus.   -Kigali:2 -Kirehe:4…
24,2020-11-02 20:03:06,RW,Rwanda,2649789015.0,28-Jun-2014 (10:49:20.000000),kayitana,,False,,110,,True,  I have been identified as a contact of someone who has tested positive for #COVID19. I am well and without symptoms but will…
25,2020-11-02 18:41:41,RW,Rwanda,138257346.0,29-Apr-2010 (01:56:02.000000),reflexafrika,,False,,1753,,False, this looks very familiar
27,2020-11-03 12:39:55,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2666,,True,"  In response to #COVID19, UN Volunteer Lucas Odhiambo  collaborated with other youth to raise funds for 210 ne…"
33,2020-11-03 12:11:23,RW,Rwanda,519373124.0,09-Mar-2012 (10:31:01.000000),Udahemuka1,,False,,296,,False,Can this explain one of the reasons Africa is less affected by #COVID19 ? FYI Vit. D deficiency is higher in Northern and Southern Africa
34,2020-11-03 13:40:55,RW,Rwanda,1.1133926394019552e+18,03-Apr-2019 (10:47:45.000000),t_Imara8,,False,,325,,True,"  Today is #OneHealth day!  Did you know that #Zoonotic, #EmergingPandemic diseases like #Ebola, #COVID19, #AntimicroialResista…"
37,2020-11-03 12:39:55,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2666,,True,"  In response to #COVID19, UN Volunteer Lucas Odhiambo  collaborated with other youth to raise funds for 210 ne…"
38,2020-11-03 11:57:55,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2666,,True,  The #COVID19 pandemic has led to a steep decline in commodities exports and created several macroeconomic challenges f…
39,2020-11-03 11:57:50,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2666,,True,  #Commonwealth #YouthWorkWeek events kick-off with innovative #Youth Work Lab.  Help us recognise #superheroes supporting y…
40,2020-11-03 12:39:55,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2666,,True,"  In response to #COVID19, UN Volunteer Lucas Odhiambo  collaborated with other youth to raise funds for 210 ne…"
41,2020-11-03 12:39:55,RW,Rwanda,8.285231653368668e+17,06-Feb-2017 (08:38:10.000000),NdAnastase,,False,,2666,,True,"  In response to #COVID19, UN Volunteer Lucas Odhiambo  collaborated with other youth to raise funds for 210 ne…"
