tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-29 05:57:06+00:00,NG,Nigeria,,,Michael Simire,,False,30127,6254,4163,," will miss global 40% #vaccination target  via 
#COVID19 #Omicron #coronavirus"
2021-12-28 19:02:46+00:00,NG,Nigeria,,,Victoria Ndubuisi,,False,328,658,87,,"“Gélí” is a Chinese word which means""ISOLATION"". This is a portrait of myself and how I faired during the lockdown.

Title: GÈLÍ 
Medium: oil on Canvas 
Size: 48 by 60 inches
#CovidTesting #coronavirus #COVID19 #NFT 
    "
2021-12-24 08:33:54+00:00,NG,Nigeria,,,Sam Itauma,,False,9246,676,818,, There's actually no need as my travel window with the #Covid19 result test expired and I was barred from entering the #flight which made me to rebook my flight with a staggering price rate. You need to give  orientation to your inefficient #staff
2021-12-25 18:18:34+00:00,NG,Nigeria,,,TheCable Lifestyle,,True,174,1913,204,,Three members of  test positive for #COVID19 | TheCable Lifestyle  
2022-01-01 05:56:27+00:00,NG,Nigeria,,,Michael Simire,,False,30127,6254,4163,, Minister tests positive for #COVID19  via 
2021-12-26 04:25:41+00:00,NG,Nigeria,,,Nwa Teacher™,,False,18904,1471,3274,," #COVID19 if indeed you are powerful and dreadful, show your mighty self now "
2021-12-24 06:26:52+00:00,NG,Nigeria,,,WorldStage,,False,39,20407,21787,,"U.S. has contributed 10 million dollars to assist the UN Food and Agriculture Organisation (FAO) in its work on COVID-19 response and addressing threats to human, animal and environmental health, including future pandemics.  #Covid19 #FAO #US

 "
2021-12-30 12:21:23+00:00,NG,Nigeria,,,EnviroNews,,False,22228,5552,2037,," predicts #COVID19 will end in 2022  via 
#covidvariant #Omnicron #Omicronindia"
2021-12-26 09:22:14+00:00,NG,Nigeria,,,InfoStride News,,False,1540,6457,430,,"25 MUFC Players Have Been Training This Week, Except Pogba - Ralf Rangnick:  
#COVID19 #ManchesterUnited #RalfRangnick #Sports
"
2021-12-28 11:04:27+00:00,NG,Nigeria,,,Emmanuel Michael - Leadership and Career Coach,,False,41243,6580,442,,"Letter from a Doctor to a Health Minister  

#COVID19 #covidvariant #covid #coronavirus"
2021-12-23 16:18:42+00:00,NG,Nigeria,,,David Ogochukwu,,False,893,129,299,,Nigerians will only take the vaccine jab serious only if linked to their bank accounts.#COVID19
2021-12-27 12:36:39+00:00,NG,Nigeria,,,Dr Olusegun Mimiko,,True,565,38868,391,,"My darling wife,  and I just took the booster dose of the coronavirus vaccine. This is a reminder that you need to be vaccinated against #COVID19  Vaccines save lives. "
2021-12-25 19:10:40+00:00,NG,Nigeria,,,1stnewsng,,False,444,4482,1179,,"#COVID19 Task Force cautions #Nigerians against non-essential travels to curb spread



#OmikronVariant "
2021-12-25 19:24:05+00:00,NG,Nigeria,,,1stnewsng,,False,444,4482,1179,,"#Omicron Covid variant: What do we know about risks, symptoms, tests



#COVID19 "
2021-12-26 20:30:38+00:00,NG,Nigeria,,,1stnewsng,,False,444,4482,1179,,"#Israeli prime minister in isolation after daughter tests positive for #COVID



#COVID19 "
2021-12-23 22:29:56+00:00,NG,Nigeria,,,Glaring Star World,,False,299,464,2357,,#COVID19 Nigeria records a new high of 4035 cases in one day 
2021-12-28 07:33:49+00:00,NG,Nigeria,,,Folksy Mahatma,,False,14,4,127,,#COVID19 We shall be great again 
2021-12-28 05:08:46+00:00,NG,Nigeria,,,Babawale Aduroja,,False,2298,325,1283,,"Surge in #covid19 cases at Wolverhampton effectively means the tie against Arsenal is postponed.
#bbcfootball  "
2021-12-24 06:30:47+00:00,NG,Nigeria,,,Michael Simire,,False,30127,6255,4163,,"#Omicron infections confirmed in 22 African nations  via 
   #COVID19 #OmicronVariant #OmicronVirus"
2021-12-25 04:01:09+00:00,NG,Nigeria,,,Diggy 🇳🇬,,False,8001,1135,897,, it’s okay to admit you jumped the gun. Approve #COVAXIN so we can end this pandemic 👍🏾👍🏾👍🏾   #COVID19
2021-12-24 06:39:38+00:00,NG,Nigeria,,,Michael Simire,,False,30127,6255,4163,,"Ignoring #COVID19 will just perpetuate it,  warns  via 
#coronavirus #COVID #Omicron #OmicronVariant #OmicronVirus"
2021-12-27 06:00:19+00:00,NG,Nigeria,,,1stnewsng,,False,444,4482,1179,,"#Boris to hold crunch talks on #COVID hospital data as New Year curbs considered



#NewYear2022 #COVID19 "
2021-12-24 06:42:23+00:00,NG,Nigeria,,,Michael Simire,,False,30127,6255,4163,," warns against blanket #boosters as #vaccine inequity persists  via 
#COVID19 #COVID #Omicron"
2021-12-28 04:18:53+00:00,NG,Nigeria,,,WorldStage,,False,39,20407,21787,,"The Premier League in England announced on Monday that 103 new COVID-19 cases among club players and staff.

It was the highest weekly number recorded since testing figures began being circulated in May last year.  #Covid19 #Premierleague

 "
2021-12-25 08:31:42+00:00,NG,Nigeria,,,Eugene Ojirigho,,False,61686,1783,4906,,"From NCDC:

It is important to maintain physical distance and avoid contact with anyone showing symptoms of respiratory illness.

We are counting on you to #CelebrateResponsibly and #TakeResponsibility to keep yourself and your loved ones safe from #COVID19 "
2021-12-27 14:05:13+00:00,NG,Nigeria,,,Robtakes,,False,69,51,210,,"To all those who reaped bountifully in the course of the year, who did not expect that level of outcome, the E shock you tag may also apply.



#mondaythought #palliative #COVID19 #COVID #kankaraboys #EndSARS #cacovid "
2021-12-27 14:05:30+00:00,NG,Nigeria,,,Vic The Shapeshifta,,False,8374,1528,1834,,"France recording 100k daily cases. Looks like we’ll be surrendering another year of our lives to this pandemic 🤦🏾‍♂️
#COVID19"
2021-12-29 06:31:06+00:00,NG,Nigeria,,,Atedo Peterside,,False,50,79582,321,,"The true role of Omicron might be to accelerate the journey towards #COVID19 herd immunity globally; this is how  the Spanish Flu ended. This is where my poor knowledge of science intersects with my poorly developed  spiritual ""acumen"". 
"
2021-12-27 12:32:49+00:00,NG,Nigeria,,,Namagic.com,,False,1351,43660,2800,,"Unruly passengers worry Airline Operators with their Non-compliance to Covid-19 Safety protocols, details👇

#AirlineUpdate #AviationNews #Flights #FlightSchedule #MondayMotivations #Covid19

Next Cash and Carry, Shatta Wale, Odoi, Burna, Chelsea, Iheanacho"
2021-12-27 07:51:07+00:00,NG,Nigeria,,,1stnewsng,,False,444,4482,1179,,"Nothing strange in contracting #COVID19 – Presidency



#Omicron "
2021-12-29 12:42:38+00:00,NG,Nigeria,,,Super Soccer 360,,False,1258,121,312,,"Again, Mikel Arteta tests positive to COVID-19, to miss Manchester City game January 1
#COVID19
Arteta
Positive
Man City
#PremierLeague
"
2021-12-25 08:28:59+00:00,NG,Nigeria,,,Eugene Ojirigho,,False,61686,1783,4906,,"From NCDC:

Wear A Face Mask 😷

Reduce your risk of being infected with #COVID19 this Christmas 

Adhere to all preventive measures to keep yourself and your loved ones safe and protected.

#TakeResponsibility to #CelebrateResponsibly "
2021-12-31 14:22:09+00:00,NG,Nigeria,,,CEO Africa,,False,292,1843,1907,,"CAN directs churches to operate at 50% capacity during crossover night...

Read more: 

#can #christainreligion #covid19 #covid19vaccine #health #religion #covid #nigeria "
2021-12-24 22:24:04+00:00,NG,Nigeria,,,Phil Egginton,,False,2664,568,1261,,I can't help thinking that some people are making some very false assumptions on data ref #COVID19 
2021-12-30 11:22:48+00:00,NG,Nigeria,,,badejo babafemi,,False,43,130,64,,"
AriseTV on #DesmondTutu a Prelate who, unlike many, used religion on the side of the oppressed. Also my views on pathetic African leaders wanting free rides on #COVID19.
    "
2021-12-24 06:14:40+00:00,NG,Nigeria,,,Eugene Ojirigho,,False,61686,1783,4906,,"From NCDC:

Happy  holidays! 🎄

Tis' the season to be jolly, but safety first.
'#DoItAll' to protect yourself and your loved ones from #COVID19. "
2021-12-27 12:27:49+00:00,NG,Nigeria,,,CEO Africa,,False,292,1844,1907,,"State government intensify preparations of isolation centres as cases soar...
Read more: 

#abiastate #anambrastate #covid19 #covid19vaccine #enugustategoveror #health #lagosstate #ogunstate #oyo state #tarabastate "
2021-12-29 14:00:55+00:00,NG,Nigeria,,,1stnewsng,,False,444,4481,1179,,"What to eat, avoid during malaria?



#health #WHO #COVID19 "
2021-12-25 11:55:20+00:00,NG,Nigeria,,,Gbenga Ogunmoye💊💊🇳🇬,,False,2485,1232,1250,,"Happy birthday to  what a year sir, your fine decisions especially concerning this #COVID19 and #restrictions helped business activities and we thank God for using you! Best wishes sir"
2021-12-31 23:05:18+00:00,NG,Nigeria,,,Adam🇳🇬,,False,4003,1697,2083,,"It's a new year. Yes. With old problems. 
We move. 
#ClimateActionNow #ClimateCatastrophe #war #lockdown #COVID19 #NewYear2022"
2021-12-26 20:25:03+00:00,NG,Nigeria,,,1stnewsng,,False,444,4482,1179,,"Alpha #Covid variant mutates to evade innate immune system – research



#COVID19 "
2021-12-26 23:01:08+00:00,NG,Nigeria,,,Mo Yahya,,False,4284,4153,2182,,Thanks for all the kind words and wishes. I have defeated #covid19 after 10 days. Am officially negative thanks to the scientists &amp;  for the vaccination. #VaccineEquity is the only out of this pandemic. 
2021-12-24 06:16:20+00:00,NG,Nigeria,,,Eugene Ojirigho,,False,61686,1783,4906,,"From NCDC:

This festive season🎄, avoid large crowds &amp; crowded spaces to limit the spread of #COVID19.
When greeting others, try:

✅Nodding
✅Waving 
✅Bowing "
2021-12-23 18:49:11+00:00,NG,Nigeria,,,City Of Àkúrẹ́ (Olóyèmẹkun),,False,154,10526,829,,"Help your friends, family and fans to get vaccinated against #COVID19

 Kindly advice people to get vaccinated, it's a win win for us all.

#GetVaccinatedNow against #COVID19 "
2021-12-31 05:22:43+00:00,NG,Nigeria,,,Robtakes,,False,69,51,210,,"On this date in 2020- The Rest of the World 2020 Top 10 E shock you? moments.



#eshockyoumoments #onthisdate 
#eshockyou #flashbackpost #OTD #flashback2020 #flashbackfriday #flashback #onthisdate #Friday #fridaythought #robtakes #icymi   #covid19"
2021-12-27 23:09:39+00:00,NG,Nigeria,,,Independent Nigeria,,False,317,33863,132,,"Today in Daily Independent: ‘Low Capacity, COVID-19 Curb Aviation Performance In 2021’ and more stories. Get a copy of the Daily Independent Newspaper on the newsstands.

#nigeria #news #economy #aviation #COVID19 #insecurity #politics #IndependentNewspapers #Frontpage "
2021-12-26 20:43:34+00:00,NG,Nigeria,,,1stnewsng,,False,444,4482,1179,,"#LaiMohammed denies contracting #COVID19



#Omicron "
2021-12-28 12:00:54+00:00,NG,Nigeria,,,LawrettSurebet,,False,3021,146,666,,"🚨BREAKING: Jordi Alba has tested positive for Covid-19 and will not be taking part in training.😷

FC Barcelona has announced that he is in good health and is in isolation at his home. 🙏

#FCBarcelona #FCB #COVID19 "
2021-12-23 12:17:42+00:00,NG,Nigeria,,,Nigeria Health Watch,,True,35920,98720,3984,,"4035 new cases of #COVID19 in #Nigeria

In the face of new variants #Omicron #Delta, get vaccinated to lower your risk of severe disease or death

If you feel unwell, get tested &amp; isolate to reduce the spread of the virus.

#TakeResponsibility,keep yourself &amp; your loved ones safe "
2021-12-25 05:30:43+00:00,NG,Nigeria,,,Michael Simire,,False,30127,6255,4163,,"#COVID19: No death from #OmicronVariant yet in #Nigeria, says   via 
#COVID #covidvariant #Omicron   "
