tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-25 01:41:23+00:00,AU,Australia,,,jo𝕊h,,False,8555,982,2214,,"If you’re going to follow anyone, make it someone you respect, not fear.

#COVID19 #protests #antivaxxers"
2021-12-29 01:19:50+00:00,AU,Australia,,,StrayDog67🐀,,False,36401,864,1709,,"What's with all the traffic at Goodna? Are they lined up all the way around the block for #COVID19 testing? 100's of cars!😱
When i stopped there at the lights some dude was doing a 3 point turn in the middle of the intersection🤣 to avoid the gridlock...
#Brisbane"
2021-12-25 01:31:14+00:00,AU,Australia,,,Peter Clarke,,False,612,3384,3484,,"During a #publichealth crisis such as this #covid19 #pandemic, governments, state &amp; federal, need to communicate with clarity, consistency, congruity. Esp  but also   fail that crucial test. Partisan pinballing? #auspol #democracy #leadership"
2021-12-29 01:18:08+00:00,AU,Australia,,,Tom Carroll,,False,49200,550,1238,,"You would compromise the operational readiness of our military just to oppose #PresidentBiden 
Shouldn’t we be prepared for #COVID19 to be used as a biological weapon by our adversaries? What about the next potential biological?"
2021-12-29 02:18:47+00:00,AU,Australia,,,𝕔𝕠𝕣𝕣𝕖𝕫𝕡𝕠𝕟𝕕 🏳️‍🌈 🏳️‍🌈 😷,,False,32082,2404,2449,,The only individual that can be trusted here is Dr Kerry Chant. The other 2 ratbags ⁦ &amp; ⁦ are the reason that NSW is currently being fucked over by #Covid19 #HealthHazzard #Domicron #CovidNSW 
2021-12-25 00:17:10+00:00,AU,Australia,,,Mark,,False,1211,845,4400,,Not how I ever excepted to make it on the news! #stranded #Singapore #changi #COVID19 #jetstar #BritishAirways 
2021-12-29 02:18:52+00:00,AU,Australia,,,Fiona Willan,,True,2238,6639,3656,,"""Frankly, if you have to wait for eight hours in a queue and then 72 to 96 hours to get a result, it's not fulfilling any useful public health function. And it is delaying proper clinical care"" - Chief Medical Officer Prof. Paul Kelly #auspol #COVID19 "
2021-12-29 21:46:38+00:00,AU,Australia,,,Michael J. Biercuk,,False,20697,7076,1647,,"The problem with any current plan to move towards ""endemic"" #COVID19 is twofold:

1) we still have limited info on #Omicron

2) we are not facilitating an orderly transition, where access to testing will help self isolation &amp; prevent interference with general pathology needs."
2021-12-25 01:22:41+00:00,AU,Australia,,,Mask on and stay calm,,False,24040,308,791,,"If you use to QR APP and you go to a hot spot and no notification done via the APP that you were in the same place as an infected person then why do we need the QR system. It is a simple push notification integration,why is it not done is bound me. #COVID19 #QRcode #checkin"
2021-12-29 01:16:39+00:00,AU,Australia,,,Sara Tomevska,,True,994,867,757,,1471 new cases of #COVID19 in #SouthAustralia. Hospitalisation remain at 36. 4-5 in ICU - clarification coming this arvo. Pre-departure testing for interstate travel scrapped. Only Cat 1 and urgent Cat 2 elective surgery. Booster shots mandatory for all front line health workers.
2021-12-25 05:14:08+00:00,AU,Australia,,,Civilizedbeast,,False,11031,275,100,,"Either they don't get it or they all get it ..😂😂

#COVID19
#scam  "
2021-12-25 05:24:11+00:00,AU,Australia,,,Mez Walker,,False,1091,7,134,,No line at Coolaroo Testing Centre if anyone needs last minute #COVID19 tests!! #melbourne
