tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-31 14:36:16+00:00,CA,Canada,,,Jessie Donner,,False,58889,291,365,,"And infect their parents. 🤦‍♀️

In #Sarnia Lambton, the left most column is cases/100k in &lt;20, right most is 80+.

#COVID19 #COVID19Ontario #covid19ON  "
2021-12-27 17:41:13+00:00,CA,Canada,,,Cherie Klassen 💉💉💉,,False,13471,2800,3909,,"This is a really good read to better understand how quickly Omicron spreads.
How Long Does Omicron Take to Make You Sick? - The Atlantic #covid19 #omicron   "
2021-12-30 21:16:37+00:00,CA,Canada,,,United We Sand,,False,10586,144,103,,"Who is responsible for the procurement of PCR tests? Is that a Federal or Provincial thing?

#onpoli #CovidTesting #covid19 #FreeTheRATs #Omicron #DougFord #Lecce"
2021-12-27 17:40:16+00:00,CA,Canada,,,Jennifer Cada,,False,9392,115,594,,"#Ontario families and educators are in limbo &amp; waiting for your direction and transparency   

We need to know what to expect for Jan. 3! #Covid19 #Education #OnPoli 

Make the best decision based on the scientific data available today. Prioritize and lead!"
2021-12-28 04:58:35+00:00,CA,Canada,,,Tony Jerebic 🇨🇦,,False,1892,771,1628,,"Insanity...just to find out if you’re sick, for a disease that has a 99.9958% survival rate. #COVID19 "
2021-12-28 05:07:22+00:00,CA,Canada,,,Calgary Herald,,True,658,202015,802,,Israeli hospital launches first test of second COVID-19 booster  #COVID19
2021-12-27 17:31:26+00:00,CA,Canada,,,Peter V. Tretter,,False,1583,982,799,,An inside look at how the COVID-19 vaccine mandate became the breaking point for the TTC’s largest union  #COVID19 #ATU113 #topoli #COVIDOntario #Toronto #TTC #Coronavirus #onpoli #snrtg
2021-12-30 22:14:57+00:00,CA,Canada,,,M.P.H.,,False,4807,276,369,,"It's starting to break me down
#COVID19 #mentalhealth 
#StayPositive"
2021-12-30 16:55:45+00:00,CA,Canada,,,Neil W,,False,1892,442,965,,And the  has announced  is entering #COVID19 protocols so this game has been cancelled. No broadcast tonight 😭 
2021-12-31 14:33:11+00:00,CA,Canada,,,Mr. Maillet 🇨🇦 (He/His),,False,14573,1140,2363,,Can  ask #Ontario for a refund on the unspent #Covid19 relief funds? Asking for a friend…
2021-12-31 14:33:13+00:00,CA,Canada,,,Francisca Sinn,,False,168778,2435,2244,,"16,713 plus a backlog of more than 90,000 cases. With the positivity rate at 30%, there are an additional 30,000 cases out there that have not yet been recorded. 

#Ontario #COVID19 "
2021-12-27 17:28:52+00:00,CA,Canada,,,segacs,,False,4347,484,311,,"     As for separatism, clearly, #COVID19 has exposed the lunacy of that idea: The fed gov't rolled out vaccines, rapid tests, CERB/CRB, and business financial aid. The #Quebec government squandered vaccine rollout, let rapid tests expire in a warehouse, and pocketed the $."
2021-12-30 21:16:41+00:00,CA,Canada,,,Mark Candler,,False,80470,723,1476,,#Ontario has been ABANDONED #VoteThemAllOut2022 #VoteFordOut2022 #COVID19
2021-12-27 17:24:14+00:00,CA,Canada,,,Canadian Paediatric Society,,True,5653,12441,1145,,"All  resources on #COVID19, including vaccine recommendations, info for families, and effects of prolonged school closures, can be found here: "
2021-12-30 16:58:18+00:00,CA,Canada,,,Zoe Ferry,,False,75009,1980,2094,,"This happened to me (and I brushed off the early symptoms because of this). If you feel any of the symptoms, you should stay home and rest. #COVID19 "
2021-12-31 14:34:45+00:00,CA,Canada,,,Alanna King,,False,6506,80,202,,"Got my booster yesterday. AZ, Pfizer and now Moderna. Booking through AHS would have taken 2 months. Walked in to my local pharmacy. Done and done.  #Booster #vaccination #yyc #COVID19"
2021-12-31 14:36:35+00:00,CA,Canada,,,kaitgambier,,False,5532,380,681,,"I said this since day one. But oh no, ""muh freedoms!"". 🤔
#COVID19ON #COVID19 #ONPoli "
2021-12-27 17:13:04+00:00,CA,Canada,,,Stir Vancouver,,False,509,1129,550,,"In a COVID pivot, East Van Panto: Alice in Wonderland moves strictly online — Stir  

    #createastir #COVID19 #vancouver #stirvancouver #OnDemand "
2021-12-27 17:06:55+00:00,CA,Canada,,,"Kempton""#VaccinEquity"" Lam 🇨🇦",,False,44583,818,1950,,"Thx2 Dr Lisa's advices, I'm changing the way I do my #RapidTests swab next time by swabbing thoat &amp; noses (see UKHSA instuctions video to collect more samples)!
Tools like #RATs can help us fight #Covid19 stop chains of transmissions 2save our💞&amp; others #CovidAB [HT Joe]  "
2021-12-30 21:16:55+00:00,CA,Canada,,,Ryan Olson,,False,680,193,15,, YOU NEED TO STEP IN AND SAVE #ONTARIO FROM  BEFORE WE ALL DIE!!!! #onpoli #canpoli #COVID19 #covid
2021-12-27 17:10:02+00:00,CA,Canada,,,McMaster Forum,,True,3372,4717,950,,Guidelines developed under pressure. The case of the #COVID19 low-quality “rapid” guidelines and potential solutions   
2021-12-30 16:52:48+00:00,CA,Canada,,,Mark Morabito,,False,6336,6920,2308,,READ!! #COVID19 
2021-12-30 21:18:14+00:00,CA,Canada,,,Rod Francis,,False,4396,6231,407,,"Six kids under age 10 hospitalized each day now in #quebec. And there's been death. Don't buy that BullShit about how ""it's only a cold and kids are immune"" dangerous and ignorant commentary. #COVID19 #polqc "
2021-12-30 21:18:24+00:00,CA,Canada,,,Rebecca Ross-Zaiontz,,False,8149,571,1036,,It’s like the Ontario Government just said “Data?? Who needs Data?” #CovidTesting #COVID19 #onpoli 
2021-12-27 17:24:06+00:00,CA,Canada,,,Canadian Committee on Indoor Air Quality (CCIAQ),,False,708,1747,618,,Indoor air quality expert shares tips to stay safe over the holidays  #iaq #covid19 #Canada
2021-12-27 17:42:10+00:00,CA,Canada,,,T Lee Humphrey,,False,84340,15655,554,,This is Stanley’s second time being infected after being fully vaccinated. I don’t think there’s clearer real time proof that vaccines do prevent extreme symptoms in otherwise healthy people but does far less than promised to prevent infection. #COVID19 #Omicron #KISS 
2021-12-30 21:18:31+00:00,CA,Canada,,,Christine Korda,,False,6016,81783,27200,,More than 500 doctors sign letter asking Ontario government to keep schools open  via  #COVID19
2021-12-30 21:12:26+00:00,CA,Canada,,,🇨🇦PrairieLiberal🇨🇦,,False,4771,267,274,, An accurate metaphor for  and her PC government's mishandling of everything #COVID19 related. #mbpoli
2021-12-30 21:12:47+00:00,CA,Canada,,,𝕾𝖆𝖑𝕶𝖍𝖆𝖓,,False,18596,388,660,," Truly, wtf?
Our tax dollars are being used everyday by the  to royally screwed us. Where are you  Is there anyone sincere to us #ontarians? Why is nobody doing anything?
So helpless, so hopeless!
#onpoli #cdnpoli #COVID19 #CovidTesting #FreeTheRATs"
2021-12-27 17:50:32+00:00,CA,Canada,,,Peter V. Tretter,,False,1583,982,799,,Canada's public health agency admits it tracked 33 million mobile devices during lockdown  #COVIDCanada #PHAC #Tracking #COVID19 #Telus #Coronavirus #cdnpoli #snrtg
2021-12-30 21:14:34+00:00,CA,Canada,,,Meaghan Elizabeth,,False,8397,475,265,,Less burdensome than transmission to a high risk family member of a staff member or client?! #Omicron #COVID19 #COVID19ON #COVID19Ontario
2021-12-27 17:48:01+00:00,CA,Canada,,,Project STREET WISE,,False,47620,1087,297,,The #COVID19 virtual pandemic shows that smartphones are perfectly designed for changing the behavior of people remotely through reinforcement learning.
2021-12-27 17:46:33+00:00,CA,Canada,,,Graham Connaughton,,False,6634,3424,4971,,Is anyone working on a #Covid19 Breathalyzer…No I wasn’t pulled over and was inspired… #Omicron #delta
2021-12-30 17:02:29+00:00,CA,Canada,,,Caramel & Parsley,,False,2841,405,166,,"#OmicronVariant #update: 'Most Omicron hospitalizations incidental' 
-Quote: Sir John Bell Prof of Medicine Oxford Uni ""This is not the same #disease we were seeing a year ago"" 
-20 min video Dr John Campbell #UK (Dec/29/2021)  #COVID19 #Global #pandemic"
2021-12-27 17:44:29+00:00,CA,Canada,,,Peter V. Tretter,,False,1583,982,799,,Fewer Boxing Day shoppers look for deals as COVID-19 cases in Canada surge - CityNews Toronto  #COVIDOntario #BoxingDay #COVID19 #Shopping #Coronavirus #onpoli #snrtg
2021-12-27 17:44:07+00:00,CA,Canada,,,Brad Rush,,False,46567,3088,3465,,Some good accounts to follow on #COVID19 
2021-12-30 21:14:34+00:00,CA,Canada,,,Meaghan Elizabeth,,False,8397,475,265,,"Less burdensome than said staff member, client, or family member contracting #COVID19 that results in death?! #Omicron #COVID19ON #COVID19Ontario"
2021-12-27 17:43:01+00:00,CA,Canada,,,Meaghan Elizabeth,,False,8397,475,265,,"As a former loyal weekly rider with #Spinco #SpincoToronto, I can confidently say I will not be back. #ProfitsOverPeople isn’t a cute look. #COVID19 #COVID19ON #COVID19Ontario"
2021-12-27 17:43:01+00:00,CA,Canada,,,Meaghan Elizabeth,,False,8397,475,265,,Let’s not forget that #Spinco #SpincoHamilton was responsible for a massive #COVID19 outbreak in #HamOnt last fall #COVID19ON #COVID19Ontario
2021-12-30 23:19:09+00:00,CA,Canada,,,Taleeb Noormohamed 🇨🇦,,True,16733,5354,2821,,"Are you affected by COVID lockdowns resulting in a temporary job loss, or a 50% reduction in income? Check if you’re eligible for the 🇨🇦 Worker Lockdown Benefit.

We’re going to continue to be there for Canadians through this pandemic.



#cdnpoli #COVID19"
2021-12-30 17:00:18+00:00,CA,Canada,,,J. Wayne Thibodeau,,True,677,10569,2736,,BREAKING: As of 8AM this morning there are 169 cases of #COVID19 in #PEI. There are now 3 people in hospital with COVID-19. There are five people in hospital for other reasons who do have COVID. More details to come 
