tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
2021-12-30 19:50:12+00:00,GB,United Kingdom,,,CHEX News on Global Peterborough,,True,803,22197,387,,"""The 50’s Diner believes in human rights and freedoms and if we can’t serve everyone then we would rather serve no one."" The popular 50's Diner in Minden has closed for failure to follow COVID-19 protocols. #COVID19 #Minden #HKPR #ReopeningOntarioAct
"
2021-12-30 18:46:22+00:00,GB,United Kingdom,,,Abid Ali,,False,3725,218,333,," Unfortunately, got to agree; misinformation was their main strategy and for most of us the only significant option available against #COVID19. Despite double jabs, was infected albeit with mild symptoms but now suffering with what seems like nasty #LongCovid..."
2021-12-23 15:00:01+00:00,GB,United Kingdom,,,Enfield Informed Families,,False,109,31,96,,"Parents and carers of 12 to 15 year olds

#Covid19 #Vaccine #NHS #TestAndTrace "
2021-12-24 00:56:31+00:00,GB,United Kingdom,,,Charlie Boyle,,False,1927,1176,28,,   I just went on the BBC to talk about the complete joke that we like to call #COVID19 travel testing! 
2021-12-24 02:18:08+00:00,GB,United Kingdom,,,Anne McKay 💙,,False,15245,632,341,,"[1/7] #COVID19, 23 Dec 

(i)No of +ve cases &amp; 7–day rolling rates of +ve cases by specimen date 

(ii)Interactive maps showing 7–day rolling rates of +ve cases by specimen date (w/e 18 Dec &amp; 11 Dec)

Sources:

 "
2021-12-23 15:08:01+00:00,GB,United Kingdom,,,HM Government North,,True,6944,10209,7995,,"Everyone aged 18+ is eligible for the #COVID19 booster three months after the second dose.

To #GetBoostedNow either:

📱 book an appointment online
🔎 search for a walk-in site

Protect yourself, your friends and your family ➡️  "
2021-12-23 14:00:27+00:00,GB,United Kingdom,,,Cooley Dickinson,,False,498,960,231,,"#COVID19 infections are on the rise thanks to winter and the Omicron variant. If you're traveling, take a look at the  recommendations for #safetravel in a worsening pandemic spike:  "
2021-12-30 02:07:11+00:00,GB,United Kingdom,,,Juliette Kayyem,,True,16389,196742,1169,,Joining  with  and after  Newsroom with  for friends in Asia and Europe. #2022 #COVID19 
2021-12-23 15:00:02+00:00,GB,United Kingdom,,,nidirect,,True,14,28241,841,,"RAPID #COVID19 tests give quick results &amp; can help detect #COVID19 if you have no symptoms. 
Rapid #COVID19 tests are available for collection across Northern Ireland and can also be ordered online for delivery to your door. 
Find out more at  "
2021-12-23 14:00:01+00:00,GB,United Kingdom,,,The London Economic,,True,10139,60271,52447,,"“Juvenile, pathetic, moronic, self indulgent, narcissistic fool who jokes as people get sick, as people die, as families grieve.""  #COVID19"
2021-12-23 14:03:15+00:00,GB,United Kingdom,,,Royal Society Publishing,,False,13201,23388,845,,How does the #coronavirus spread via surfaces? The latest issue of #InterfaceFocus highlights the role of different surfaces in the transmission of #COVID19. Read more in an interview with organiser Professor Mohan Edirisinghe on our blog:  
