,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
1,2020-11-02 15:18:12,CA,Canada,104714297.0,14-Jan-2010 (04:45:37.000000),tmainframedino,,False,,140,,True,"    IMHO, it is a crime for health authorities not to let the populace know of the efficacy of Vitamin D3 .…"
3,2020-11-02 16:06:48,CA,Canada,14705603.0,08-May-2008 (20:50:25.000000),680NEWS,,True,,368131,,False,Taking a stand.  Staff members at Glamorgan Junior Public School are refusing work after a COVID-19 outbreak was confirmed last week.  
4,2020-11-02 15:00:34,CA,Canada,14705603.0,08-May-2008 (20:50:25.000000),680NEWS,,True,,368139,,False,"‘Ask Me Anything’ about #COVID19 w/ Dr. Vinita Dubey: Get your questions answered from the Assoc. Medical Officer of Health on Nov. 3, 12:30 p.m., in a LIVE interview. Submit questions here with #COVIDanswers or in the chat window in the article below  "
5,2020-11-02 15:17:52,CA,Canada,14705603.0,08-May-2008 (20:50:25.000000),680NEWS,,True,,368139,,False,Ontario reporting new COVID-19 cases in 900s for second straight day 
6,2020-11-02 16:06:48,CA,Canada,14705603.0,08-May-2008 (20:50:25.000000),680NEWS,,True,,368139,,False,Taking a stand.  Staff members at Glamorgan Junior Public School are refusing work after a COVID-19 outbreak was confirmed last week.  
7,2020-11-02 15:00:47,CA,Canada,20201160.0,05-Feb-2009 (23:24:42.000000),ACarterglobal,,True,,11864,,True,  NEW: Ontario is reporting 948 new coronavirus cases and 7 deaths
14,2020-11-02 15:16:48,CA,Canada,252418471.0,15-Feb-2011 (04:26:54.000000),MetalTitans,,False,,5203,,True,  “My Hands Are Empty” Nov 13th . Pushed back one week due to Covid-19 
16,2020-11-02 16:33:52,CA,Canada,49643962.0,22-Jun-2009 (14:29:14.000000),MAJIC100Ottawa,,True,,22602,,True,  COVID has one goal. To spread. Here are the repercussions of ONE source of #COVID19 at an indoor sports practice.  60 peo…
17,2020-11-02 16:33:44,CA,Canada,237020420.0,11-Jan-2011 (22:15:20.000000),rodmickleburgh,,False,,8268,,True,"  Québec records 1,037 #coronavirus cases and 12 #Covid19 deaths on Monday; 499 pandemic patients in hospital, 81 in ICU.…"
18,2020-11-02 16:33:36,CA,Canada,237020420.0,11-Jan-2011 (22:15:20.000000),rodmickleburgh,,False,,8268,,True,"  Ontario reports 948 new #coronavirus cases and 7 #Covid19 deaths on Monday; 328 patients in hospital, 75 in ICU; 27,908…"
