,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 16:33:14,NG,Nigeria,1.0970482687422424e+18,17-Feb-2019 (08:21:04.000000),OWOLABI4ALL,,False,,34,,True,  Where is your outrage at COVID-19 palliatives that were hidden by those who are supposed to be leaders? Is that not haram…
1,2020-11-02 16:35:28,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,"  The second wave of COVID-19 is here  7 new patients admitted for COVID-19 last week, 5 landed in the ICU and are curre…"
2,2020-11-02 15:40:40,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,  Please wear your masks
3,2020-11-02 15:42:32,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,False, It's a must to wear a face mask in my hospital.  You can't even enter the hospital without a facemask
4,2020-11-02 16:00:19,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,"  The way the country dey go self, I'm tired already.  Na only one die dey, if e come make e come abeg.  I'm exhausted."
6,2020-11-02 15:48:28,NG,Nigeria,546314894.0,05-Apr-2012 (22:00:31.000000),Mojo_la15,,False,,103,,True,  Donald Trump’s COVID-19 response has been the greatest failure of presidential leadership in our nation’s history.
7,2020-11-02 16:16:46,NG,Nigeria,333559866.0,11-Jul-2011 (18:41:31.000000),Badmusadeseyi,,False,,30,,False,"when covid19 was still an epidemic in china, you didnt raise alarm, Now that we are battling covid you keep increasing tension"
8,2020-11-02 16:00:34,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,  Stay safe n don't forget to wear masks in public #EndAnglophoneCrisis
9,2020-11-02 15:40:34,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1148,,True,  Wear Mask 😷😷😷😷😷😷
10,2020-11-02 15:42:32,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1148,,False, It's a must to wear a face mask in my hospital.  You can't even enter the hospital without a facemask
11,2020-11-02 16:00:34,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,  Stay safe n don't forget to wear masks in public #EndAnglophoneCrisis
12,2020-11-02 15:06:44,NG,Nigeria,3117686218.0,26-Mar-2015 (08:03:21.000000),kris_isong,,False,,149,,True,"  A colleague just died of COVID. Vibrant, young, strong and ambitious.  I tweet this daily. Wear a mask and be safe.  COVID is…"
13,2020-11-02 16:35:28,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,"  The second wave of COVID-19 is here  7 new patients admitted for COVID-19 last week, 5 landed in the ICU and are curre…"
14,2020-11-02 15:40:34,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,  Wear Mask 😷😷😷😷😷😷
15,2020-11-02 15:40:40,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,  Please wear your masks
16,2020-11-02 15:14:38,NG,Nigeria,71237048.0,03-Sep-2009 (12:09:27.000000),obidiegwu1,,False,,634,,True,  11. The #EndSARS movement has shown the correctness of our party and movement's positions that the ruling parties are conscio…
17,2020-11-02 16:00:19,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,"  The way the country dey go self, I'm tired already.  Na only one die dey, if e come make e come abeg.  I'm exhausted."
18,2020-11-02 15:42:32,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,False, It's a must to wear a face mask in my hospital.  You can't even enter the hospital without a facemask
20,2020-11-02 15:40:40,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1148,,True,  Please wear your masks
21,2020-11-02 15:42:32,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1148,,False, It's a must to wear a face mask in my hospital.  You can't even enter the hospital without a facemask
22,2020-11-02 16:18:32,NG,Nigeria,153814087.0,09-Jun-2010 (15:06:18.000000),IamRashman,,False,,12671,,True,  Aggrieved constituents say she:  *used COVID-19 palliatives as birthday souvenir  *has refused to give account of stew…
23,2020-11-02 16:35:28,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1148,,True,"  The second wave of COVID-19 is here  7 new patients admitted for COVID-19 last week, 5 landed in the ICU and are curre…"
24,2020-11-02 15:59:07,NG,Nigeria,353019368.0,11-Aug-2011 (12:39:44.000000),Badmanpj,,False,,1974,,False,This is a sad end to anyone’s life. God keep us 💔
26,2020-11-02 15:28:24,NG,Nigeria,2298292896.0,18-Jan-2014 (17:55:52.000000),mo_rolake,,False,,241,,True,  I just received the sad news of the sudden demise of  due to Covid19. Jeez! He was such a promising young Doctor. May h…
27,2020-11-02 15:56:35,NG,Nigeria,1.1711142601072763e+18,09-Sep-2019 (17:33:11.000000),Alameen_karofi,,False,,379,,False,😥😥
28,2020-11-02 15:28:17,NG,Nigeria,2298292896.0,18-Jan-2014 (17:55:52.000000),mo_rolake,,False,,241,,True,  COVID-19 is still out there!!!!
29,2020-11-02 15:28:24,NG,Nigeria,2298292896.0,18-Jan-2014 (17:55:52.000000),mo_rolake,,False,,241,,True,  I just received the sad news of the sudden demise of  due to Covid19. Jeez! He was such a promising young Doctor. May h…
30,2020-11-02 15:13:57,NG,Nigeria,1.2466449352537907e+18,05-Apr-2020 (03:45:42.000000),PTFCOVID19,,False,,6496,,True,"  If you‘re traveling to Nigeria from any country, it’s important you:  1 Take a #COVID19 PCR test &amp; have a negative result bef…"
31,2020-11-02 16:00:34,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1148,,True,  Stay safe n don't forget to wear masks in public #EndAnglophoneCrisis
32,2020-11-02 15:10:36,NG,Nigeria,239259279.0,17-Jan-2011 (05:51:24.000000),s0dad,,False,,203,,True,  Rest in Peace Dr Val COVID19 took you from us but it can't erase your memories.  You were fit as a fiddle. You live on i…
34,2020-11-02 15:13:57,NG,Nigeria,1.2466449352537907e+18,05-Apr-2020 (03:45:42.000000),PTFCOVID19,,False,,6496,,True,"  If you‘re traveling to Nigeria from any country, it’s important you:  1 Take a #COVID19 PCR test &amp; have a negative result bef…"
35,2020-11-02 16:00:34,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1148,,True,  Stay safe n don't forget to wear masks in public #EndAnglophoneCrisis
36,2020-11-02 15:40:34,NG,Nigeria,139373594.0,02-May-2010 (11:58:50.000000),anyholla,,False,,1149,,True,  Wear Mask 😷😷😷😷😷😷
