,tweet_created_at,country_code,country_name,user_id,user_created_at,user_name,user_source,user_verified,user_favourites_count,user_followers_count,user_friends_count,tweet_is_retweet,tweet
0,2020-11-02 15:11:12,TH,Thailand,25110386.0,18-Mar-2009 (17:19:32.000000),Redroadmaster,,False,,2079,,False,COVID is Over!
2,2020-11-02 16:29:03,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  11 Ajax players test positive for coronavirus ahead of Champions League fixture: The Amsterdammers have confirmed just a…
4,2020-11-02 15:38:14,TH,Thailand,292375622.0,03-May-2011 (15:09:20.000000),AlieuKallon,,False,,413,,True,  Algorithm that can identify people with Covid-19 by sound of their coughs achieves 98.5% success rate 
5,2020-11-02 16:00:32,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  Court overturns order to shut Berlin's bars and restaurants from 11pm: The court said “it was not apparent” that such a m…
6,2020-11-02 15:57:33,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,False,"Reduced prize money will continue in 2021, says Lopez: PARIS: Tennis tournaments in 2020 have seen reduced prize money since the circuit resumed after the COVID-19 pandemic break and the situation is not expected to change at least until…  #_Regions_Asia"
7,2020-11-02 15:03:09,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,"  200 Hungarian Healthcare Professionals and Students Help With Slovakia’s Mass-testing: In Slovakia, 2.5 million people we…"
9,2020-11-02 15:03:07,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,"  Autumn Break Ends, Teachers Want More Appropriate Measures Against Covid: The coronavirus is spreading faster and faster…"
10,2020-11-02 16:22:27,TH,Thailand,145166485.0,18-May-2010 (08:18:23.000000),genobkk,,False,,912,,False,Kanchanaburi extends the closure of the Three Pagodas pass in Sangkhla Buri district until Nov 16 due to Covid-19 concern.
11,2020-11-02 16:00:32,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  Court overturns order to shut Berlin's bars and restaurants from 11pm: The court said “it was not apparent” that such a m…
12,2020-11-02 15:57:33,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,False,"Reduced prize money will continue in 2021, says Lopez: PARIS: Tennis tournaments in 2020 have seen reduced prize money since the circuit resumed after the COVID-19 pandemic break and the situation is not expected to change at least until…  #_Regions_Asia"
13,2020-11-02 15:03:09,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,"  200 Hungarian Healthcare Professionals and Students Help With Slovakia’s Mass-testing: In Slovakia, 2.5 million people we…"
15,2020-11-02 15:03:07,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,"  Autumn Break Ends, Teachers Want More Appropriate Measures Against Covid: The coronavirus is spreading faster and faster…"
16,2020-11-02 16:29:03,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  11 Ajax players test positive for coronavirus ahead of Champions League fixture: The Amsterdammers have confirmed just a…
17,2020-11-02 16:00:32,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  Court overturns order to shut Berlin's bars and restaurants from 11pm: The court said “it was not apparent” that such a m…
18,2020-11-02 15:57:33,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,False,"Reduced prize money will continue in 2021, says Lopez: PARIS: Tennis tournaments in 2020 have seen reduced prize money since the circuit resumed after the COVID-19 pandemic break and the situation is not expected to change at least until…  #_Regions_Asia"
19,2020-11-02 15:03:09,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,"  200 Hungarian Healthcare Professionals and Students Help With Slovakia’s Mass-testing: In Slovakia, 2.5 million people we…"
21,2020-11-02 16:29:03,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  11 Ajax players test positive for coronavirus ahead of Champions League fixture: The Amsterdammers have confirmed just a…
22,2020-11-02 15:03:09,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,"  200 Hungarian Healthcare Professionals and Students Help With Slovakia’s Mass-testing: In Slovakia, 2.5 million people we…"
23,2020-11-02 15:07:13,TH,Thailand,81068559.0,09-Oct-2009 (09:18:56.000000),drthasana,,False,,1273,,True,"  LATEST: Italian Prime Minister Giuseppe Conte announces new nationwide restrictions to tackle the coronavirus pandemic, including…"
24,2020-11-02 15:07:13,TH,Thailand,81068559.0,09-Oct-2009 (09:18:56.000000),drthasana,,False,,1273,,True,"  LATEST: Italian Prime Minister Giuseppe Conte announces new nationwide restrictions to tackle the coronavirus pandemic, including…"
25,2020-11-02 15:57:33,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,False,"Reduced prize money will continue in 2021, says Lopez: PARIS: Tennis tournaments in 2020 have seen reduced prize money since the circuit resumed after the COVID-19 pandemic break and the situation is not expected to change at least until…  #_Regions_Asia"
26,2020-11-02 15:03:07,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,"  Autumn Break Ends, Teachers Want More Appropriate Measures Against Covid: The coronavirus is spreading faster and faster…"
27,2020-11-02 16:00:32,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  Court overturns order to shut Berlin's bars and restaurants from 11pm: The court said “it was not apparent” that such a m…
28,2020-11-02 16:29:03,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  11 Ajax players test positive for coronavirus ahead of Champions League fixture: The Amsterdammers have confirmed just a…
29,2020-11-02 16:29:03,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  11 Ajax players test positive for coronavirus ahead of Champions League fixture: The Amsterdammers have confirmed just a…
30,2020-11-02 16:00:32,TH,Thailand,4849619832.0,02-Feb-2016 (15:03:18.000000),lastminutesnews,,False,,1096,,True,  Court overturns order to shut Berlin's bars and restaurants from 11pm: The court said “it was not apparent” that such a m…
